rank	username	minecraft:used/minecraft:crimson_fungus
1	noam464	16619
2	Blaiku	9523
3	thewindmillman	4047
4	eitanzaki	1853
5	Blackberry1310	566
6	Snowflowe	415
7	12Magner05	180
8	Smoke____	159
9	beeperbeeper5	132
10	Akoot_	92
11	gcaisawesome	82
12	oxfordschool	65
13	Lutres_Torane	55
14	Historical_Sand	51
15	lordpipe	44
16	Lord_Jord	42
17	HellsSponge	36
18	PlasticOtari	33
19	Hpdinosaur	22
20	TheEnderman548	21
21	Deathkob	20
22	BobDeBouwer1337	19
23	diggydog67	18
24	CliffEmAll	17
25	RebelAndroid	15
25	YungMaki	15
27	Kowcio_	14
28	Fullut	12
28	Di_infiri	12
30	gustarbite	11
30	Freak_Genius	11
30	Eraxa	11
30	Segotep999	11
34	pintsizedrogue	10
35	NomadicRobin_	7
36	Arceus1975	6
36	Eon_57	6
38	teslawolf38	5
38	Jiminie	5
40	AuroraValkyrie	4
40	Alteriity	4
40	Swexti	4
40	breadbowlgamer	4
40	lizardfightclub	4
40	Hermanni__	4
46	CoffeeNoir	3
46	crying_wolf_13	3
46	trixterrx	3
46	Kubeusz2010	3
46	anbbang	3
46	jnp_gaming	3
52	livingdaydreams	2
52	ShedJr_	2
52	Master_Kol	2
52	whoaluv	2
52	Chromary	2
52	Spacewardharpy7	2
52	CalebDHawk	2
52	Legendosh	2
60	Cowison	1
60	ImpavidArcher	1
60	RatatJuice	1
60	rarrq	1
60	titanlax	1
60	jacxhadow	1
60	bloodbiter	1
60	kekhon	1
60	set67	1
60	UncreativeArtist	1
60	Awyrlas	1
60	Hyp3rion_	1
60	Rebytre	1
60	ooga47	1
60	Sqwishy	1
60	PigDab	1
60	FishyBoy3811	1
60	masskedman	1
60	Gryglu583	1
60	EveryonesUncle	1
60	Holden_17	1
60	Nycteus_	1
60	KG1999	1
60	djancak	1
60	MissCeleste7	1
60	RadarHz	1
