rank	username	minecraft:used/minecraft:birch_chest_boat
1	Luminad3	9
2	Spacewardharpy7	7
3	Ezekson	6
4	Mr_Sun15	5
5	Huwulling	4
5	Segotep999	4
5	Enderxz3	4
8	Da_Boss_Rani	3
9	pintsizedrogue	1
9	Mr_Byzantine	1
9	Reneedium	1
9	Jimb0nat0r	1
9	PlasticOtari	1
