rank	username	minecraft:used/minecraft:fletching_table
1	noam464	215
2	Hyp3rion_	122
3	sp00ky_ghost977	107
4	pintsizedrogue	96
4	robertsnose	96
6	Racengan	88
7	HellsSponge	63
8	Merv__	59
9	2blox_	49
10	Buuck_	47
11	PlasticOtari	43
12	Soplight	42
13	Blaiku	41
14	thescout7	38
14	TheShyPig	38
16	luseis	32
17	ayamefag	31
18	Jackattack53	30
18	audiocracked	30
20	Shogunite	22
20	Spacewardharpy7	22
22	mwrty	21
23	rarrq	20
24	Historical_Sand	19
24	SpacesickPrism	19
26	500am	18
26	ARandomHedge	18
28	Di_infiri	17
28	Paguz01	17
30	Chromary	16
30	EcksD	16
32	Niklas20114552	13
32	T045RTY	13
32	Vizzoid	13
32	Kowcio_	13
36	pixelviolin	12
36	Kubeusz2010	12
38	_Virify_	10
38	El_Jalapeno	10
40	Bandito_Roamer	9
40	beeperbeeper5	9
40	Bucscw24	9
40	OneLessChromosom	9
40	PigDab	9
40	karudsbip	9
46	FormulaNewt3627	8
46	ConnorDanky_	8
48	m_be9	7
48	kekhon	7
48	Zythose	7
48	Skippeh	7
48	diggydog67	7
53	RebelAndroid	6
53	Shazzyling	6
53	eiC_	6
53	Snowflowe	6
53	FreakGenius	6
53	Hisiste	6
53	07shiny	6
53	KingMatthew506	6
61	Ryker	5
61	eitanzaki	5
61	SkullxKandyz	5
61	12Magner05	5
61	gcaisawesome	5
61	M_Patata	5
61	Solar_Power	5
61	Werbe	5
61	Onennon	5
61	Manaateee	5
61	AstreaTSS	5
61	Dogcorn69420	5
61	LeeMcGee30	5
61	jnp_gaming	5
61	Sral7	5
76	lorywithay	4
76	joethahobo	4
76	ClemenPine	4
76	MinuteMira	4
76	WeebleSock	4
76	JESS_THE_RERE	4
76	starbits140	4
76	Fizznut909	4
76	obzii	4
85	H0UNDFRMH3LL	3
85	Mr_Byzantine	3
85	EdaterPure	3
85	SaucyDark	3
85	ActualPatbaf	3
85	Lez_	3
85	TheSecondLord	3
85	Kkanot	3
85	Kubelz	3
85	XboxPanda	3
85	TableTim	3
85	Fast_Turtle	3
85	victorLIE	3
85	Kim_Jong_eel	3
85	wezzzi	3
85	Thomez_	3
85	Luigipunch989	3
85	nonarso	3
85	momis24	3
104	Louiis123	2
104	Apollo_993	2
104	RoskobiOne	2
104	Napoleonpancake	2
104	Sleek_Storm_721	2
104	abdomera	2
104	CoffeeNoir	2
104	Literally_Rat	2
104	Euclidoris	2
104	arvous	2
104	Nicky_H225	2
104	Studio4x32	2
104	MyNameIsJobo	2
104	Studyhallsaver	2
104	Tyrannosplart	2
104	THEKINGLyric10	2
104	UltraZombie	2
104	_3Stump_	2
104	Steelynan	2
104	EngagedGrub41	2
104	DairyNickel756	2
104	Nicserso	2
104	HesDemonPants	2
104	00000000-0000-0000-0009-01ff0c3e5e4f	2
128	MunkaKris	1
128	Mowelan	1
128	squigglybones	1
128	PazinGaming	1
128	shineh10	1
128	Hyugo	1
128	TooManyDuck	1
128	Wooptey	1
128	Humpcat	1
128	Jahara	1
128	Batman922	1
128	Alteriity	1
128	Morgf	1
128	Mahoose	1
128	Ao_Ken	1
128	Alphanzt99	1
128	Ssor69	1
128	Ozixar	1
128	Saucepeh	1
128	jacxhadow	1
128	corvidpartyfor6	1
128	Fullut	1
128	Smashic	1
128	excelsionprime	1
128	Mewar	1
128	SUSUGAM	1
128	DrBalloon	1
128	Touched_Bread	1
128	mipTheQueen	1
128	DirtyBoar	1
128	CharlieButt	1
128	TheDankPlatypus	1
128	SHAOBADMAN	1
128	shadowthemonkey	1
128	Arceus1975	1
128	Reneedium	1
128	Rebytre	1
128	Mattesco	1
128	Kynigito	1
128	MonitorLizards	1
128	MeanTugger	1
128	AuroraSkies	1
128	JollyDroopy52	1
128	masskedman	1
128	privatemeekly	1
128	Fuhrer_Teemo	1
128	Toiton	1
128	Dakar_	1
128	_Karmaa	1
128	ReflexCode	1
128	MightyWertu	1
128	LordAurum	1
128	Factoroni	1
128	MrShojo	1
128	MC_Skribble	1
128	Western_1	1
128	MilleGrug	1
128	Njensen7	1
128	VentiHilton	1
128	trexgb	1
