rank	username	minecraft:used/minecraft:blue_stained_glass
1	beeperbeeper5	33777
2	Hyp3rion_	19133
3	Blu3beast	18943
4	EMC_	11172
5	noam464	10624
6	MightyWertu	10067
7	Spacewardharpy7	9194
8	MilleGrug	8111
9	Zythose	5919
10	ssleepless	3099
11	Franco093	3080
12	Blaiku	2634
13	Segotep999	2168
14	sp00ky_ghost977	2109
15	Skippeh	1990
16	Smoke____	1889
17	Di_infiri	1621
18	nocturne78	1615
19	KG1999	1414
20	Swexti	1330
21	NinjaKnifeKill	1272
22	Powowowow	1073
23	lordpipe	968
24	AuroraValkyrie	891
25	Notta	779
26	ProfessorBee	730
27	EcksD	724
28	ItsDeltaMC	615
29	Hiryu27	538
30	Blackberry1310	484
31	Ezekson	442
32	Merv__	370
33	TheShyPig	368
34	eitanzaki	364
35	awesomeoneme	336
36	Bandito_Roamer	295
37	walll	294
38	TheSecondLord	290
39	Sleek_Storm_721	271
40	Hermanni__	266
41	PhantomsGhost_	264
42	The_slideV3	252
43	ShedJr_	243
44	yatsuta	241
45	ImpavidArcher	239
46	wezzzi	222
47	MattieHD	214
48	_Nuf	195
49	Frozil12	189
50	Spenduh	182
51	titanlax	176
52	Steelynan	157
53	thewindmillman	156
54	Whiterooster001	152
55	Vellu21	143
56	Nicserso	139
57	Invisie	134
58	CliffEmAll	121
59	XboxPanda	119
60	chipklip	117
61	fallingemma	99
62	Syropatathe	98
63	XxCookiequeenxX	84
63	lcvezra	84
65	VentiHilton	82
66	domagawha	76
67	dartwaffle	68
68	MakeHistory157	64
69	tobinwilliams	63
70	pintsizedrogue	61
70	NameGenerat0r	61
72	Jiminbub	60
73	LexMakesHistory	56
74	Mattesco	53
75	JEWISHBadenBeele	45
75	rarrq	45
75	Maenara	45
78	500am	43
78	Enderslayerxz3	43
80	joethahobo	36
81	burbankbuilder28	35
81	Lutres_Torane	35
81	Groundler	35
84	Freak_Genius	33
85	Mahoose	32
85	Lez_	32
85	xxPipperDipperxx	32
88	PlasticOtari	29
89	Snowflowe	28
90	Lord_Jord	25
91	kekhon	24
92	Wooptey	23
92	T045RTY	23
92	mwrty	23
92	Onennon	23
96	Xalithia	21
97	Werbe	20
98	Inchef	19
99	Doom_melon	17
99	Shogunite	17
99	Factoroni	17
102	heckface	15
103	oxfordschool	12
104	m_be9	11
105	bloodbiter	10
105	Fullut	10
105	thescout7	10
105	ROY4LE	10
105	epiksk8erduck	10
105	Soplight	10
105	brofrickcheaters	10
105	fffMike	10
113	peach0s	9
113	ATrojansLegend	9
115	RatatJuice	8
115	4774	8
115	TJawesome09	8
115	Inbefour	8
115	fluddd	8
115	BlankityMcBlank	8
121	Fuad_R	7
121	HellsSponge	7
121	TechnoNinja64	7
124	CoffeeNoir	6
124	Kijiki	6
124	Quotary	6
124	little_dUki	6
128	noodlepack	5
128	Kowcio_	5
128	anbbang	5
128	The_SlideV5	5
128	EcksDofficial	5
133	Smashic	4
133	stahouo	4
133	SammiWolfGirl	4
133	GlitchyPlate810	4
137	_stets	3
137	6king6colt6	3
137	2Stout	3
137	Marbz_	3
137	Jackattack53	3
137	fred870d	3
137	TheDumbHuman	3
137	YungMaki	3
137	KingMatthew506	3
137	Lowjinx	3
147	Z3braYTIL	2
147	emrekn	2
147	RodSerlingCringe	2
147	Nicky19	2
147	TheTrueClipse	2
147	FreddyFart	2
147	QueenShuvi	2
147	kinas45y5	2
147	trexgb	2
156	Jovaphobic	1
156	Iagoku	1
156	SaucyDark	1
156	Historical_Sand	1
156	Da_Boss_Rani	1
156	Comma__	1
156	SuperPooch06	1
156	Wowful	1
156	ese_wn_po	1
156	lillips	1
156	MAns_44	1
156	Nycteus_	1
156	Optiprimus	1
156	microcrisp	1
156	Kubeusz2010	1
156	diggydog67	1
