rank	username	minecraft:used/minecraft:birch_wood
1	Smoke____	2597
2	PlasticOtari	867
3	Mahoose	450
4	Groundler	292
5	The_SlideV5	201
6	lcvezra	192
7	rarrq	188
8	noam464	186
9	500am	69
10	joethahobo	55
11	beeperbeeper5	54
12	Merv__	50
13	Werbe	35
14	Steelynan	30
15	oreee	27
16	Hyp3rion_	24
17	Maenara	23
18	MyNameIsJobo	22
18	KeruNatsema	22
20	DAD_1996	20
21	Human_Resource	19
22	Legendosh	18
23	pintsizedrogue	16
24	Sky_light_KING	12
24	ayamefag	12
26	Lez_	9
26	_naturell	9
26	Luigipunch989	9
29	hm947	6
29	eviltunix	6
29	420BreadLizard	6
29	LordSpeed37	6
33	censorsheep	5
34	LotusProject	4
35	TheMaster972	3
35	Inchef	3
35	Di_infiri	3
35	Quotary	3
39	Rebytre	2
40	fr0stss	1
40	M_Patata	1
40	Shogunite	1
40	MasterNueve	1
