rank	username	minecraft:used/minecraft:bamboo_door
1	Buuck_	68
2	Mattesco	23
3	k_ce	22
4	Mr_Sun15	10
5	Hoid_the_Roamer	9
6	Mr_Byzantine	8
6	Merv__	8
6	LuvLuvLove	8
9	Napoleonpancake	6
9	BTL_craft	6
11	KamFurnace	5
12	pintsizedrogue	3
13	CLG_Kata	2
13	mymayowasgone	2
13	_witch_craft_	2
16	TheSecondLord	1
16	MattieHD	1
16	lpinfinity	1
16	thewindmillman	1
16	Bambuino	1
16	ConnorDanky_	1
16	Enderxz3	1
