rank	username	minecraft:used/minecraft:jungle_fence
1	El_Jalapeno	1098
2	mwrty	1073
3	SvenskaHugo	908
4	BronkerBrum	814
5	cedric72	744
6	Steelynan	667
7	Prodiginus	422
8	titanlax	414
9	Hyp3rion_	299
10	Mr_Byzantine	258
11	coobert42	212
12	Smoke____	194
13	Soplight	188
14	beeperbeeper5	183
15	PlasticOtari	177
16	FreakGenius	174
17	SaucyDark	170
18	Xalithia	154
19	WhyTho_1	153
20	MyNameIsJobo	141
21	catandmoose	128
22	PigDab	126
23	Winklepicker279	125
24	HellsSponge	123
25	Maenara	120
26	himak1	119
27	jnp_gaming	118
28	MixerDixer	117
29	eviltunix	113
30	Inbefour	103
31	Airem_Core	102
32	Toiton	99
32	MovingFish7	99
34	bladeefan2009	96
35	Bandito_Roamer	85
35	ShedJr_	85
35	Factoroni	85
38	ItsDeltaMC	80
39	jessemgaming	78
40	Deathkob	77
41	_Karmaa	76
42	CarltheCuck	63
43	ROY4LE	62
44	TheSecondLord	61
44	TableTim	61
46	CoffeeNoir	54
47	Dabatha	53
48	T045RTY	51
49	TAKrules	48
50	PuFY	46
50	KASAN420	46
52	QuiCreans	43
53	PegLegPete93	42
54	lillips	40
55	Tyrannosplart	38
55	OffWithTheirHead	38
57	soundad	37
57	TheShyPig	37
59	legal_tax_evader	30
60	Stiar	28
61	Xclax101	27
62	Kubelz	26
63	kekhon	25
64	Merv__	24
65	Esme_1	22
66	Ecplosive	21
67	Racengan	20
68	Jackattack53	19
69	Groovy_MoonBird	18
69	lcvezra	18
71	Inchef	15
71	benediktine1	15
73	fluddd	14
73	RadarHz	14
75	Di_infiri	13
75	ItsAki_	13
77	Fullut	12
77	F_Uhre	12
77	EveryonesUncle	12
80	binman420	11
81	Lez_	9
81	H72l9w	9
81	SvenskaAlvar	9
81	censorsheep	9
85	Groundler	8
85	BreadBacon	8
85	TechnoNinja64	8
88	rarrq	7
88	1442	7
90	500am	6
90	MineMaster0012	6
90	SammiWolfGirl	6
93	ese_wn_po	5
93	Nycteus_	5
95	Lord_Jord	4
96	Frozil20	3
96	Mythic1130	3
96	ConnorDanky_	3
99	Mahoose	2
99	IWorkAtIkea	2
99	WET_WET_WET	2
99	luseis	2
99	MAns_44	2
99	sp00ky_ghost977	2
99	IronicUwU1	2
106	pintsizedrogue	1
106	_Virify_	1
106	Incinere	1
106	Wooptey	1
106	eitanzaki	1
106	Swexti	1
106	Da_Boss_Rani	1
106	InfernalMound	1
106	noam464	1
106	Zaridey	1
106	Arceus1975	1
106	ApophisNova	1
106	_Crimson_Legate	1
106	Shogunite	1
106	Deerfoot	1
106	Blu3beast	1
106	Spacewardharpy7	1
106	MyNamaSheff	1
