rank	username	minecraft:used/minecraft:cyan_banner
1	Manaateee	111
2	luseis	99
3	beeperbeeper5	82
4	Fullut	81
5	Mattesco	42
6	Spacewardharpy7	37
7	TheShyPig	36
8	m_be9	30
9	xolstoi	27
10	Lunkuku	20
11	Werbe	18
11	EveryonesUncle	18
13	Skippeh	16
14	Onennon	14
14	ZeroKraken	14
16	Merv__	13
16	SvenskaHugo	13
18	Apollo_993	11
18	YungMaki	11
20	StarCookiees_	10
21	Kakolbus	8
22	kekhon	7
23	Mr_Byzantine	6
23	Historical_Sand	6
23	Snowflowe	6
23	Kowcio_	6
23	EcksD	6
28	Eraxa	5
29	pintsizedrogue	4
29	Blackberry1310	4
29	Hiryu27	4
29	Ezekson	4
33	Marbz_	3
33	Akoot_	3
33	HellsSponge	3
36	KarlKaek	2
36	SaucyDark	2
36	Mahoose	2
36	joethahobo	2
36	noam464	2
36	Skylord_Luke	2
36	ApophisNova	2
36	NomadicRobin_	2
36	MyNamaSheff	2
45	Lez_	1
45	jessewegottacook	1
45	Jackattack53	1
45	FishyBoy3811	1
45	Shogunite	1
45	FreakGenius	1
45	Xclax101	1
45	iSammael	1
45	moolerbooler	1
45	MineMaster0012	1
45	ConnorDanky_	1
45	Weepingbiel	1
45	Enderxz3	1
45	skrongus	1
