rank	username	minecraft:used/minecraft:mud_brick_stairs
1	Pumpkin_P_Patch	1449
2	Mr_Byzantine	406
3	TheWickedBird	391
4	_Huge_Male_	369
5	Jimb0nat0r	324
6	pixelviolin	205
7	Merv__	176
8	Juansinmiedo18	164
9	luseis	160
10	Mattesco	136
11	rarrq	125
12	Manaateee	90
13	Lez_	81
13	Kowcio_	81
15	Dakar_	74
16	skroobiez	65
17	PazinGaming	59
18	SpacesickPrism	51
19	Iamthejo	35
20	MrShojo	34
21	Soplight	29
22	Steelynan	14
23	Mahoose	11
24	EMC_	9
25	CarryLine	6
26	Roenfire	4
27	PlasticOtari	3
28	Secret_Canary	2
29	myaccountwasgone	1
29	Enderxz3	1
