rank	username	minecraft:used/minecraft:iron_chestplate
1	TheBananaKat	61
2	Nekomin0	25
3	Tropiicant	13
4	beeperbeeper5	5
4	Kowcio_	5
6	Huwulling	4
6	12Magner05	4
6	thewindmillman	4
6	luseis	4
6	StarCookiees_	4
6	MineMaster0012	4
12	Napoleonpancake	3
12	CaracolCxnt	3
12	corvidpartyfor6	3
12	Yahir091	3
16	CloroxBleach385	2
16	PazinGaming	2
16	ZaneABrain	2
16	Auseawesome	2
16	MoonixMonody	2
16	TheSecondLord	2
16	orxngejuice	2
16	thatbeanyboi	2
16	Hyp3rion_	2
16	Penguinllama517	2
16	Hahaa_0	2
16	Sorry_Arey	2
16	Eraxa	2
16	TheEnderMan548	2
16	SvenskaHugo	2
16	_i_ERROR_i_	2
16	88Hazza88	2
16	mobunni	2
16	AstroLightz_	2
16	2blox_	2
16	AdmiralSmoke	2
37	RideTheLighting	1
37	H0UNDFRMH3LL	1
37	pigybog	1
37	PixelRuler	1
37	Haylies	1
37	j5ylim	1
37	Sandiotchi	1
37	No_Bena	1
37	CLG_Kata	1
37	chipklip	1
37	ganyuganyu	1
37	Saint_Neptune	1
37	AgressiveEggdog	1
37	Tommhh	1
37	Frozil20	1
37	Flex_Tape_Phil	1
37	BlackShadow_1007	1
37	diamondgolem35	1
37	Qalech	1
37	Slinkyy7071	1
37	DinoDoctor_	1
37	itburb	1
37	ImpavidArcher	1
37	Atomagus	1
37	tuckerdoodle	1
37	NoHaHeHa	1
37	MintyTuna	1
37	TAKrules	1
37	MLG_Kirby69	1
37	Archsam	1
37	cheese_spider12	1
37	Megabatman	1
37	BarryDigBick	1
37	WinnieFry	1
37	_Nova_Z	1
37	SillyDillyXoxo	1
37	QuiCreans	1
37	rarrq	1
37	HUNTERmaun	1
37	Saul_Goodman_Rup	1
37	I_Moose	1
37	BreadCatFan5400	1
37	Crizma_	1
37	dawerty	1
37	Ascl3p1us	1
37	Boboczus	1
37	Raspberry_Sodas	1
37	catandmoose	1
37	Secret_Canary	1
37	SteveCraftBlocks	1
37	jaba_snk	1
37	LegendarySlayer	1
37	Smashic	1
37	mrnosetackle	1
37	lorpus	1
37	piano10	1
37	Inchef	1
37	ItsRyanM8	1
37	pvpGODfrfr	1
37	smarticuno	1
37	BigFatHunk	1
37	Defaitiste	1
37	eli_tschki	1
37	GOOBERGABE04	1
37	REALLYHURTS	1
37	longappendage	1
37	hanaryheatwave	1
37	mvrty	1
37	GreedyFern8581	1
37	Destroyer112221	1
37	CrateOfBoxes	1
37	ItsMrRamen	1
37	rosswellcrash	1
37	GamerDuck123	1
37	The_Fulgurator	1
37	SvenskaSara	1
37	OreTheBear	1
37	BronkerBrum	1
37	Rebytre	1
37	oscminus	1
37	ramy_m	1
37	CowOfTheNile	1
37	TheWildMateo	1
37	Keith_Stark	1
37	DietSoda1	1
37	bee_gorl	1
37	floodjon	1
37	Mattesco	1
37	A_Potatoe	1
37	Zackran	1
37	Mr_Sun15	1
37	LeGold	1
37	R1CHY2K	1
37	Gmoney390	1
37	Samificator	1
37	Dan_Scha	1
37	xKool	1
37	Akoot_	1
37	GooseWithin	1
37	fw3xy74	1
37	420BreadLizard	1
37	simo4000wolt	1
37	TruestTurnip	1
37	GigaSl	1
37	Dakar_	1
37	AstreaTSS	1
37	beetlebum300	1
37	ATurtle4936	1
37	ThatMan_Dave	1
37	Swiffin	1
37	Buuck_	1
37	LukeBBM12	1
37	THEKINGLyric10	1
37	Vegvisir	1
37	RaiaMala_	1
37	lordpipe	1
37	Bonzaidalek	1
37	zKaneki	1
37	TheAlmightyMoist	1
37	Tibbby	1
37	MustardSquid	1
37	FadedSpade82	1
37	DracZSenpai	1
37	UCP_TheKingK	1
37	Sequ1sha	1
37	MADDMASTA	1
37	brofrickcheaters	1
37	AshleySpiritHawk	1
37	Celeste_121	1
37	Heisenbberrg	1
37	alanbleachdemon	1
37	KeterComet	1
37	Bairhug	1
37	zOnlyKroks	1
37	impervious	1
37	youarefrench_	1
37	Physics_Breaker	1
37	EcksD	1
37	cichy096	1
37	CattSoup	1
37	pennyswan	1
37	McGabsy	1
37	Enderxz3	1
37	Jimb0nat0r	1
37	Blueishberry	1
37	LiL_Dorfbewohner	1
37	WYFYoyo	1
37	00000000-0000-0000-0009-01ffb083c258	1
37	00000000-0000-0000-0009-01faf4342590	1
