rank	username	minecraft:used/minecraft:acacia_sign
1	beeperbeeper5	988
2	ApophisNova	565
2	MyNamaSheff	565
4	AdmiralSmoke	381
5	PigDab	274
6	Mahoose	236
7	Blu3beast	172
8	Werbe	152
9	Blaiku	126
10	Hoid_the_Roamer	125
11	Powowowow	106
12	ProfessorBee	104
13	Jackattack53	97
14	Groovy_MoonBird	86
15	Karetoko	74
16	MyNameIsJobo	67
17	dopplexd	61
17	Meatlaugh	61
17	Soplight	61
20	PhantomsGhost_	54
20	r123moore	54
22	kalzor	51
23	Kynigito	49
24	youhjjhhhjj	48
25	thescout7	47
26	Kakolbus	45
27	mariominejedi	43
27	xzvu	43
29	Mr_Byzantine	41
30	Hiryu27	39
31	KarlKaek	37
31	luseis	37
33	TheShyPig	35
34	Euclidoris	34
34	kekhon	34
34	Akoot_	34
37	Soul_Atreus	32
38	Merv__	31
38	ImpavidArcher	31
38	YungMaki	31
41	ROY4LE	27
42	eitanzaki	26
42	Franco093	26
44	2Stout	24
44	DarlaMeow	24
44	xolstoi	24
47	Manaateee	23
48	MoistMicrowave	22
48	eviltunix	22
50	12Magner05	21
51	ConnorDanky_	20
52	Badenbeele	19
52	Lez_	19
52	hzs91	19
52	Doom_melon	19
52	Di_infiri	19
57	KingMatthew506	17
58	ShedJr_	16
58	eiC_	16
58	Toriankel	16
58	h2p_emrld	16
62	tartanboy	15
63	SaucyDark	14
63	Batman922	14
63	Awyrlas	14
63	IAmTheWalrus910	14
63	laron58	14
63	PlasticOtari	14
69	CLG_Kata	13
69	ECstardust	13
69	Zedducius	13
69	HellsSponge	13
69	Spacewardharpy7	13
74	500am	12
74	Tyrannosplart	12
76	Frozil20	11
76	joethahobo	11
76	TheSecondLord	11
76	jushykins	11
76	Scathra	11
76	oscminus	11
76	jewbacaman	11
76	claivin	11
76	jcool7	11
85	Alteriity	10
85	Steelynan	10
87	Rox_The_Box	9
87	Smashic	9
87	Chuvacevedo	9
87	560cool	9
87	MirielThePastor	9
92	KingFaenor	8
92	KlausVonStiglitz	8
92	Quaintster	8
92	FreakGenius	8
92	lordpipe	8
92	SammiWolfGirl	8
92	Dreamdbr14	8
92	FelixPSY375	8
100	baxteerr	7
100	Vizzoid	7
100	Blackberry1310	7
100	Rich_Kat	7
100	Zaridey	7
100	underscore_2	7
100	UCP_TheKingK	7
100	cichy096	7
108	pintsizedrogue	6
108	k_ce	6
108	T045RTY	6
108	CEOofSHINS	6
108	Secret_Canary	6
108	Flapjacker687	6
108	AnnieBathory	6
108	audiocracked	6
108	Deodorante	6
108	JESS_THE_RERE	6
108	WyngGoy	6
108	starbits140	6
108	Vellu21	6
108	Kubeusz2010	6
108	smogfrog	6
123	Apollo_993	5
123	SyntheticSurgeon	5
123	peach0s	5
123	bloodbiter	5
123	Fullut	5
123	olliebollie48	5
123	Arceus1975	5
123	Snowflowe	5
123	Bumpy419	5
123	Felenov	5
123	Onennon	5
123	yulgur1	5
123	fluddd	5
123	Spenduh	5
123	SpacesickPrism	5
123	Legendosh	5
139	Alexanderjac	4
139	xXTheWolfmanXx	4
139	Dogbound	4
139	m_be9	4
139	Inchef	4
139	gcaisawesome	4
139	DirtyBoar	4
139	Shogunite	4
139	ReflexCode	4
139	Eraxa	4
139	rejenita	4
139	Njensen7	4
139	bitsplease	4
139	EcksD	4
153	TheMilkerOfCats	3
153	ITDV	3
153	Auseawesome	3
153	mattybeewrapss	3
153	SteveCraftBlocks	3
153	hanaryheatwave	3
153	Hyp3rion_	3
153	ooga47	3
153	The_Cruncy	3
153	F_Uhre	3
153	duqboy	3
153	MakeHistory157	3
153	jnp_gaming	3
153	skrongus	3
153	561cool	3
168	Mocha_Mug	2
168	EMC_	2
168	6king6colt6	2
168	CoffeeNoir	2
168	Huwulling	2
168	Ozixar	2
168	ThePoliteG	2
168	_Dean_123	2
168	set67	2
168	fweddy	2
168	Zerosene	2
168	SellyZ	2
168	noam464	2
168	fr_ser	2
168	Malware_Mara	2
168	Rumpletaezer	2
168	Yaffs_OG	2
168	wrinkledpiglet	2
168	ougstur	2
168	thgrocks	2
168	Luminad3	2
168	Nicky19	2
168	LeonelSalamanca	2
168	NomadicRobin_	2
168	_Bguette_	2
168	The_slideV3	2
168	NameGenerat0r	2
168	Racengan	2
168	SkateboardR6	2
168	geekbird	2
168	MineMaster0012	2
168	PortlyPete69	2
168	Seindi	2
168	fffMike	2
168	xX_Stalin69_Xx	2
168	Enderxz3	2
204	dann_n	1
204	caltosy	1
204	planc_	1
204	Myszoaz	1
204	Kelloogs	1
204	Noah_Bez	1
204	legal_tax_evader	1
204	lahavmor	1
204	Krowuss	1
204	Nosretep	1
204	ItsAki_	1
204	TheWildMateo	1
204	Shiirazu	1
204	cedric72	1
204	__dlo__	1
204	Lord_Jord	1
204	valkam13	1
204	Inbefour	1
204	Gryglu583	1
204	NameIsSeven	1
204	LexMakesHistory	1
204	Travka100	1
204	SeagullRedRover	1
204	csendeslol	1
204	_beep_boop	1
204	Ze_BaronKrigler	1
204	ElectricDragon81	1
204	CACTUSLAD	1
204	Kyrum2169	1
204	BlankityMcBlank	1
204	lcvezra	1
204	PlzNoBM	1
204	TheALV	1
204	erkada	1
204	Dr0xzy	1
204	Skippeh	1
204	mountaingirl311	1
204	TechnoNinja64	1
204	Sral7	1
