rank	username	minecraft:used/minecraft:waxed_cut_copper
1	Mattesco	26538
2	TheSecondLord	2007
3	PlasticOtari	1368
4	Jimb0nat0r	878
5	Solar_Power	809
6	fragrantmonke444	643
7	12Magner05	361
8	Huwulling	210
9	_Huge_Male_	171
10	Mr_Byzantine	164
11	TheKingK_	156
12	EMC_	92
13	hanaryheatwave	70
14	Manaateee	60
15	Yamdalorian	58
16	HUNTERmaun	54
17	PazinGaming	52
18	beeperbeeper5	48
19	Lez_	46
20	Steelynan	44
21	pintsizedrogue	33
22	luseis	31
23	TheWickedBird	11
24	Smashic	9
24	Soplight	9
26	MattieHD	8
26	Kowcio_	8
28	ScootOfBoot	6
29	Reneedium	5
30	FiguraDei	4
31	Myrulfan3	2
32	Krowuss	1
32	Thunder_bird4337	1
