rank	username	minecraft:used/minecraft:cookie
287	SoloHawk21	5
287	JapansDragon	5
287	Wooptey	5
287	HollieDaNugget	5
287	MrExplorer	5
287	Cambo5000	5
287	RobotMinion101	5
287	Toiton	5
287	Freak_Genius	5
287	JayToe	5
287	WinterYoke	5
300	SaltineDream	4
