rank	username	minecraft:used/minecraft:nether_wart_block
1	Smoke____	5334
2	Blaiku	2264
3	TheSecondLord	1250
4	joethahobo	1134
5	noam464	1110
6	Freak_Genius	908
7	12Magner05	829
8	RebelAndroid	696
9	ApophisNova	376
9	MyNamaSheff	376
11	kekhon	361
12	Blackberry1310	339
13	Cowison	337
14	OtariCharlie	271
15	Fullut	268
16	CoffeeNoir	262
17	Luigipunch989	219
18	Xalithia	217
19	YungMaki	199
20	Eraxa	174
21	lillips	164
22	Lord_Jord	148
23	TheShyPig	142
24	ooga47	126
25	6king6colt6	112
26	pintsizedrogue	95
27	Enderslayerxz3	84
28	The_slideV3	79
29	SammiWolfGirl	77
30	Kubelz	65
31	Yatitay	52
32	bloodbiter	49
33	xxPipperDipperxx	47
34	M_Patata	42
35	HellsSponge	35
36	thewindmillman	34
37	Xclax101	31
37	sebastiensaborio	31
39	Eon_57	29
40	EveryonesUncle	28
41	Snowflowe	27
42	TheTommyGun63	25
42	brofrickcheaters	25
44	Inchef	20
44	Deathkob	20
46	eitanzaki	19
46	fred870d	19
48	Chromary	17
48	fkGrim	17
50	xX_HaroldHolt_Xx	16
50	KartivGal	16
52	djancak	15
53	EMC_	14
54	Akoot_	13
55	_Virify_	12
55	ogoa	12
55	Soplight	12
55	anbbang	12
55	TechnoNinja64	12
60	SuperPooch06	11
60	CruncyIsTaken	11
60	Gryglu583	11
63	ShedJr_	10
63	2blox	10
65	Jovaphobic	9
65	beeperbeeper5	9
65	Awyrlas	9
65	Shogunite	9
65	RadarHz	9
70	Hpdinosaur	7
70	CliffEmAll	7
70	Lumien_	7
70	Di_infiri	7
70	NomadicRobin_	7
70	Kowcio_	7
70	jnp_gaming	7
77	himak1	6
77	orxngejuice	6
77	eiC_	6
77	Arceus1975	6
77	Winston_Ingram	6
77	MilleGrug	6
77	Kubeusz2010	6
77	oxfordschool	6
77	Legendosh	6
86	soundad	5
86	Myszoaz	5
86	FishyBoy3811	5
86	DarlaMeow	5
86	SingedBread	5
86	UltraZombie	5
92	AuroraValkyrie	4
92	titanlax	4
92	500am	4
92	emrekn	4
92	Winklepicker279	4
92	gustarbite	4
92	masskedman	4
92	Frozil12	4
92	Eczbek	4
101	Paint	3
101	KarlKaek	3
101	Nesquiczek	3
101	Dedalus36	3
101	Mahoose	3
101	Historical_Sand	3
101	Master_Kol	3
101	set67	3
101	egglapras	3
101	breadbowlgamer	3
101	Quinasin	3
101	Nycteus_	3
101	VentiHilton	3
101	TheOnlyRake	3
101	trexgb	3
116	_NieToksikpl_	2
116	Merv__	2
116	MSK__	2
116	BobDeBouwer1337	2
116	ROY4LE	2
116	gcaisawesome	2
116	whoaluv	2
116	Hyp3rion_	2
116	cwartzo	2
116	Lowjinx	2
126	Mr_Byzantine	1
126	ssleepless	1
126	BlancoFlaco	1
126	livingdaydreams	1
126	MrExplorer	1
126	ProfessorBee	1
126	UncreativeArtist	1
126	XboxPanda	1
126	loveseeker	1
126	GOOBERGABE04	1
126	Zythose	1
126	Skylord_Luke	1
126	ADEXTV	1
126	MyNameIsDakar	1
126	CookTheChef3	1
126	claivin	1
126	Quaintster	1
126	El_Jalapeno	1
126	Steven1282598	1
126	SkateboardR6	1
126	MasterNueve	1
126	AssFullaCum	1
126	Njensen7	1
126	Hermanni__	1
126	Ezekson	1
