rank	username	minecraft:used/minecraft:yellow_stained_glass
1	beeperbeeper5	7890
2	Lez_	1446
3	lordpipe	489
4	Frozil20	387
5	groofles	383
6	Soplight	366
7	RoskobiOne	344
8	EcksD	338
9	skitzxo	252
10	Kowcio_	245
11	mihimihimihi	211
12	emreknugrlu	201
13	lunkuku	199
14	Eczbox	195
14	Eczbek	195
16	stellarjay	189
17	The_slideV3	180
18	TheSecondLord	167
19	PigDab	157
20	oscminus	156
21	pintsizedrogue	144
22	claivin	133
23	Kubelz	129
24	xxPipperDipperxx	128
25	Mattesco	126
25	Jimb0nat0r	126
27	Spacewardharpy7	121
27	Steelynan	121
29	El_Jalapeno	120
30	Groundler	103
31	Snowflowe	99
32	Optiprimus	95
33	Yamdalorian	93
34	kekhon	92
35	Jackattack53	91
36	ROY4LE	83
37	joethahobo	75
37	VentiHilton	75
39	blackeemperor	70
40	Alteriity	68
41	PlasticOtari	67
42	titanlax	66
43	tobinwilliams	64
44	Hyp3rion_	61
45	BadenStayFly	58
46	ConnorDanky_	55
47	Touched_Bread	51
48	DC_XII	50
49	Maenara	47
50	luseis	46
51	AlexxO_o	45
52	FreakGenius	44
53	MakeHistory157	36
54	Mahoose	34
55	Notta	31
55	The_SlideV5	31
57	ougstur	30
58	jushykins	29
59	Inbefour	28
60	Zoeyfortnite	27
61	Wooptey	25
61	EveryonesUncle	25
63	Bumpy419	24
64	Rumpletaezer	22
65	Chuvacevedo	21
65	Akoot_	21
67	Manaateee	19
68	mwrty	18
69	MrMeisterProper	17
70	AuroraValkyrie	16
71	BlueZabu	12
72	Onennon	11
73	rarrq	10
73	Inchef	10
73	Werbe	10
76	thewindmillman	9
77	xXTheWolfmanXx	8
77	MyNameIsJobo	8
77	MAns_44	8
77	jnp_gaming	8
81	500am	7
81	PortlyPete69	7
81	little_dUki	7
84	noam464	6
84	Quotary	6
86	MoistMicrowave	5
86	Saucepeh	5
86	MattieHD	5
86	HellsSponge	5
86	Xclax101	5
86	Pumpkin_P_Patch	5
92	eitanzaki	4
92	Arteriana	4
92	CliffEmAll	4
92	crashomon	4
92	miramyu	4
92	fffMike	4
98	CLG_Kata	3
98	Huwulling	3
98	yheece	3
98	hanaryheatwave	3
98	Skylord_Luke	3
98	ogoa	3
98	KingMatthew506	3
105	PazinGaming	2
105	6king6colt6	2
105	SaucyDark	2
105	fr0stss	2
105	akap47	2
105	Smashic	2
105	Zaridey	2
105	domagawha	2
105	ScootOfBoot	2
105	EdGalbraith	2
105	Fuad_R	2
105	TheDumbHuman	2
105	Legendosh	2
118	Jovaphobic	1
118	dabloons	1
118	SOA1RR	1
118	NieToksikpl	1
118	Secret_Canary	1
118	Awyrlas	1
118	fade_emerge78823	1
118	TheShyPig	1
118	Blu3beast	1
118	Spenduh	1
118	Dogcorn69420	1
118	Skippeh	1
