rank	username	minecraft:used/minecraft:polished_deepslate_stairs
1	Mattesco	4431
2	mihimihimihi	3263
3	StinkyDiplomat	1992
4	YungMaki	1905
5	Spacewardharpy7	1713
6	EMC_	1705
7	HUNTERmaun	1479
8	thebaddruid	1370
9	TheSecondLord	905
10	Fuad_R	869
11	EveryonesUncle	833
12	pintsizedrogue	622
13	500am	579
14	Winklepicker279	518
15	fade_emerge78823	472
16	Jackattack53	427
17	weabis	396
18	RoskobiOne	391
19	Groovy_MoonBird	388
20	Apollo_993	366
21	corpsecity	353
22	PlasticOtari	351
23	Touched_Bread	324
24	catandmoose	296
25	PazinGaming	282
26	Da_Boss_Rani	268
27	TheWildMateo	248
28	Legendosh	228
29	thewindmillman	222
30	SvenskaHugo	217
31	Mr_Byzantine	208
32	luseis	189
33	oscminus	175
34	shineh10	158
35	Dblikstad	148
36	excelsionprime	144
37	pixelviolin	129
38	skroobiez	127
39	Hyp3rion_	125
40	Moofyman	111
41	ImpavidArcher	107
42	2extreeme	106
43	12Magner05	103
44	lordpipe	96
45	Lord_Jord	78
45	Manaateee	78
47	Alteriity	77
48	JETrotter	76
49	Steelynan	71
50	Jimb0nat0r	70
51	Nicserso	67
52	hm947	58
53	Btabtab	57
53	TheWickedBird	57
55	Smashic	52
56	ScootOfBoot	49
57	teslawolf38	40
58	joethahobo	39
59	Lez_	35
59	NATE_the_HALO	35
61	Deathkob	33
62	ZeroAbyssTTV	31
63	prizm_	27
64	Krowuss	24
64	emreknugrlu	24
66	Niklas20114552	23
66	BiggieDawg	23
68	Huwulling	21
68	Sleepy_Time_	21
68	MAns_44	21
71	TheKingK_	19
72	non089	16
73	Kubelz	15
73	sp00ky_ghost977	15
75	XxCookiequeenxX	14
76	Gzrdy	12
77	TooPure2	11
77	beeperbeeper5	11
77	fragrantmonke444	11
77	lizardfightclub	11
81	_Huge_Male_	10
82	Merv__	9
83	k_ce	6
83	Myszoaz	6
85	RatatJuice	5
85	Pumpkin_P_Patch	5
85	BeardBois	5
88	titanlax	3
88	hanaryheatwave	3
88	R1CHY2K	3
88	Kowcio_	3
88	Enderxz3	3
93	Mahoose	2
93	FiguraDei	2
93	Mikael_Kuningas	2
93	11Brewer	2
97	drunkeeez	1
97	Olib3ar	1
97	EdGalbraith	1
97	pretty_pink_reno	1
