rank	username	minecraft:used/minecraft:purple_shulker_box
1	pintsizedrogue	607
2	ROY4LE	603
3	SaucyDark	318
4	Mahoose	298
5	Smoke____	285
6	livingdaydreams	281
7	beeperbeeper5	249
8	Fullut	229
9	ApophisNova	195
9	MyNamaSheff	195
11	mwrty	183
12	Malorn_Aetherius	164
13	500am	157
14	fluddd	149
15	kekhon	147
16	Hyp3rion_	136
17	Zythose	134
18	Akoot_	131
19	HellsSponge	130
20	burbankbuilder28	126
21	jnp_gaming	116
22	T045RTY	96
22	claivin	96
24	r123moore	95
25	lcvezra	92
26	Jovaphobic	90
27	Teebone15	79
28	Cryptacity	75
29	YungMaki	70
30	PlzNoBM	67
31	NameGenerat0r	66
31	jcool7	66
33	m_be9	64
34	lordpipe	61
35	sp00ky_ghost977	60
36	Enderslayerxz3	58
37	TheSecondLord	54
38	soundad	50
39	Awyrlas	48
40	Xalithia	47
41	Fizznut909	45
42	GlitchyPlate810	41
43	Bandito_Roamer	38
44	cedric72	37
44	Razzgriz	37
46	censorsheep	34
47	chipklip	33
48	Werbe	32
48	AssEatrAndLicker	32
50	Spacewardharpy7	30
50	kinas45y5	30
52	mawileite	27
53	Fuhrer_Teemo	26
53	Eraxa	26
55	12Magner05	25
55	cichy096	25
57	Sky_light_KING	24
57	SexcMf	24
59	Groovy_MoonBird	23
59	diamondgolem35	23
61	Historical_Sand	21
61	Ezekson	21
61	TechnoNinja64	21
64	rarrq	20
64	thewindmillman	20
66	Ecplosive	18
67	ZeroKraken	17
68	LexMakesHistory	16
68	__Auspicious	16
70	Giannism	15
71	PigDab	14
72	Blaiku	13
72	oxfordschool	13
74	titanlax	12
74	lillips	12
76	_Virify_	11
76	ExtraDumb	11
76	SeverianTheLame	11
76	Deathkob	11
80	fred870d	10
80	TheShyPig	10
80	ElKaySVK	10
80	K_a__a_n	10
84	OtariCharlie	9
84	Dogcorn69420	9
86	Quincannon	8
86	pixelviolin	8
88	I_Am_Mushkin	7
88	Euclidoris	7
88	UncreativeArtist	7
88	Hermanni__	7
92	AlazelTheReal	6
92	emrekn	6
92	Bumpy419	6
95	eitanzaki	5
95	DarlaMeow	5
95	EcksD	5
98	TooManyDuck	4
98	Hpdinosaur	4
98	surfinggiraffejp	4
98	noam464	4
98	Snowflowe	4
98	sxc_	4
98	Groundler	4
98	Kowcio_	4
98	Kubeusz2010	4
107	CoffeeNoir	3
107	Shadoko_	3
107	xambsam	3
107	King_Pancake1	3
107	madderfall	3
107	Quotary	3
113	ImpavidArcher	2
113	Blackberry1310	2
113	MinttyFressh	2
113	ProfessorBee	2
113	thescout7	2
113	xxPipperDipperxx	2
113	Rumpletaezer	2
113	Xeno175	2
113	audiocracked	2
113	1Riot	2
113	anbbang	2
124	MR__puma	1
124	PhantomsGhost_	1
124	Merv__	1
124	Nesquiczek	1
124	Gundam_Steven	1
124	joethahobo	1
124	Clxpzy	1
124	Upstro10	1
124	NotTrixi	1
124	Inchef	1
124	gcaisawesome	1
124	Zaridey	1
124	gabriels543	1
124	SuperPooch06	1
124	Shiirazuku	1
124	NomadicRobin_	1
124	_Bguette_	1
124	KSI	1
124	Nycteus_	1
124	Frozil12	1
124	Racengan	1
124	lolpoottoot	1
124	Hisiste	1
124	Y3ntai	1
124	Soplight	1
124	SammiWolfGirl	1
124	CalebDHawk	1
124	VentiHilton	1
124	HesDemonPants	1
