rank	username	minecraft:used/minecraft:kelp
1	Snowflowe	10691
2	Smoke____	7934
3	thewindmillman	7776
4	Spacewardharpy7	7714
5	Hyp3rion_	6848
6	HellsSponge	6783
7	beeperbeeper5	6137
8	pintsizedrogue	5325
9	joethahobo	5123
10	12Magner05	4699
11	Di_infiri	3737
12	himak1	2659
13	Mahoose	2548
14	robotemo	2424
15	PhantomsGhost_	2327
16	eitanzaki	2153
17	_Dean_123	1970
18	500am	1966
19	Soplight	1952
20	Blaiku	1849
21	_Karmaa	1717
22	FreakGenius	1690
23	Esme_1	1683
24	Fuhrer_Teemo	1675
25	Ezekson	1656
26	MattieHD	1560
27	non089	1516
28	Enderxz3	1496
29	YungMaki	1431
30	WyngGoy	1335
31	AuroraValkyrie	1308
32	EngagedGrub41	1305
33	SlayerCrypto	1297
34	Blackberry1310	1285
35	TechnoNinja64	1238
36	Seyaboy	1230
37	Teebone15	1226
38	Jackattack53	1210
39	noam464	1172
40	MightyWertu	1142
41	thescout7	1079
42	Ssor69	1013
43	Arceus1975	973
44	pixelviolin	902
45	aldplaysmc	891
46	PlasticOtari	883
47	KingFaenor	879
48	ImpavidArcher	852
49	cedric72	839
50	legal_tax_evader	835
51	m_be9	832
52	Lord_Jord	788
53	El_Jalapeno	755
54	gcaisawesome	702
55	MilleGrug	701
56	EcksD	679
57	Powowowow	675
58	Fullut	654
59	__tomato	642
60	GravitySaint	617
61	Legendosh	602
62	jcool7	584
63	Groundler	577
63	calamariclam_I	577
65	Ryker	569
66	mihimihimihi	557
67	Touched_Bread	541
68	DemTechAlpha	534
69	EMC_	531
70	TheShyPig	523
71	Fuad_R	510
72	catandmoose	483
73	Werbe	478
74	Swexti	473
75	weabis	468
76	Frozil20	446
77	T045RTY	444
78	Mewar	425
79	Hyugo	411
80	Prismyst	409
81	eviltunix	408
82	tuckerdoodle	405
82	Voxin2K	405
84	DarkLawD	402
85	2bolx_	398
86	EveryonesUncle	386
87	Bumpy419	380
88	PigDab	376
89	RebelAndroid	370
90	Jimi7hits	365
91	luseis	359
92	sandmire	354
92	zToasty69z	354
94	Rumpletaezer	349
95	ConnorDanky_	344
96	trexgb	336
97	Steelynan	335
98	burbankbuilder28	329
99	diggydog67	328
100	Marbz_	325
101	KGTV	324
102	Kowcio_	316
103	lordpipe	296
104	jnp_gaming	285
105	SaucyDark	283
105	Euclidoris	283
105	seramalen	283
108	Groovy_MoonBird	282
109	SingedBread	270
110	Hermanni__	268
111	MirielThePastor	258
112	malgosia14	253
113	shrimp_flips	246
114	Inbefour	243
115	Warlord324	238
116	The_Quack_Dealer	236
117	Jovaphobic	234
117	Xclax101	234
117	AssFullaCum	234
120	LordSpeed37	233
121	Maenara	227
122	Reamdin	222
123	q_wq	220
123	07shiny	220
125	PortlyPete69	213
126	Merv__	210
127	AlexxO_o	209
128	binman420	197
129	Kakolbus	196
130	ReflexCode	195
131	_k2x	194
132	Motsaro	193
133	ITDV	192
134	KartivGal	184
135	ProfessorBee	180
136	teslawolf38	179
137	Gundam_Steven	171
138	Stiar	169
139	Alteriity	163
140	laron58	162
140	UrbanPlanningEx	162
142	XboxPanda	157
143	jimintyy	156
144	handsome_strong	152
144	Nycteus_	152
146	WYFYoyo	151
147	Apollo_993	150
148	Secret_Canary	149
148	mwrty	149
150	KingMatthew506	146
151	CrateOfBoxes	144
152	ZoharGoldMine	143
152	SpacesickPrism	143
154	OG_Songsee	142
154	mawileite	142
156	TheDankPlatypus	141
157	Ze_BaronKrigler	139
158	BumbleBeever	136
159	fffMike	134
160	IvarEXE	133
161	Silvo614	132
162	diamondgolem35	131
163	Iagoku	129
164	jspwn	128
165	ApophisNova	127
165	MyNamaSheff	127
167	FazeObama69	126
167	IWorkAtIkea	126
169	Darkgon	125
170	TheSeismicDuck	123
170	Fildyr	123
172	Skippeh	122
173	AlphaWolfPlaysMC	121
173	Optiprimus	121
175	Historical_Sand	120
176	valiSW	119
176	F_Uhre	119
176	MakeHistory157	119
176	Erased_Identity	119
180	Kamflame10	117
181	peach0s	115
181	Winklepicker279	115
183	StinkyDiplomat	114
184	CoffeeNoir	113
184	Purplehere	113
186	Fizznut909	108
187	ShedJr_	107
187	Typadopoulos	107
189	4774	106
189	djancak	106
191	ThatBurritoTh0	104
192	MissCeleste7	103
193	_Bguette_	102
193	anbbang	102
195	Cowison	101
195	andy_rex	101
195	Weepingbiel	101
198	Sheldor097	99
199	Hormones	98
200	FirsTimeGamingTV	96
201	titanlax	94
202	dartwaffle	92
203	FishisTTV	91
204	Sral7	90
205	nattybears	87
205	Jimb0nat0r	87
207	NameGenerat0r	85
208	ssleepless	77
208	brofrickcheaters	77
210	RoofTyler	76
210	obzii	76
212	Deathkob	75
213	NotMeowMix	72
214	Comma__	71
214	Xalithia	71
216	mariominejedi	69
217	FishyBoy3811	67
218	GoofyBread	64
219	Tyrannosplart	63
220	Jackster03	62
220	Bawbman	62
222	2xil2	61
222	NATE_the_HALO	61
224	rarrq	58
225	LittleBug562	57
225	Luigipunch989	57
225	Kiki_Majiki	57
228	alderban107	55
229	fw3xywashere	53
230	Bolete	52
231	_Buffo	51
232	ZaneABrain	49
232	NomadicRobin_	49
232	Soap_Bender	49
232	BiggieDawg	49
236	Zythose	47
236	Parcc	47
238	JitteryJared2	46
239	Hiryu27	45
240	Moofyman	42
241	SexcMf	41
242	The11thDoctor	40
243	gren_ben	39
243	fkGrim	39
243	CalebDHawk	39
246	yaboo88	38
247	SmashingPump	36
247	CyrusIsTired	36
247	HesDemonPants	36
250	lillips	35
251	Ardennes	34
251	DAD_1996	34
251	Wowful	34
254	Bandito_Roamer	33
254	Rebytre	33
256	Notta	32
256	groofles	32
256	Barlycorn	32
256	Kyrum2169	32
260	KarlKaek	31
260	Malorn_Aetherius	31
260	ROY4LE	31
260	M_Patata	31
260	MasterNueve	31
260	_Dri_	31
266	MyNameIsJobo	30
266	Ender_Souls	30
266	ougstur	30
266	Blu3beast	30
270	Crowvens	29
270	PuFY	29
272	TheSecondLord	28
272	ItsAki_	28
272	Soul_Atreus	28
272	SammiWolfGirl	28
276	LeauVox4921	27
276	xxPipperDipperxx	27
276	smogfrog	27
276	Nicserso	27
280	2Stout	26
280	J4ko8_	26
282	dudcreeper	25
282	Inchef	25
282	extralargenose	25
285	Incinere	24
285	CarltheCuck	24
287	tsitrawhy	23
287	xzvu	23
289	Arteriana	22
289	Tjhodskins19	22
289	RyuNeko932000	22
289	Racengan	22
293	c1ttyk4t	21
293	ooga47	21
293	Moetis	21
293	Kubeusz2010	21
297	kekhon	20
297	SteveCraftBlocks	20
297	markaus77	20
300	walll	19
