rank	username	minecraft:used/minecraft:salmon
1	Blackberry1310	51
2	Cambo5000	38
3	Racengan	30
4	Di_infiri	28
5	MovingFish7	17
6	xxPipperDipperxx	14
6	ese_wn_po	14
8	IronyMan69	12
8	Felenov	12
8	TechnoNinja64	12
11	kekhon	11
11	Blackerstons	11
11	DarlaMeow	11
11	Blu3beast	11
11	LordSpeed37	11
11	Spoo0k	11
17	Jackattack53	10
18	Comma__	9
18	Ardennes	9
18	claivin	9
18	_zzoe	9
18	lcvezra	9
23	ShedJr_	8
23	fr_ser	8
23	PortlyPete69	8
23	Njensen7	8
27	LeeMcGee30	7
27	mackintosh_x	7
27	Smoke____	7
30	ImpavidArcher	6
30	himak1	6
30	Akoot_	6
30	SingedBread	6
30	Leithz6	6
35	T045RTY	5
35	beeperbeeper5	5
35	mimbo1211	5
35	jambvds	5
35	imaginek1d	5
40	NinjaKnifeKill	4
40	MOSS000	4
40	UncreativeArtist	4
40	lionmindset	4
40	_Boipl_	4
40	aec9	4
40	Freak_Genius	4
40	Spacewardharpy7	4
40	Ezekson	4
49	Alexanderjac	3
49	dabloons	3
49	Begformurrcy	3
49	Slinkyy7071	3
49	Isaac70096	3
49	Batman922	3
49	Mahoose	3
49	TheMaster972	3
49	titanlax	3
49	MedSeaArch	3
49	ProfessorBee	3
49	Scattman_	3
49	Nach0Bear	3
49	eviltunix	3
49	ROY4LE	3
49	Matek_	3
49	AJplaysMC_	3
49	Hyp3rion_	3
49	pappaberg	3
49	MeanTugger	3
49	Drewen24	3
49	RodSerlingCringe	3
49	NomadicRobin_	3
49	Mweems	3
49	The_slideV3	3
49	pixelviolin	3
49	PlzNoBM	3
76	pintsizedrogue	2
76	Froste131	2
76	xyct	2
76	Sleek_Storm_721	2
76	PhantomBionic	2
76	__lobgn__	2
76	rarrq	2
76	Vizzoid	2
76	Euclidoris	2
76	Malorn_Aetherius	2
76	Notta	2
76	12Magner05	2
76	Fullut	2
76	IforgotCS_Source	2
76	Noah_Bez	2
76	noam464	2
76	SuperPooch06	2
76	xKhoshekh	2
76	TheSeismicDuck	2
76	sufjanlover	2
76	chipklip	2
76	HellsSponge	2
76	CubeMuse	2
76	Xclax101	2
76	Eraxa	2
76	Soplight	2
76	Spenduh	2
76	100z	2
76	Luigipunch989	2
76	Moetis	2
76	jcool7	2
76	alderban107	2
76	Skippeh	2
76	oxfordschool	2
76	OnlyOfficial	2
76	Jordan_R	2
112	Jorrdi	1
112	pZygh0st	1
112	EMC_	1
112	hm947	1
112	Wooptey	1
112	RebelAndroid	1
112	eitanzaki	1
112	Natofthese	1
112	livingdaydreams	1
112	CoffeeNoir	1
112	Simon_Lowell	1
112	tsohomie	1
112	Myszoaz	1
112	bbrothers_5	1
112	tramizu	1
112	FirsTimeGamingTV	1
112	heckface	1
112	dopplexd	1
112	Boots_	1
112	bloodbiter	1
112	Nicky_H225	1
112	SirMinza	1
112	TheDiamondCG	1
112	crying_wolf_13	1
112	mwrty	1
112	Motsaro	1
112	benediktine1	1
112	XboxPanda	1
112	M_Patata	1
112	celerey_eater_95	1
112	Ripleey	1
112	thewindmillman	1
112	Green__Terrorist	1
112	Fast_Turtle	1
112	WarMachina	1
112	tobinwilliams	1
112	Donutt	1
112	Werbe	1
112	ooga47	1
112	SpaggeDR	1
112	HyperCave	1
112	TheShyPig	1
112	SkyHighSkier	1
112	ChrisKyleST3	1
112	SpookyDraggin	1
112	masskedman	1
112	EveryonesUncle	1
112	privatemeekly	1
112	_Bguette_	1
112	SolicitedPuma101	1
112	Lutres_Torane	1
112	majlin16	1
112	AssEatrAndLicker	1
112	Frozil12	1
112	fluddd	1
112	marumochis	1
112	MasterNueve	1
112	Nagasaki_Riku	1
112	KG1999	1
112	Jij0	1
112	plato2066	1
112	Juh1s	1
112	stahouo	1
112	SammiWolfGirl	1
112	Nekomin0	1
112	APS_Dan	1
112	GlitchyPlate810	1
112	CalebDHawk	1
112	cichy096	1
112	RadarHz	1
112	Enderslayerxz3	1
112	PlasticOtari	1
112	Yogscast_Manden	1
112	JayToe	1
