rank	username	minecraft:used/minecraft:nether_brick_slab
1	YungMaki	26338
2	Kakolbus	9937
3	EcksD	4911
4	Frozil20	4021
5	Lord_Jord	3422
6	yulgur1	3166
7	noam464	2248
8	HellsSponge	2107
9	Mahoose	2042
10	TheShyPig	1894
11	BobDeBouwer1337	1755
12	Hyp3rion_	1727
13	MyNameIsJobo	1684
14	FreakGenius	1387
15	SaintJosie	1120
16	ciemacigans	813
17	Eraxa	792
18	_Nuf	665
19	pintsizedrogue	586
20	TheBiggestFeller	493
21	Groundler	426
22	PigDab	413
23	Aezekial	391
24	beeperbeeper5	387
25	OfficerAnvil	365
26	Skippeh	346
27	anbbang	322
28	CaptainDeadBread	321
29	Vorlice	307
30	Werbe	279
31	Jindong	234
32	Bandito_Roamer	226
33	m_be9	217
34	eitanzaki	214
35	KliBeast21	205
36	Kamflame10	203
37	ooga47	196
38	GlitchyPlate810	184
39	Merv__	183
40	whoaluv	173
41	Soplight	171
42	Nyxiom_	166
43	El_Jalapeno	164
43	Smoke____	164
45	Di_infiri	159
46	Sral7	158
47	livingdaydreams	124
48	burbankbuilder28	118
49	starbits140	117
50	Decaying_Lotus	115
51	Shogunite	111
52	Blackberry1310	110
53	mwrty	92
53	Deathkob	92
55	rarrq	89
55	Spacewardharpy7	89
57	Kowcio_	83
58	Snowflowe	79
59	TechnoNinja64	74
60	SaucyDark	72
61	Rebytre	65
62	ADEXTV	63
63	F_Uhre	58
63	Blu3beast	58
65	TheSecondLord	51
65	lcvezra	51
67	Freeman666	44
68	DermeinUser	41
69	stellarjay	40
70	thewindmillman	38
71	Tolhart	36
71	Chromary	36
73	ImpavidArcher	34
73	DAD_1996	34
75	dendydoom	31
76	FlashMigma	29
77	teslawolf38	27
78	Zythose	26
79	Biites	25
80	set67	24
81	xxPipperDipperxx	23
82	CoffeeNoir	22
82	Vizzoid	22
84	TheEnderMan548	21
85	500am	20
85	ApophisNova	20
85	Dusk_95	20
85	MyNamaSheff	20
89	bloodbiter	18
89	_Bguette_	18
91	AlphaWolfPlaysMC	17
91	h2p_emrld	17
93	MrMeisterProper	16
94	Reamdin	15
94	PlasticOtari	15
96	stavgod	14
97	ShedJr_	13
97	IamCL4SSY	13
97	Sheldor097	13
100	luseis	11
101	obzii	10
102	dudcreeper	9
103	Arceus1975	8
103	RoofTyler	8
105	EMC_	7
106	kekhon	6
107	Iamthejo	5
108	6king6colt6	4
108	RobotMinion101	4
108	binman420	4
108	MAns_44	4
108	sp00ky_ghost977	4
108	Hermanni__	4
114	Secret_Canary	3
114	Rumpletaezer	3
114	Onennon	3
114	Tyrannosplart	3
114	fluddd	3
114	lordpipe	3
114	IAmTheWalrus910	3
114	kyouma777	3
122	Swexti	2
122	12Magner05	2
122	Giannism	2
122	Hiryu27	2
122	The11thDoctor	2
122	EveryonesUncle	2
122	DemTechAlpha	2
122	The_slideV3	2
122	Quincannon	2
122	Fildyr	2
122	BlankityMcBlank	2
122	jcool7	2
122	Nicserso	2
122	UrbanPlanningEx	2
122	diggydog67	2
137	q_wq	1
137	HollieDaNugget	1
137	joethahobo	1
137	301851	1
137	jushykins	1
137	Ardennes	1
137	Megarboh	1
137	xX_HaroldHolt_Xx	1
137	Guillemet	1
137	Pelbo	1
137	BilboBaggins23	1
137	MRC_Gaming	1
137	emrekn	1
137	gabriels543	1
137	HwamzUK	1
137	claivin	1
137	Sepulcro	1
137	MakeHistory157	1
137	Kijiki	1
137	MineMaster0012	1
137	annoyingenderman	1
137	striker90333	1
137	Aryamanee	1
137	ConnorDanky_	1
137	jnp_gaming	1
137	MandenR1	1
