rank	username	minecraft:used/minecraft:melon_slice
1	Werbe	2031
2	Blackberry1310	1424
3	Killercatty78	1193
4	Di_infiri	1173
5	Corbsman	877
6	BobDeBouwer1337	838
7	stahouo	829
8	DarlaMeow	743
9	r123moore	609
10	erkada	602
11	kinas45y5	564
12	chipklip	446
13	CaptainDeadBread	441
13	El_Jalapeno	441
15	_stets	420
16	Kamflame10	388
17	Smoke____	365
18	Zythose	330
19	TechnoNinja64	325
20	q_wq	324
21	elicobnoah	318
22	pintsizedrogue	313
23	Haadrada	311
24	PortlyPete69	308
25	kekhon	306
26	openatheclose	305
27	Hpdinosaur	288
28	Akoot_	279
29	SuperPooch06	264
30	SamZombie	258
31	gcaisawesome	256
32	Ezekson	245
33	_8man	239
34	whoaluv	238
35	alderban107	235
36	Enderslayerxz3	211
37	SaltineDream	203
38	I_Am_Mushkin	200
38	Motsaro	200
38	Nekomin0	200
41	Studyhallsaver	199
42	thescout7	192
43	ooga47	191
44	EcksDofficial	189
45	striker90333	183
46	NameGenerat0r	181
46	Blu3beast	181
48	AlphaWolfPlaysMC	179
49	Warlord324	177
50	ori0le	172
51	Zetsey	171
51	KingMatthew506	171
53	Groovy_MoonBird	170
54	ImpavidArcher	168
54	impossibleteapot	168
56	Factoroni	167
57	SingedBread	166
58	The_slideV3	164
59	_naturell	161
60	TheOnlyRake	160
61	CoffeeNoir	157
62	KarlKaek	155
63	himak1	153
64	07shiny	152
65	Bumpy419	149
66	SammiWolfGirl	147
67	SaucyDark	146
67	Meatlaugh	146
69	6king6colt6	144
69	youhjjhhhjj	144
71	moonman169	141
71	MeetTheWollo	141
73	301851	140
74	GingerNeutron	137
74	_3Stump_	137
76	_p1ta_	134
77	sammidk	133
78	ShedJr_	128
78	IdeallyGrey	128
78	Teebone15	128
81	the_russell1611	121
81	OfficerAnvil	121
83	Negriuke	118
84	eitanzaki	116
85	JohnnyMines	115
86	dabloons	114
86	The_SlideV5	114
88	Legendosh	113
89	dudcreeper	112
90	AlexStrange	111
91	Cambo5000	101
92	teslawolf38	99
93	xxPipperDipperxx	98
93	Zaridey	98
95	ProfessorBee	97
96	FirsTimeGamingTV	95
97	NatrixxddxYT	94
97	Lumien_	94
97	Xclax101	94
97	Steelynan	94
101	GeromeMerris	93
102	John6970	86
103	proxivitoid	84
104	IvarEXE	83
105	Ssor69	82
105	__tomato	82
107	ZaneABrain	77
108	TAKrules	76
109	Zipdrip	71
109	mimbo1211	71
111	TheBiggestFeller	70
111	SyntheticSurgeon	70
111	Resner	70
114	claivin	69
114	SpaceTurtleOX	69
114	Nicserso	69
117	ComplexSquirrel	68
117	brofrickcheaters	68
119	Mahoose	67
120	Natty	65
121	heysushii	64
121	Houstonion	64
121	bigstankyy	64
121	okCrypto	64
121	sxc_	64
121	BigCronkin	64
121	iHuntWeeaboos	64
121	ChronoSounds	64
121	Vellu21	64
130	theonlymagikarp	63
130	Sral7	63
132	TildaAndrea	62
132	intropass	62
132	ese_wn_po	62
135	DinoDoctor_	61
135	ItsAki_	61
137	The_Thund	60
