rank	username	minecraft:used/minecraft:wolf_spawn_egg
1	TheShyPig	10
1	Akoot_	10
3	The_slideV3	2
4	MattieHD	1
4	Blu3beast	1
4	Soplight	1
4	Legendosh	1
