rank	username	minecraft:used/minecraft:grindstone
1	Smoke____	372
2	PlasticOtari	264
3	Mahoose	162
4	Freak_Genius	153
5	noodlepack	142
6	_Virify_	127
7	Soplight	121
8	rarrq	118
9	HellsSponge	74
10	noam464	66
11	ROY4LE	58
12	SlayerCrypto	50
13	Blackberry1310	49
13	500am	49
13	ProfessorDiaper	49
16	EMC_	47
17	Shogunite	46
18	Merv__	37
18	sebastiensaborio	37
20	YungMaki	33
21	masskedman	31
22	Drlzyy	28
22	ImpavidArcher	28
22	beeperbeeper5	28
22	Luigipunch989	28
26	Blaiku	27
27	pintsizedrogue	26
27	Hyp3rion_	26
29	TheSecondLord	24
30	Xalithia	22
31	Vizzoid	21
31	thescout7	21
31	burbankbuilder28	21
31	TheShyPig	21
35	MyNameIsJobo	20
36	joethahobo	19
36	EveryonesUncle	19
36	pixelviolin	19
39	jacxhadow	18
40	Xclax101	17
40	Racengan	17
42	pappaberg	16
42	Quotary	16
42	TechnoNinja64	16
45	LexMakesHistory	15
45	DemTechAlpha	15
47	youhjjhhhjj	14
47	12Magner05	14
47	thewindmillman	14
50	Historical_Sand	13
50	ooga47	13
50	starbits140	13
50	EcksDofficial	13
54	Bandito_Roamer	12
54	Groundler	12
56	MattieHD	11
56	Fullut	11
56	ClemenPine	11
56	Lutres_Torane	11
56	Ezekson	11
56	oxfordschool	11
56	Enderslayerxz3	11
63	Jovaphobic	10
63	eitanzaki	10
63	Onennon	10
63	ayamefag	10
63	Eraxa	10
63	UltraZombie	10
63	Skippeh	10
70	ShedJr_	9
70	Kim_Jong_eel	9
70	JESS_THE_RERE	9
73	KarlKaek	8
73	Euclidoris	8
73	Megarboh	8
73	UncreativeArtist	8
73	Kubelz	8
73	Jackattack53	8
73	Snowflowe	8
73	aec9	8
73	fluddd	8
73	Hisiste	8
73	brofrickcheaters	8
73	fffMike	8
73	Legendosh	8
86	mennorovers	7
86	mwrty	7
86	egglapras	7
86	Bumpy419	7
86	fred870d	7
86	sp00ky_ghost977	7
86	_3Stump_	7
86	WYFYoyo	7
86	diggydog67	7
95	H72l9w	6
95	Zythose	6
95	RodSerlingCringe	6
95	Maenara	6
95	El_Jalapeno	6
95	Blu3beast	6
101	lewieinnit	5
101	Jackster03	5
101	Ssor69	5
