rank	username	minecraft:used/minecraft:crimson_button
1	joethahobo	23528
2	beeperbeeper5	1537
3	icim	129
4	rarrq	80
5	Legendosh	56
6	Mattesco	52
7	Lord_Jord	38
7	Fuad_R	38
9	EdGalbraith	25
10	RebytreGT	23
11	Jonafrog99	21
12	thewindmillman	18
13	AstreaTSS	16
14	Jackattack53	15
15	Awyrlas	13
15	Cruncy_	13
17	gustarlep	11
17	Manaateee	11
17	Yamdalorian	11
20	12Magner05	8
20	shadowthemonkey	8
22	k_ce	7
23	pintsizedrogue	6
24	BobDeBouwer1337	4
25	Lez_	3
25	Sleepy_Time_	3
27	TheSecondLord	2
27	kekhon	2
27	noam464	2
27	Hyp3rion_	2
31	gcaisawesome	1
31	Spacewardharpy7	1
31	lordpipe	1
31	_Mythic____	1
31	Enderxz3	1
