rank	username	minecraft:used/minecraft:polished_blackstone_slab
1	Hyp3rion_	9410
2	Smoke____	6673
3	PigDab	3311
4	PlasticOtari	3009
5	Lord_Jord	2503
6	500am	1298
7	TheShyPig	1166
8	rarrq	1140
9	pintsizedrogue	1134
10	EveryonesUncle	1055
11	RebelAndroid	886
12	jacxhadow	817
13	Winston_Ingram	637
14	ImpavidArcher	630
15	eitanzaki	627
16	Fullut	477
17	Snowflowe	435
18	TheSecondLord	391
19	Legendosh	356
20	Mattesco	340
21	YoshikageBites	328
22	Eraxa	290
23	Rebytre	286
24	lizardfightclub	273
25	lillips	211
26	Cowison	196
27	Lutres_Torane	143
28	Mahoose	133
29	Deathkob	131
30	6king6colt6	123
31	MAns_44	110
32	Jiminie	108
33	YungJakobo	105
34	Optiprimus	104
35	Ze_BaronKrigler	99
36	joethahobo	87
37	titanlax	81
38	YungMaki	79
39	beeperbeeper5	77
40	Blackberry1310	72
41	XboxPanda	66
42	set67	65
43	noam464	62
44	LotusProject	61
45	Awyrlas	60
46	Menthas	56
47	Spacewardharpy7	54
48	_Razar	52
49	djancak	48
50	ApophisNova	47
50	MyNamaSheff	47
52	Lez_	46
53	BobDeBouwer1337	38
54	thewindmillman	36
55	SteveCraftBlocks	34
56	Freak_Genius	33
57	King_Pancake1	30
58	TheWildMateo	24
58	Shogunite	24
60	NinjaKnifeKill	23
61	Enderslayerxz3	21
62	NieToksikpl	20
63	Fuad_R	14
63	Soplight	14
65	soundad	11
65	kekhon	11
65	Blaiku	11
68	Smashic	10
69	ShedJr_	9
69	Skylord_Luke	9
71	NameGenerat0r	5
71	EcksD	5
73	teslawolf38	3
73	CliffEmAll	3
73	jnp_gaming	3
76	mwrty	2
77	Krasnal1337	1
77	bigstankyy	1
77	__TheNorseMan__	1
77	M_Patata	1
77	Di_infiri	1
77	Solar_Power	1
77	Akoot_	1
77	Nycteus_	1
77	wwwwinnebagoooo	1
77	Dusk_95	1
77	MasterNueve	1
