rank	username	minecraft:used/minecraft:blue_shulker_box
1	Snowflowe	2435
2	Skippeh	965
3	12Magner05	838
4	Soplight	786
5	Blaiku	702
6	kekhon	701
7	vandmanden	648
8	HellsSponge	625
9	EcksD	613
10	pintsizedrogue	580
11	thescout7	472
12	Shogunite	412
13	jcool7	331
14	Jovaphobic	311
14	Hyp3rion_	311
16	EveryonesUncle	310
17	Ezekson	304
18	TheShyPig	288
19	Enderxz3	286
20	YungMaki	279
21	Blackberry1310	277
22	claivin	264
23	pixelviolin	261
24	gusstationwerker	250
25	lordpipe	237
26	Kyrum2169	235
27	Zythose	231
28	PlasticOtari	220
29	_Virify_	214
30	Di_infiri	211
31	Spacewardharpy7	190
32	ConnorDanky_	189
33	F_Uhre	188
34	fr_ser	180
35	MustaLoordi	179
36	TheDankPlatypus	178
37	Bumpy419	176
38	beeperbeeper5	175
38	set67	175
40	thewindmillman	172
41	DarlaMeow	170
41	Groundler	170
43	Jimb0nat0r	169
44	Powowowow	167
45	Megarboh	164
46	TheSecondLord	163
47	Lez_	158
48	joethahobo	149
49	Mattesco	140
50	MyNameIsJobo	133
51	__tomato	131
52	Frozil20	130
53	fluddd	126
54	Xclax101	125
55	DemTechAlpha	119
56	Awyrlas	116
57	Deathkob	110
58	rarrq	109
59	fade_emerge78823	107
60	Steelynan	106
61	KarlKaek	103
62	MAns_44	98
62	diggydog67	98
64	WyngGoy	96
65	little_dUki	94
66	PhantomsGhost_	91
66	CornOnTheCobalt	91
68	eitanzaki	89
69	lorpus	88
70	Jackster03	87
70	1442	87
72	Winklepicker279	86
72	luseis	86
74	T045RTY	85
75	mwrty	84
75	noam464	84
75	TechnoNinja64	84
78	teslawolf38	83
79	ImpavidArcher	82
80	Warlord324	79
81	gcaisawesome	78
81	Jackattack53	78
81	Fuhrer_Teemo	78
84	Legendosh	75
85	wezzzi	72
85	TheSeismicDuck	72
87	Nicserso	70
88	Ecplosive	69
89	Froste131	68
89	500am	68
89	Z3braYTIL	68
89	Lord_Jord	68
93	Kubeusz2010	66
93	bladeefan2009	66
95	RoofTyler	65
95	ZeroKraken	65
97	Tyrannosplart	63
98	jnp_gaming	61
99	NameGenerat0r	58
99	MS_Pryxx	58
99	GlitchyPlate810	58
102	surfinggiraffejp	56
103	Huwulling	55
103	The_Quack_Dealer	55
105	Quincannon	54
106	r123moore	53
106	Blu3beast	53
106	sp00ky_ghost977	53
109	Werbe	52
110	eviltunix	50
111	NinjaKnifeKill	46
111	brofrickcheaters	46
113	ayamefag	45
114	Chromary	43
114	ClemenPine	43
116	Hpdinosaur	41
116	H72l9w	41
116	XboxPanda	41
116	Voxin2K	41
120	_Nuf	40
120	Fullut	40
120	Eraxa	40
120	Kowcio_	40
120	RealGroot	40
125	OffWithTheirHead	39
125	SammiWolfGirl	39
127	obzii	38
128	bpmm	36
129	soundad	35
129	Airem_Core	35
131	_8man	34
131	07shiny	34
133	Merv__	33
133	Myszoaz	33
