rank	username	minecraft:used/minecraft:stone_brick_slab
1	HellsSponge	38216
2	PigDab	34517
3	Ezekson	21182
4	beeperbeeper5	20346
5	Di_infiri	16527
6	Onennon	15250
7	Xalithia	13969
8	12Magner05	12318
9	YungMaki	12223
10	Skylord_Luke	11602
11	Shogunite	11601
12	TheShyPig	11344
13	_Virify_	10825
14	EveryonesUncle	10233
15	thescout7	10001
16	joethahobo	9923
17	ApophisNova	9805
17	MyNamaSheff	9805
19	obzii	8592
20	_Nuf	8211
21	AdmiralSmoke	7391
22	Blu3beast	7263
23	Kakolbus	7248
24	_Dean_123	7111
25	Arceus1975	6589
26	pappaberg	6548
27	burbankbuilder28	5940
28	FreakGenius	5379
29	Werbe	5363
30	lcvezra	5338
31	Frozil20	5196
32	mwrty	5165
33	alderban107	5033
34	Bumpy419	4886
35	El_Jalapeno	4766
36	Leyna3	4740
37	Groundler	4433
38	Mewar	4425
39	Eraxa	4263
40	Ssor69	4030
41	TheSecondLord	3941
42	oscminus	3825
43	noam464	3810
44	CrateOfBoxes	3651
45	Mahoose	3622
46	pixelviolin	3618
47	luseis	3464
48	claivin	3448
49	pintsizedrogue	3404
50	_i_ERROR_i_	3238
51	RoskobiOne	3100
52	weabis	3079
53	Soplight	3062
54	bloodbiter	2921
55	Akoot_	2886
56	mihimihimihi	2828
57	Snowflowe	2804
58	jcool7	2484
59	Kyrum2169	2447
60	TheDankPlatypus	2398
61	M_Patata	2372
62	MasterNueve	2356
63	Hisiste	2354
64	fw3xy74	2207
65	kekhon	2202
66	xolstoi	2158
67	Cowison	2137
68	censorsheep	2135
69	Warlord324	2126
70	Chromary	2122
71	WET_WET_WET	2094
72	NoChumpChange	1960
73	NieToksikpl	1949
74	Kowcio_	1922
75	m_be9	1914
76	EcksD	1889
77	DTwenty	1887
78	DanTheBuilderino	1857
79	Archsam	1845
80	Blackberry1310	1710
81	LeauVox4921	1678
82	Jimb0nat0r	1653
83	SkateboardR6	1646
84	Barlycorn	1642
85	k_ce	1606
86	CollinMH06	1534
87	Dakar_	1524
88	TheSeismicDuck	1503
89	set67	1460
90	XxCookiequeenxX	1442
91	legal_tax_evader	1435
92	Merv__	1406
93	MadmanRaven	1399
94	Masssonnn	1366
95	Legendosh	1327
96	rarrq	1316
97	Steelynan	1310
98	benediktine1	1307
99	Incinere	1297
100	Mr_Byzantine	1290
101	MixerDixer	1271
101	FelixPSY375	1271
103	FirsTimeGamingTV	1251
104	Rebytre	1250
105	Fuhrer_Teemo	1188
106	Manaateee	1136
107	diamondgolem35	1125
107	PlasticOtari	1125
109	eitanzaki	1104
110	ROY4LE	1084
111	Fildyr	1079
112	Zythose	1060
113	The_slideV3	1058
114	SquadMonster	1016
115	StinkyDiplomat	1009
116	WyngGoy	997
117	Ryker	968
118	Kubelz	941
119	wobn	937
120	gcaisawesome	913
121	500am	903
122	avalan64	902
123	q_wq	893
124	DarlaMeow	874
125	whoaluv	870
126	Ryan_GEMS	866
127	SteveCraftBlocks	865
128	H72l9w	856
129	Jackattack53	853
130	Yatitay	850
131	JESS_THE_RERE	841
132	Inchef	839
133	Donutt	830
134	Enderxz3	819
135	Skippeh	813
136	Hiryu27	802
137	Rumpletaezer	782
138	trexgb	781
139	UrbanPlanningEx	753
140	MovingFish7	742
141	livingdaydreams	735
142	Fullut	727
143	MinttyFressh	704
144	07shiny	701
145	Tolhart	693
146	tsitrawhy	669
147	Spacewardharpy7	668
148	_Karmaa	667
149	MyNameIsJobo	663
150	_Boipl_	661
151	PhantomsGhost_	656
151	sxc_	656
153	Spenduh	652
154	jjettii	649
155	Myszoaz	645
156	__tomato	644
157	Jovaphobic	641
157	impossibleteapot	641
159	Sral7	636
160	Inbefour	633
160	CattSoup	633
162	prizm_	630
163	Racengan	628
164	Slapface522	626
165	PortlyPete69	619
166	ShedJr_	606
167	NomadicRobin_	600
168	Reamdin	597
169	Eraza	593
170	ImDisconnected_	588
171	TechnoNinja64	582
172	tompup	561
173	ConnorDanky_	559
174	cog	557
175	DAD_1996	555
176	valkam13	554
177	ImpavidArcher	542
178	PaperCanvas	536
179	MoistMicrowave	529
180	SaucyDark	522
181	Natty	521
181	_TCARREIRA_	521
183	RebelAndroid	512
183	Lord_Jord	512
185	Louiis123	509
186	Hyp3rion_	508
187	TooManyDuck	502
188	SammiWolfGirl	496
189	ProfessorBee	495
190	_Huge_Male_	494
191	yaboo88	489
192	SoftSix	486
192	AuroraSkies	486
194	_stets	473
195	Lez_	471
196	SSytex_X	465
197	Kijiki	464
198	MissCeleste7	438
199	MattieHD	437
200	Smiguli_	429
201	Deathkob	428
202	Nicserso	412
203	fffMike	411
204	LAVA129	406
205	Jackster03	399
205	athereall	399
207	felincaus	395
208	Sorry_Arey	381
209	Healthing	373
209	Kferno	373
211	Winklepicker279	368
212	TheWildMateo	366
213	Historical_Sand	364
213	FlashMigma	364
215	Bandito_Roamer	363
215	dudcreeper	363
217	Matek_	360
218	BlueZabu	354
219	RobotMinion101	353
220	GLLogan2	349
221	Comma__	348
221	KeruNatsema	348
223	Elastiq	342
224	EngagedGrub41	341
225	eviltunix	340
226	jushykins	336
227	youhjjhhhjj	334
227	drumine	334
229	Saucepeh	327
229	TheThomas69	327
229	selectrix	327
232	LordSpeed37	324
233	UCP_TheKingK	323
234	NatalieTW	322
235	Giannism	316
236	0Vyp_	313
237	Crowvens	312
237	Soffbord	312
239	laron58	305
240	Z3braYTIL	304
241	ReSynced	301
241	MirielThePastor	301
243	djancak	300
244	lunathelemon	293
245	KartivGal	292
246	Xclax101	290
247	T045RTY	289
248	IamCL4SSY	282
248	Toiton	282
250	Maenara	281
251	SmashingPump	280
251	cichy096	280
253	Nach0Bear	279
254	purpolepickle	276
255	NotKaden_	275
256	Druid95	273
256	Fizznut909	273
258	OG_Songsee	265
259	Huwulling	263
259	Lutres_	263
261	MrExplorer	262
262	Wolverine4302	253
263	PazinGaming	251
264	Cortexia	250
265	xorompole	248
266	r123moore	242
267	olliebollie48	239
268	CarsonDoesMine	233
269	Kkanot	231
270	GooseWithin	230
271	Jakobo1337	227
272	SvenskaHugo	223
273	bigstankyy	222
274	MilleGrug	221
275	0nly_sn1per	220
275	CalebDHawk	220
277	ogoa	218
277	Chaotic1s	218
279	zorin123	214
279	JayToe	214
281	NotMeanttoChange	213
282	dendydoom	212
283	killmeiamtraitor	208
284	LittleBug562	194
285	Mattesco	186
286	G1ldor	183
286	Reneedium	183
288	Freeman666	181
289	Rich_Kat	176
290	NameGenerat0r	175
291	StanceTB	173
292	SingedBread	169
293	Nicky_H225	168
294	fr0stss	165
295	silverpopcorn	163
295	krutas2000	163
295	skrongus	163
298	Shin69	162
299	DinoDoctor_	161
300	ergoalias	160
