rank	username	minecraft:used/minecraft:dandelion
1	beeperbeeper5	1172
2	Yamdalorian	473
3	SpacesickPrism	460
4	Fullut	235
5	00000000-0000-0000-0009-01ff0c3e5e4f	232
6	FreakGenius	226
7	LordSpeed37	222
8	Lord_Jord	176
9	Dakar_	167
10	kekhon	139
11	Legendosh	136
12	lordpipe	133
13	_Huge_Male_	116
14	Hyp3rion_	113
15	joethahobo	92
16	Kakolbus	90
16	MyNameIsJobo	90
18	xxPipperDipperxx	88
19	ReflexCode	86
20	Enderxz3	85
21	jnp_gaming	84
22	Silvo614	80
23	wwwwinnebagoooo	76
24	Mr_Byzantine	75
25	excelsionprime	62
25	EveryonesUncle	62
25	HellsSponge	62
25	TechnoNinja64	62
29	Blackberry1310	60
29	CattSoup	60
31	Wooptey	57
31	Kowcio_	57
33	pintsizedrogue	55
34	wezzzi	53
35	CoffeeNoir	52
35	TheShyPig	52
37	TheDankPlatypus	49
37	El_Jalapeno	49
39	Ezekson	47
40	Mahoose	46
40	royal_2	46
40	Cortexia	46
40	sp00ky_ghost977	46
44	Crowman1	45
44	ROY4LE	45
46	skitzxo	44
47	Arceus1975	43
47	Mattesco	43
47	Manaateee	43
47	Nicserso	43
51	burbankbuilder28	42
52	Kondzik2008	40
52	11Brewer	40
54	ImpavidArcher	39
54	Krowuss	39
54	PortlyPete69	39
57	Ozixar	38
58	eitanzaki	37
59	SirPiccardo	36
59	Onennon	36
61	thebaddruid	35
61	Luigipunch989	35
63	Steelynan	34
64	Pumpkin_P_Patch	33
65	AJplaysMC_	31
65	luseis	31
65	Jimb0nat0r	31
68	Merv__	29
68	Akoot_	29
68	Lutres_	29
68	djancak	29
72	TheSecondLord	28
72	M_Patata	28
72	MasterNueve	28
72	miramyu	28
76	SaucyDark	27
76	500am	27
76	SammiWolfGirl	27
79	Lez_	26
79	LeauVox4921	26
79	Boipl	26
79	Deguns123	26
83	ShedJr_	25
83	TheKingK_	25
83	LeeMcGee30	25
86	Eraxa	24
87	PhantomsGhost_	23
87	titanlax	23
87	KlausVonStiglitz	23
87	diggydog67	23
91	MAns_44	22
92	Groovy_MoonBird	21
92	Apollo_993	21
92	12Magner05	21
92	ZeroAbyssTTV	21
92	Karetoko	21
92	CollinMH06	21
98	Sleek_Storm_721	20
98	Xalithia	20
98	YungMaki	20
98	smogfrog	20
102	Tommhh	19
102	bloodbiter	19
102	_Dean_123	19
102	LavenderBi1ch	19
102	Skylord_Luke	19
107	SvenskaSara	18
108	Bandito_Roamer	17
108	rarrq	17
108	CharlieButt	17
108	Elastiq	17
108	Soap_Bender	17
113	Zee_zey	16
113	jacxhadow	16
113	RebytreGT	16
113	oscminus	16
113	Thunder_bird4337	16
113	RadarHz	16
119	Inchef	15
119	Reneedium	15
119	monky_irl	15
119	Quotary	15
123	DinoDoctor_	14
123	Malorn_Aetherius	14
123	Smashic	14
123	hanaryheatwave	14
123	AnnieBathory	14
123	claivin	14
123	SkateboardR6	14
123	xzvu	14
131	Ilinca_Io	13
131	6king6colt6	13
131	jcool7	13
131	taengoos	13
131	PlasticOtari	13
136	hm947	12
136	MrExplorer	12
136	G1ldor	12
136	Quinasin	12
136	Tyrannosplart	12
