rank	username	minecraft:used/minecraft:wooden_axe
1	Smoke____	884
2	E775	560
3	EcksDofficial	510
4	LordSpeed37	464
5	M_Patata	403
5	MasterNueve	403
7	QueenShuvi	397
8	Cattoh	376
9	Lord_Jord	358
9	oxfordschool	358
11	Racengan	292
12	smogfrog	269
13	Crasswolf	238
14	Zythose	231
15	Armattillo	230
16	Poppy235	229
17	MysticalKitty139	215
18	hm947	210
19	2Stout	182
20	Franco093	181
21	Robby_Cream	175
21	Di_infiri	175
21	ItsJWolff	175
24	Factoroni	174
25	titanlax	156
26	BlancoFlaco	144
27	FetteMutter	135
28	bee_gorl	134
29	ese_wn_po	131
30	ImpavidArcher	123
30	Prodiginus	123
32	Shavrin	121
33	KillerNekoRain	120
33	Nekomin0	120
33	Deliriohm	120
36	_stets	119
37	Shychelsoo	118
37	SammiWolfGirl	118
39	Diavri	117
40	NoChumpChange	112
41	redikul	111
41	bndo	111
41	CassiusDio	111
44	Matek_	110
44	alddd	110
46	The_Great_Jake	107
46	not_a_duck_23	107
48	MelodyGaysharks	105
49	ouija_	104
50	pintsizedrogue	103
50	Froste131	103
50	SkateboardR6	103
53	voiding_	100
54	La_Conne	99
55	maddog2014	98
56	Skrutinize	94
57	ToxicHauntling	92
58	DarkFisto	91
59	Under1	89
59	TJawesome09	89
61	Ze_BaronKrigler	88
62	Goat_Man512	85
63	itsKODASHi	84
64	libbydalez	82
64	CrookedKaptain	82
64	Misterkill700	82
67	Blu3beast	81
68	Awyrlas	77
68	JasmineGK	77
70	djancak	72
71	imthatpikachu	71
71	LuceImaginary	71
71	master9067	71
71	n0qtrnL	71
71	Yoaty	71
76	Merv__	69
76	ElderRifken	69
76	misomon	69
76	SpicyDuckMan	69
80	Devouching	68
81	Freeman666	67
81	lcvezra	67
83	Pruittmckean	66
83	Nyxiom_	66
83	Freak_Genius	66
83	csendeslol	66
87	cytotoxaint	64
87	Soul_Atreus	64
89	regulator75	63
89	DukBob	63
89	starbits140	63
92	cnicholspgh	62
92	Foof13	62
92	firesgal3116	62
92	MineMaster0012	62
92	Western_1	62
92	QueenOfDirt	62
98	Euclidoris	61
98	Winklepicker279	61
98	Ahketen	61
98	sarahlynn00	61
98	kars0n	61
98	CHUUUBZZ_99	61
98	RohnJosin	61
98	Ajax6	61
98	420BreadLizard	61
98	stahouo	61
108	Demiurging	60
108	Dali1465	60
108	type11	60
108	BlueZabu	60
108	Norrhede	60
108	NarwhalTaco	60
108	St4nLe7	60
108	ChampBoii	60
108	Zany0	60
108	ceAndy200	60
108	bruh072	60
108	blimpeey	60
120	MunkaKris	59
120	RosaDoesMC	59
120	weezygator	59
120	2xil2	59
120	NibPicker	59
120	RatatJuice	59
120	Paleshield	59
120	DangusCnt	59
120	Civop_	59
120	Digcove	59
120	Khelvoryk	59
120	MrExplorer	59
120	StormAries__	59
120	xxPipperDipperxx	59
120	xBaltaci	59
120	ibarker21	59
120	msJabberwock	59
120	Skylord_Luke	59
120	DeeDeeThonk	59
120	CruncyIsTaken	59
120	cedric72	59
120	Big_Nate_36	59
120	ADEXTV	59
120	Dabatha	59
120	banana_ketchup	59
120	lolpoottoot	59
120	Matorz	59
120	AlexBurnsRed	59
120	Optiprimus	59
120	sleepdrifter_	59
120	bloomkieren	59
120	Bawbman	59
120	Phoenix_Diacou	59
120	Logain42	59
120	fffMike	59
120	jnp_gaming	59
120	SylvarumBee	59
157	Azorathum	58
157	AlazelTheReal	58
157	Rox_The_Box	58
157	_Dean_123	58
157	wTXop	58
157	majlin16	58
157	LokisCharredFace	58
164	Minc_	57
164	Destroyer112221	57
164	Mpkkiller	57
164	Werbe	57
164	Xeno175	57
164	AssEatrAndLicker	57
164	carpet4_69	57
164	SSytex_X	57
172	FroggoTheDoggo	56
172	thebluehippo	56
172	XxCookiequeenxX	56
172	how_are_you	56
176	Slinkyy7071	55
176	aikabot	55
176	Dirt158357	55
176	maaacaroni	55
180	zqw10k	54
180	Blackberry1310	54
180	DaftDecker	54
180	Nycteus_	54
184	CryoInferno_	53
184	SaucyDark	53
184	imNP	53
184	eviltunix	53
184	Nope______	53
184	XMiner22	53
184	SolicitedPuma101	53
184	Dreamdbr14	53
192	Z3braYTIL	52
192	iGotUrHost	52
192	Zipstor	52
192	KASAN420	52
196	Matemaks2137	51
196	LordlessAbyss	51
196	Trus7	51
196	noam464	51
196	Akoot_	51
196	_Karmaa	51
196	Panoe	51
203	SlavBylat	50
203	minersam1	50
203	Fast_Turtle	50
203	PigDab	50
203	VilsSwag	50
203	Calbo_	50
209	gilesmcriles	48
209	Uzbeki_John	48
209	GOOBERGABE04	48
209	ProfessorDiaper	48
209	Arkew_	48
214	RebelAndroid	47
214	Jonathan__Doe	47
214	StabbyRoomba	47
214	Toowny	47
214	Sank34	47
219	HazyDrummer	46
219	MayorEden	46
219	MedSeaArch	46
219	SLASHZEERA	46
219	encraft05	46
219	ciemacigans	46
219	swag_bro2004	46
219	1442	46
227	TheDiamondCG	45
227	D3m0nik	45
227	Naturalrogue	45
227	IronicUwU1	45
231	Aurenz	44
231	impossibleteapot	44
231	Oragious	44
231	kiluaemc	44
231	rii1efnaki	44
231	SingedBread	44
231	DennyKai	44
238	duelcard	43
238	DirectorPr	43
238	dopplexd	43
238	MoistEggo	43
238	Chaotic1s	43
238	y0shik	43
238	MissCeleste7	43
238	Wasdmaster3	43
246	_RenRen_	42
246	Goleam	42
246	Cidah	42
246	Mariopreeet	42
246	VirusUploaded	42
246	fr_ser	42
246	RacismIsBadDude	42
246	Drawgirll	42
254	Kuragari_	41
254	DAD_1996	41
254	Onennon	41
254	PncakeUniverse	41
254	mountaingirl311	41
254	5712	41
260	KingFaenor	40
260	blockgamer_69	40
260	Blazaey	40
