rank	username	minecraft:used/minecraft:gray_carpet
1	noam464	61419
2	YungMaki	46127
3	Freak_Genius	22011
4	kekhon	10371
5	joethahobo	10159
6	beeperbeeper5	7318
7	EcksD	7152
8	Spacewardharpy7	6317
9	PlasticOtari	5898
10	Smoke____	5159
11	Rumpletaezer	3174
12	heckface	1913
13	mihimihimihi	1729
14	Enderslayerxz3	1686
15	Quotary	1343
16	thewindmillman	1320
17	TheSecondLord	746
18	500am	709
19	Quaintster	684
20	Mahoose	641
21	Eraxa	598
22	Di_infiri	550
23	Merv__	437
24	RebelAndroid	390
25	Ezekson	313
26	r123moore	266
26	XxCookiequeenxX	266
28	EngagedGrub41	265
29	pintsizedrogue	250
30	Jeteight	248
31	mwrty	237
32	Shogunite	214
33	eitanzaki	208
34	ratglock	195
35	Hyp3rion_	180
36	MovingFish7	153
37	CattSoup	149
38	ApophisNova	140
38	MyNamaSheff	140
40	HellsSponge	135
41	Groundler	114
42	TheShyPig	113
42	Soplight	113
44	xxPipperDipperxx	112
45	Swexti	102
46	lillips	94
47	Groovy_MoonBird	91
48	SammiWolfGirl	89
49	Blaiku	85
50	Frozil20	79
50	ogoa	79
52	Historical_Sand	78
53	EveryonesUncle	77
54	Sky_light_KING	68
55	El_Jalapeno	65
56	BumbleBeever	63
57	Blackberry1310	60
58	RoskobiOne	59
58	Legendosh	59
60	Lez_	57
61	Shin69	56
62	Meme25327	51
62	Werbe	51
62	Njensen7	51
62	KingMatthew506	51
66	groofles	50
67	Inbefour	47
68	rarrq	46
69	Reamdin	44
70	RodSerlingCringe	41
71	M_Patata	38
71	Onennon	38
71	MasterNueve	38
74	SSytex_X	37
75	6king6colt6	33
76	Avrelion	31
77	titanlax	28
78	KG1999	27
79	Akoot_	25
80	YoshikageBites	24
81	MAns_44	23
81	starbits140	23
83	stahouo	22
84	NameGenerat0r	21
85	fkGrim	20
86	TheTommyGun63	19
87	PigDab	18
87	Kowcio_	18
89	YungJakobo	17
90	Spaghettatron	15
90	Leyna3	15
92	Snowflowe	13
92	Wowful	13
94	Kouridragon	12
94	AlphaWolfPlaysMC	12
94	ewpunk	12
94	CACTUSLAD	12
94	TechnoNinja64	12
99	oxfordschool	11
100	ImpavidArcher	10
101	Dedalus36	9
101	Rebytre	9
101	NomadicRobin_	9
101	PortlyPete69	9
101	Steelynan	9
106	thescout7	8
106	himak1	8
106	Arceus1975	8
106	Jiminie	8
106	Winston_Ingram	8
106	Hermanni__	8
112	Chromary	7
112	Meatlaugh	7
112	UCP_TheKingK	7
112	jnp_gaming	7
116	Cryptacity	6
116	_naturell	6
116	jcool7	6
116	MeetTheWollo	6
120	squigglybones	5
120	cedric72	5
120	Eczbek	5
120	Kubeusz2010	5
124	Da_Boss_Rani	4
124	Blu3beast	4
126	Drlzyy	3
126	Jackattack53	3
126	TheWildMateo	3
126	Segotep999	3
126	lcvezra	3
131	teslawolf38	2
131	ShedJr_	2
131	Scathra	2
131	egglapras	2
131	LotusProject	2
131	Touched_Bread	2
131	fw3xywashere	2
131	EfficientC52	2
131	Nycteus_	2
131	sankrs	2
131	AvaRosey	2
131	csendeslol	2
131	Spenduh	2
144	_stets	1
144	EMC_	1
144	Gundam_Steven	1
144	ManyVoices	1
144	Incinere	1
144	T045RTY	1
144	Huwulling	1
144	Myszoaz	1
144	H72l9w	1
144	bloodbiter	1
144	pr33tu	1
144	Megarboh	1
144	Lumien_	1
144	slkiey	1
144	SecretSH	1
144	RobotMinion101	1
144	LeGold	1
144	sammidk	1
144	FishyBoy3811	1
144	thgrocks	1
144	binman420	1
144	MinuteMira	1
144	LexMakesHistory	1
144	jake314810	1
144	Steven1282598	1
144	SingedBread	1
144	SvenskaHugo	1
144	Zetsey	1
144	__tomato	1
144	MilleGrug	1
