rank	username	minecraft:used/minecraft:stone_button
273	Leyna3	6
273	lillips	6
273	_ritter	6
273	Lord_Doob	6
273	stahouo	6
273	Winston_Ingram	6
273	cichy096	6
293	Groovy_MoonBird	5
293	diamondgolem35	5
293	Nesquiczek	5
293	Natty	5
293	chlorinex	5
293	Scathra	5
293	Mewar	5
293	Paintz	5
