rank	username	minecraft:used/minecraft:white_shulker_box
1	Blaiku	2570
2	Mahoose	1713
3	Jackattack53	1290
4	m_be9	1274
5	Hyp3rion_	1066
6	Snowflowe	974
7	jnp_gaming	928
8	Eraxa	853
9	EveryonesUncle	657
10	pintsizedrogue	582
11	vandmanden	565
12	Spacewardharpy7	528
13	Hiryu27	481
14	Soplight	383
15	noam464	374
16	Enderslayerxz3	359
17	Frozil12	356
18	thewindmillman	322
19	TheSeismicDuck	313
20	loveseeker	297
21	claivin	293
22	500am	278
23	CoffeeNoir	236
24	awesomeoneme	234
25	joethahobo	231
26	Smoke____	228
27	Jovaphobic	219
28	Truckoss	208
28	HellsSponge	208
30	YungMaki	205
31	lordpipe	203
32	Zoeyfortnite	197
33	Blackberry1310	196
34	TheSecondLord	195
35	SaucyDark	190
36	oxfordschool	183
37	rarrq	180
38	ImpavidArcher	173
39	r123moore	169
40	mwrty	165
41	teslawolf38	163
42	Fullut	157
43	thescout7	151
44	kekhon	130
45	Menthas	129
46	Sky_light_KING	128
46	lillips	128
48	12Magner05	116
49	Winklepicker279	114
49	lcvezra	114
51	seanitoo	111
52	T045RTY	107
53	set67	106
54	_Karmaa	105
55	Lord_Jord	104
56	Rumpletaezer	103
56	Steelynan	103
58	SammiWolfGirl	99
59	__tomato	96
59	Juh1s	96
61	MightyWertu	94
62	PigDab	93
62	Jiminie	93
64	BronkerBrum	84
64	Xclax101	84
66	Maenara	83
67	gcaisawesome	81
68	ShedJr_	80
69	yulgur1	79
69	Miko_Fullbuster	79
71	eitanzaki	76
71	XboxPanda	76
73	TheDankPlatypus	75
73	diggydog67	75
75	_Virify_	73
75	Arceus1975	73
75	Zythose	73
78	Awyrlas	71
78	Akoot_	71
80	Ezekson	70
80	JayToe	70
82	Njensen7	68
83	paranoid_plant	67
84	Skylord_Luke	66
85	Bumpy419	65
86	El_Jalapeno	64
87	MixerDixer	61
87	himak1	61
89	stahouo	59
90	Iagoku	58
90	Hisiste	58
90	geekbird	58
93	SoftSix	57
93	Sheldor097	57
93	Sral7	57
96	Werbe	55
97	sp00ky_ghost977	54
98	Rasmanden	51
99	Merv__	50
99	Cryptacity	50
99	TheTrueClipse	50
99	WyngGoy	50
103	SokaOtaku	49
103	__Auspicious	49
105	jcool7	48
106	KingMatthew506	46
107	Marbz_	45
107	Groundler	45
109	ClemenPine	44
110	NinjaKnifeKill	43
110	masskedman	43
112	Racengan	42
112	HesDemonPants	42
114	ssleepless	40
114	ApophisNova	40
114	MyNamaSheff	40
117	Myszoaz	39
117	Xalithia	39
117	EcksD	39
120	xxPipperDipperxx	35
121	starbits140	34
122	Groovy_MoonBird	33
122	NameGenerat0r	33
124	TooManyDuck	32
124	Rich_Kat	32
124	egglapras	32
124	Onennon	32
128	diamondgolem35	31
128	Malorn_Aetherius	31
128	SlayerCrypto	31
128	Segotep999	31
128	CalebDHawk	31
133	Cocoamallows	29
133	SexcMf	29
135	MOSS000	28
135	AltnumberF4	28
137	Dedalus36	25
137	MSK__	25
137	titanlax	25
137	MissCeleste7	25
141	Ecplosive	24
141	TheShyPig	24
141	_Bguette_	24
141	Steven1282598	24
141	pixelviolin	24
146	Historical_Sand	23
147	Skippeh	22
148	Di_infiri	21
148	pappaberg	21
148	1442	21
148	Freak_Genius	21
148	SingedBread	21
148	Legendosh	21
154	Avermu	20
154	gabriels543	20
154	Karbl	20
157	Ssor69	19
157	Euclidoris	19
157	SellyZ	19
157	Deathkob	19
157	07shiny	19
162	Prodiginus	18
162	walll	18
162	Hylo482y	18
162	TechnoNinja64	18
166	Crowvens	17
166	FirsTimeGamingTV	17
166	ItsJWolff	17
169	KarlKaek	16
169	ExtraDumb	16
169	beeperbeeper5	16
169	SteveCraftBlocks	16
169	Inchef	16
169	cedric72	16
169	Fizznut909	16
176	YinToYin	15
176	Yatitay	15
176	chipklip	15
176	KG1999	15
180	KartivGal	14
180	Mattesco	14
180	NomadicRobin_	14
180	DemTechAlpha	14
184	MrAdamant209	13
184	jushykins	13
186	JEWISHBadenBeele	12
186	xPixelRainx	12
186	Chromary	12
186	EtherealSilveon	12
186	Ender_Souls	12
186	Warlord324	12
186	Aezekial	12
186	Kekoo	12
186	fffMike	12
195	Incinere	11
195	ese_wn_po	11
195	Kyrum2169	11
195	stellarjay	11
195	striker90333	11
200	peach0s	10
200	MinttyFressh	10
200	Kakolbus	10
200	Hoid_the_Roamer	10
200	AuroraSkies	10
200	Spenduh	10
200	ZeroKraken	10
207	ProfessorBee	9
207	emrekn	9
207	HyperCave	9
207	Razzgriz	9
211	6king6colt6	8
211	MattieHD	8
211	Lutres_Torane	8
211	VentiHilton	8
215	PhantomsGhost_	7
215	bloodbiter	7
215	surfinggiraffejp	7
215	p4lp	7
215	Nycteus_	7
215	Yahir091	7
215	MilleGrug	7
215	Quotary	7
215	Powowowow	7
215	h2p_emrld	7
225	Paint	6
225	Nicky_H225	6
225	MangoTheFish	6
225	Blu3beast	6
225	Vegvisir	6
225	smogfrog	6
231	_Dean_123	5
231	CollinMH06	5
231	wezzzi	5
231	Inbefour	5
231	Airem_Core	5
231	UCP_TheKingK	5
231	Dogcorn69420	5
231	Eczbek	5
239	AuroraValkyrie	4
239	MrExplorer	4
239	BurdLyon	4
239	MyNameIsJobo	4
239	King_Pancake1	4
239	RobotMinion101	4
239	fred870d	4
239	fw3xywashere	4
239	Agent108	4
239	fluddd	4
239	MakeHistory157	4
239	TheOuterCore	4
239	FelixPSY375	4
239	EcksDofficial	4
253	TAKrules	3
253	benediktine1	3
253	Voxin2K	3
253	Wowful	3
253	KnightmareD	3
253	Russiancat1	3
253	Deodorante	3
253	SvenskaHugo	3
253	BlankityMcBlank	3
262	Sleek_Storm_721	2
262	jimbo61101jr	2
262	Kkanot	2
262	BlueZabu	2
262	Shiirazuku	2
262	dartwaffle	2
262	FishyBoy3811	2
262	lizardfightclub	2
262	sxc_	2
262	KSI	2
262	Shogunite	2
262	wwwwinnebagoooo	2
262	WingedTortoise	2
262	obzii	2
262	PlasticOtari	2
262	Wanjibon	2
278	Flegneh	1
278	EMC_	1
278	Ender_of_Steel	1
278	hm947	1
278	Octatrack	1
278	AlazelTheReal	1
278	SpaceGrenadier	1
278	Cranium856	1
278	Motsaro	1
278	intropass	1
278	WET_WET_WET	1
278	The_Fulgurator	1
278	k1ngGilgamesh	1
278	seramalen	1
278	Capss	1
278	Silly_Mongey	1
278	audiocracked	1
278	RoBe__	1
278	Quaintster	1
278	Not_Insom	1
278	_ritter	1
278	AssFullaCum	1
278	camando92	1
