rank	username	minecraft:used/minecraft:bubble_coral
1	Di_infiri	57
2	12Magner05	53
3	Hyp3rion_	27
4	_Dean_123	20
5	beeperbeeper5	17
5	Fullut	17
7	HellsSponge	16
8	Merv__	15
8	Lez_	15
8	lordpipe	15
11	Ssor69	11
11	Legendosh	11
13	__tomato	10
14	AuroraValkyrie	9
14	Blackberry1310	9
14	500am	9
17	ImpavidArcher	8
17	Xalithia	8
19	ApophisNova	7
19	MyNamaSheff	7
21	TheShyPig	6
22	pintsizedrogue	5
22	SaucyDark	5
22	Skylord_Luke	5
22	luseis	5
22	The_slideV3	5
22	djancak	5
22	Powowowow	5
29	Mahoose	4
29	TheSecondLord	4
29	kekhon	4
29	Marbz_	4
29	AspenLightVT	4
29	Typadopoulos	4
35	skroobiez	3
35	El_Jalapeno	3
35	Druid95	3
35	Kowcio_	3
35	ConnorDanky_	3
35	TheWickedBird	3
41	Incinere	2
41	titanlax	2
41	MattieHD	2
41	Covalents	2
41	hanaryheatwave	2
41	Onennon	2
41	Maenara	2
41	Inbefour	2
41	XxCookiequeenxX	2
41	_Karmaa	2
41	NameGenerat0r	2
41	pixelviolin	2
41	SpacesickPrism	2
41	HesDemonPants	2
41	Jimb0nat0r	2
56	Bandito_Roamer	1
56	KarlKaek	1
56	T045RTY	1
56	eclipseboi	1
56	noam464	1
56	TheDankPlatypus	1
56	Kakolbus	1
56	CollinMH06	1
56	Jackattack53	1
56	SuperPooch06	1
56	Rumpletaezer	1
56	Arceus1975	1
56	Voxin2K	1
56	GooseWithin	1
56	Jiminbub	1
56	KlausVonStiglitz	1
56	emreknugrlu	1
56	Blu3beast	1
56	Blaiku	1
56	YungMaki	1
56	miramyu	1
56	_i_ERROR_i_	1
56	Steelynan	1
56	Nicserso	1
56	Enderxz3	1
56	PlasticOtari	1
56	Yamdalorian	1
56	diggydog67	1
