rank	username	minecraft:used/minecraft:oak_sign
1	HellsSponge	3437
2	EveryonesUncle	2652
3	TheShyPig	1499
4	m_be9	1274
5	Freak_Genius	1035
6	beeperbeeper5	940
7	Akoot_	786
8	eitanzaki	694
9	joethahobo	687
10	thescout7	647
11	Legendosh	601
12	Hermanni__	596
13	CrateOfBoxes	588
14	EcksD	580
15	MattieHD	558
16	_Dean_123	512
17	noam464	500
17	Di_infiri	500
19	__tomato	478
20	youhjjhhhjj	473
21	Mahoose	441
22	Blaiku	397
23	OtariCharlie	375
23	Xclax101	375
25	kekhon	374
26	Frozil12	369
27	Onennon	341
28	Blackberry1310	339
29	ROY4LE	336
30	Groundler	299
31	Spacewardharpy7	293
32	SteveCraftBlocks	289
33	ApophisNova	288
33	Soplight	288
33	MyNamaSheff	288
36	Merv__	280
37	YungMaki	277
38	Historical_Sand	270
39	lcvezra	268
40	Rumpletaezer	258
41	ShedJr_	257
42	Werbe	255
42	AssEatrAndLicker	255
44	TechnoNinja64	251
45	El_Jalapeno	245
46	MovingFish7	233
47	6king6colt6	229
48	Warlord324	223
49	pintsizedrogue	222
49	MightyWertu	222
51	Mr_Byzantine	220
52	Fullut	213
53	xxPipperDipperxx	211
54	claivin	209
55	Sheldor097	206
56	Smoke____	204
57	Inbefour	197
58	bloodbiter	195
59	Snowflowe	193
60	cichy096	190
61	Blu3beast	184
62	BumbleBeever	183
63	Lord_Jord	182
64	PhantomsGhost_	171
65	Deerfoot	167
65	BlankityMcBlank	167
67	TheSecondLord	163
68	_k2x	162
69	mwrty	161
70	ImpavidArcher	154
70	CharlieButt	154
72	Nicky19	148
72	alderban107	148
74	Racengan	145
75	500am	144
76	Ssor69	141
77	WyngGoy	133
78	epiksk8erduck	130
79	teslawolf38	129
80	Strangemonkey71	121
81	SkateboardR6	117
82	Zaridey	113
83	Enderslayerxz3	112
84	lordpipe	111
85	LilyNova	110
85	Bumpy419	110
85	Njensen7	110
88	Hyp3rion_	109
89	AlphaWolfPlaysMC	106
90	BobDeBouwer1337	104
90	egglapras	104
92	_Karmaa	102
93	Quotary	100
94	Awyrlas	98
95	sebastiensaborio	97
96	kinas45y5	96
97	Zoeyfortnite	95
98	fluddd	94
99	_NieToksikpl_	92
100	_Nuf	90
101	The_slideV3	89
102	Arceus1975	87
103	yulgur1	86
104	EMC_	85
104	Cocoamallows	85
104	MilleGrug	85
107	Myszoaz	84
108	Groovy_MoonBird	83
108	Spenduh	83
108	oxfordschool	83
111	Jij0	82
112	oreee	80
112	Fuhrer_Teemo	80
114	The11thDoctor	79
115	Zippyzam	77
115	2Stout	77
115	Truckoss	77
118	Skylord_Luke	76
118	Vorlice	76
120	Natofthese	74
121	r123moore	72
121	SammiWolfGirl	72
123	Frxnkz	71
123	RobotMinion101	71
123	jnp_gaming	71
126	ewsophie	70
127	loveseeker	69
127	Katsuragi0243218	69
127	Eraxa	69
130	Ezekson	68
131	bigstankyy	67
131	SlayerCrypto	67
133	weezygator	65
133	Paintz	65
133	ooga47	65
133	Powowowow	65
137	H72l9w	64
137	purpolepickle	64
137	lillips	64
140	_Virify_	63
141	censorsheep	62
141	Kubeusz2010	62
143	T045RTY	61
144	Sleek_Storm_721	60
144	titanlax	60
144	Skomo	60
144	wezzzi	60
144	MakeHistory157	60
149	NomadicRobin_	59
149	jcool7	59
151	eiC_	58
152	rarrq	57
152	DanTheBuilderino	57
152	vandmanden	57
155	Dedalus36	56
155	awesomeoneme	56
155	sxc_	56
158	CoffeeNoir	54
158	Karetoko	54
158	CruncyIsTaken	54
158	Nycteus_	54
158	MelodyGaysharks	54
163	UrbanPlanner1978	53
164	Sky_light_KING	52
164	stavgod	52
164	Sral7	52
167	ivorico	51
167	_Buffo	51
167	lizardfightclub	51
167	Maenara	51
