rank	username	minecraft:used/minecraft:gray_concrete_powder
1	noam464	44390
2	Mattesco	28657
3	Hyp3rion_	23576
4	Enderxz3	16559
5	Spacewardharpy7	13064
6	PlasticOtari	11208
7	NameGenerat0r	8749
8	Di_infiri	8293
9	Quotary	7474
10	Manaateee	7210
11	EcksD	6860
12	ImpavidArcher	6448
13	Inchef	5799
14	beeperbeeper5	5402
15	Hiryu27	5154
16	Mahoose	4873
17	Lez_	4129
18	eitanzaki	3824
19	Ezekson	3111
20	Truckoss	3063
21	PazinGaming	2720
22	_Huge_Male_	1942
23	thescout7	1918
24	ConnorDanky_	1900
25	xxPipperDipperxx	1497
26	ShedJr_	1419
27	Snowflowe	1363
28	EngagedGrub41	1287
29	lcvezra	1276
30	Blackberry1310	1244
31	LexMakesHistory	1193
32	PigDab	1090
33	Blu3beast	953
34	Dan_Scha	912
35	ApophisNova	905
35	MyNamaSheff	905
37	Blaiku	853
38	Sheldor097	814
39	_Karmaa	777
40	YungMaki	762
41	MattieHD	727
42	TheSecondLord	725
43	lillips	695
44	mihimihimihi	688
45	JayToe	678
46	TheBiggestFeller	670
47	Merv__	666
48	Frozil20	522
49	Glumb0	516
50	oreee	514
51	Ssor69	512
52	Covalents	508
53	LordSpeed37	504
54	Syropatathe	494
55	ItsGrayWolf	452
56	Jackattack53	394
57	lordpipe	393
58	Diavri	390
59	groofles	385
60	TeenMomTom	384
61	PortlyPete69	354
62	I_Am_Mushkin	337
63	BumbleBeever	336
64	IKeepDying	321
64	thebaddruid	321
66	Historical_Sand	312
67	pintsizedrogue	296
68	thewindmillman	294
69	audiocracked	290
70	luseis	272
71	sp00ky_ghost977	270
72	Rich_Kat	256
72	Marbz_	256
72	TheShyPig	256
72	xolstoi	256
76	teslawolf38	237
77	RoskobiOne	214
78	titanlax	204
79	Xclax101	203
80	MunkaKris	194
81	AJplaysMC_	192
82	500am	161
83	joethahobo	145
84	Soplight	144
85	Akoot_	141
86	IamCL4SSY	131
87	bearlystraight	129
87	AdmiralSmoke	129
89	Arceus1975	128
89	BlankityMcBlank	128
91	shadowthemonkey	110
91	EveryonesUncle	110
93	diamondgolem35	105
94	M_Patata	104
94	MasterNueve	104
96	Rebytre	99
97	Fuad_R	65
98	bigstankyy	64
98	Incinere	64
98	Hoid_the_Roamer	64
98	Eraxa	64
98	__tomato	64
98	MilleGrug	64
104	DinoDoctor_	57
104	rarrq	57
106	SmashingPump	56
107	HellsSponge	45
108	CollinMH06	41
109	SuperPooch06	36
110	Deerfoot	32
111	jessewegottacook	26
112	Sral7	25
113	Kowcio_	14
113	Jimb0nat0r	14
113	Zoeyfortnite	14
116	Fullut	10
116	Trixididntdie	10
118	Rumpletaezer	9
119	Onennon	8
119	Deathkob	8
119	starbits140	8
119	jnp_gaming	8
123	theonlymagikarp	6
124	FreakGenius	5
125	jcool7	4
126	hanaryheatwave	3
126	Nicserso	3
128	Da_Boss_Rani	2
128	oscminus	2
128	Inconvenionce	2
128	claivin	2
132	SteveCraftBlocks	1
132	gcaisawesome	1
132	Jonafrog99	1
132	The11thDoctor	1
