rank	username	minecraft:used/minecraft:mace
1	MyMawgDonaldsGon	83
2	oscminus	71
3	net_flex	26
4	CLG_Kata	9
5	Mr_Byzantine	3
6	Buuck_	2
6	Spaghettatron	2
