rank	username	minecraft:used/minecraft:tnt
1	EcksD	49736
2	thewindmillman	16109
3	eitanzaki	15736
4	Segotep999	15704
5	HellsSponge	14836
6	noam464	13727
7	Jackattack53	10515
8	Smashic	9980
9	Enderxz3	9426
10	Hyp3rion_	9251
11	lordpipe	7363
12	Spacewardharpy7	6119
13	Di_infiri	5975
14	Alteriity	5958
15	bigstankyy	5626
16	Ryan_GEMS	5612
17	Werbe	5161
18	AdmiralSmoke	4220
19	MinttyFressh	4185
20	TheSecondLord	4171
21	PigDab	4123
22	YungMaki	3746
23	set67	3720
24	HolyVenom	3504
25	Lez_	3349
26	SkateboardR6	3022
27	Blaiku	2768
28	PazinGaming	2636
29	Winklepicker279	2583
30	beeperbeeper5	2464
31	Kowcio_	2337
32	k_ce	2267
33	SyK7	2216
34	jnp_gaming	2088
35	_Mythic____	2044
36	Racengan	2014
37	pintsizedrogue	1910
38	luseis	1884
39	zToasty69z	1866
40	Kakolbus	1784
41	_i_ERROR_i_	1694
42	Zythose	1626
43	H0UNDFRMH3LL	1596
44	ITDV	1532
45	Strangemonkey71	1484
46	fw3xy74	1453
47	BlancoFlaco	1445
48	_Virify_	1428
49	joethahobo	1411
50	NieToksikpl	1410
51	PortlyPete69	1406
52	ZeroKraken	1182
53	r123moore	1168
54	ApophisNova	1144
54	MyNamaSheff	1144
56	MightyWertu	1121
57	THEKINGLyric10	1087
58	mwrty	1084
59	Rebytre	992
60	Spenduh	982
61	jcool7	956
62	Steelynan	952
63	Akoot_	907
64	Badenbeele	905
65	12Magner05	877
66	SingedBread	864
67	ECstardust	859
68	SuperPooch06	817
69	kekhon	763
70	Nycteus_	727
71	bloodbiter	720
72	LeonelSalamanca	713
72	Kura2218	713
74	MS_Pryxx	696
75	mihimihimihi	690
76	T045RTY	687
77	2blox_	672
78	VentiHilton	668
79	PlasticOtari	638
80	Njensen7	630
81	Jimb0nat0r	627
82	Huwulling	614
83	ProfessorBee	568
84	Chromary	538
85	FelixPSY375	532
86	Skippeh	530
87	Manaateee	524
88	PhantomsGhost_	517
89	__TheNorseMan__	514
90	Historical_Sand	508
91	selectrix	492
92	WET_WET_WET	491
93	FreakGenius	486
94	fkGrim	478
94	MAns_44	478
96	djancak	476
