rank	username	minecraft:used/minecraft:item_frame
1	HellsSponge	2657
2	beeperbeeper5	1821
3	El_Jalapeno	1759
4	joethahobo	1507
5	kekhon	1432
6	EcksD	1414
7	TheShyPig	1353
8	noam464	1137
9	Jackattack53	925
10	eitanzaki	836
11	EcksDofficial	832
12	Mahoose	770
13	Blackberry1310	633
14	Kubeusz2010	618
15	Zythose	613
16	PlasticOtari	595
17	pintsizedrogue	594
18	fluddd	587
19	YungMaki	580
20	Merv__	576
21	Werbe	573
22	SuperPooch06	556
23	Ezekson	546
24	500am	493
25	Chromary	489
25	lordpipe	489
27	Legendosh	478
28	Hyp3rion_	475
29	Blaiku	473
30	EveryonesUncle	458
31	xxPipperDipperxx	452
32	Smoke____	433
33	Rumpletaezer	431
34	Fullut	426
34	sebastiensaborio	426
36	m_be9	418
37	oxfordschool	385
38	Di_infiri	367
39	Akoot_	360
40	Enderslayerxz3	345
41	Kowcio_	342
41	Soplight	342
43	ApophisNova	341
43	MyNamaSheff	341
45	Freak_Genius	336
46	TechnoNinja64	334
47	mwrty	332
48	_Dean_123	324
49	EMC_	319
49	ShedJr_	319
51	bloodbiter	308
52	SSytex_X	299
53	Spacewardharpy7	298
54	MattieHD	294
55	Njensen7	286
56	thescout7	281
56	censorsheep	281
58	claivin	276
59	Comma__	275
60	PortlyPete69	270
61	__tomato	265
62	Inbefour	248
63	Inchef	239
64	rarrq	238
65	SaucyDark	230
66	Xclax101	217
67	Z3braYTIL	207
68	Marbz_	199
69	PlzNoBM	193
70	Historical_Sand	185
70	r123moore	185
72	_Nuf	177
73	Jovaphobic	176
74	TheSecondLord	175
75	diamondgolem35	174
75	Awyrlas	174
77	Airem_Core	171
78	ProfessorBee	170
79	NameGenerat0r	169
80	Groundler	168
81	KarlKaek	165
82	thewindmillman	162
82	Onennon	162
84	gabriels543	160
85	Syropatathe	159
86	SkateboardR6	158
87	titanlax	157
88	KartivGal	156
89	Skylord_Luke	153
90	12Magner05	152
90	_Bguette_	152
92	Dedalus36	151
93	teslawolf38	150
93	CalebDHawk	150
95	fffMike	144
96	Blu3beast	143
96	Vorlice	143
98	Fildyr	142
99	Kakolbus	141
100	pappaberg	138
101	ori0le	134
102	TheThomas69	133
103	roxycherry	131
103	MakeHistory157	131
105	picardred	127
106	MilleGrug	124
107	_Karmaa	118
108	mariominejedi	116
109	jnp_gaming	110
110	PegLegPete93	108
111	ImpavidArcher	107
111	MinttyFressh	107
111	Dusk_95	107
114	ROY4LE	106
114	gcaisawesome	106
116	Shogunite	105
117	TooManyDuck	104
117	Snowflowe	104
119	Euclidoris	100
119	Zaridey	100
121	SammiWolfGirl	99
122	Xalithia	98
123	seanitoo	97
123	Kouridragon	97
125	set67	96
125	Eraxa	96
127	AuroraValkyrie	95
128	CoffeeNoir	94
128	Hiryu27	94
128	Kateesaur	94
131	chimpmunker	92
131	BronkerBrum	92
133	hcb238	91
134	Jiminie	89
134	stahouo	89
136	Megarboh	86
137	sp00ky_ghost977	85
138	Nicserso	84
139	UrbanPlanner1978	82
140	Barlycorn	81
141	Windo_licker	79
142	awesomeoneme	78
142	fkGrim	78
142	MightyWertu	78
142	SexcMf	78
146	NomadicRobin_	75
147	Hoid_the_Roamer	73
148	RobotMinion101	72
149	PigDab	71
150	Winklepicker279	70
151	Swexti	69
151	wezzzi	69
151	lcvezra	69
151	Sral7	69
155	Incinere	68
156	jacxhadow	67
157	Leyna3	64
158	Drlzyy	63
158	Hermanni__	63
160	Lord_Jord	62
160	Racengan	62
162	Malorn_Aetherius	60
162	Truckoss	60
164	Arceus1975	59
165	OfficerAnvil	55
166	_Virify_	54
166	IdeallyGrey	54
168	MyNameIsJobo	53
168	balin55	53
170	Kynigito	52
170	Frozil12	52
170	djancak	52
170	vandmanden	52
174	starbits140	51
175	XxCookiequeenxX	50
175	Quotary	50
177	RodSerlingCringe	49
178	Rebytre	48
179	_Boipl_	47
180	6king6colt6	46
180	BlancoFlaco	46
180	Maenara	46
180	Russiancat1	46
184	Karetoko	45
185	laron58	44
186	PhantomsGhost_	43
186	Fuhrer_Teemo	43
186	yatsuta	43
189	Notta	42
189	LexMakesHistory	42
191	XboxPanda	41
191	trixterrx	41
191	h2p_emrld	41
194	fallingemma	40
194	Lutres_Torane	40
194	Factoroni	40
197	SingedBread	39
197	pixelviolin	39
199	Sleek_Storm_721	38
199	King_Pancake1	38
199	kinas45y5	38
202	tobinwilliams	37
202	Hisiste	37
204	Flores991	36
204	Typadopoulos	36
204	_3Stump_	36
207	Fizznut909	35
207	KingMatthew506	35
209	Bumpy419	33
209	cytotoxaint	33
209	WyngGoy	33
209	stellarjay	33
213	soundad	32
213	natajimi	32
213	jcool7	32
216	Bandito_Roamer	31
216	gaziter10	31
216	CliffEmAll	31
216	Guillemet	31
216	_naturell	31
216	MovingFish7	31
216	Winston_Ingram	31
223	dopplexd	30
223	The11thDoctor	30
225	NotKaden_	29
225	MangoTheFish	29
225	MyNameIsDakar	29
228	Mr_Byzantine	28
228	youhjjhhhjj	28
228	SteveCraftBlocks	28
228	GlitchyPlate810	28
228	VentiHilton	28
228	MeetTheWollo	28
234	Groovy_MoonBird	27
234	RyuNeko932000	27
236	Hyugo	26
236	H72l9w	26
236	egglapras	26
236	Ecplosive	26
236	DAD_1996	26
236	sammidk	26
236	Drewen24	26
236	TJawesome09	26
236	TheTrueClipse	26
236	chipklip	26
236	IAmTheWalrus910	26
236	Zoeyfortnite	26
248	TheBiggestFeller	25
248	audiocracked	25
250	MSK__	24
250	Cryptacity	24
250	Motsaro	24
250	Gamergirl420628	24
250	burbankbuilder28	24
250	epiksk8erduck	24
250	Deathkob	24
250	The_slideV3	24
250	ZeroKraken	24
259	2Stout	23
259	Luigipunch989	23
259	Kferno	23
259	diggydog67	23
263	Froste131	22
263	I_Am_Mushkin	22
263	T045RTY	22
263	fr_ser	22
263	SvenskaHugo	22
263	cichy096	22
263	HesDemonPants	22
270	SoftSix	21
270	MousePlays	21
270	lizardfightclub	21
270	Powowowow	21
274	bigstankyy	20
274	cowgirlkasia	20
274	LAVA129	20
274	CruncyIsTaken	20
274	cedric72	20
274	KG1999	20
274	Dr0xzy	20
281	Gundam_Steven	19
281	redikul	19
281	Scathra	19
281	theofiel	19
281	lillips	19
281	Bloo2406	19
281	33sudo	19
281	Shin69	19
289	abramgray	18
289	Healthing	18
289	RatatJuice	18
289	Myszoaz	18
289	Ssor69	18
289	NoxxxxiS	18
289	M_Patata	18
289	Matorz	18
289	MineMaster0012	18
298	_NieToksikpl_	17
298	TheDiamondCG	17
298	Sky_light_KING	17
