rank	username	minecraft:used/minecraft:spruce_button
1	Soplight	1513
2	Onennon	1511
3	mwrty	1240
4	WET_WET_WET	391
5	xzvu	342
6	Mahoose	310
7	Ezekson	270
8	Fullut	223
9	beeperbeeper5	202
10	EveryonesUncle	200
11	luseis	199
12	M_Patata	184
12	MasterNueve	184
14	EMC_	180
15	Legendosh	170
16	FreakGenius	141
17	eitanzaki	140
18	AdmiralSmoke	131
19	KingFaenor	130
20	RatatJuice	127
21	Chromary	121
22	pintsizedrogue	113
23	fkGrim	109
24	Merv__	108
25	kekhon	107
26	FirsTimeGamingTV	100
26	500am	100
28	Manaateee	95
29	HellsSponge	84
30	XxCookiequeenxX	81
31	ApophisNova	80
31	MyNamaSheff	80
33	Cryptacity	76
34	Groovy_MoonBird	65
35	Cowison	62
35	Mattesco	62
37	oscminus	54
38	claivin	53
39	IamCL4SSY	49
40	PazinGaming	47
41	xolstoi	46
42	k_ce	42
42	thescout7	42
44	obzii	39
45	m_be9	38
45	Rebytre	38
45	UCP_TheKingK	38
48	Winklepicker279	37
49	Blackberry1310	36
49	12Magner05	36
51	T045RTY	35
51	Biites	35
53	TheSecondLord	33
53	EngagedGrub41	33
55	MOSS000	32
55	Lez_	32
55	Comma__	32
55	Meatlaugh	32
59	Kowcio_	30
60	Alteriity	29
60	Arceus1975	29
62	Kynigito	28
62	NebulousBadger	28
64	xxPipperDipperxx	27
64	_Boipl_	27
66	noam464	26
67	Jackattack53	25
67	TheShyPig	25
67	Skippeh	25
70	jessewegottacook	23
70	burbankbuilder28	23
70	Krowuss	23
73	NieToksikpl	22
74	Drewen24	21
74	Deathkob	21
76	PhantomBionic	20
76	andy_rex	20
76	Warlord324	20
76	Eraxa	20
80	Inchef	19
80	mihimihimihi	19
82	Dakar_	18
82	Lord_Doob	18
84	mimbo1211	17
84	MyNameIsJobo	17
84	valkam13	17
87	Kakolbus	16
88	ImpavidArcher	15
88	Inbefour	15
88	Shogunite	15
91	Akoot_	14
92	_Huge_Male_	13
92	rarrq	13
92	Avocadogerms	13
92	ConnorDanky_	13
96	Huwulling	12
96	Malorn_Aetherius	12
96	Adlair	12
96	ese_wn_po	12
96	SpacesickPrism	12
96	Jimb0nat0r	12
102	H72l9w	11
102	Ssor69	11
102	El_Jalapeno	11
102	wwwwinnebagoooo	11
106	Historical_Sand	10
106	drompje	10
106	Fizznut909	10
109	MuffinManzz	9
109	imcombxt	9
109	BlueZabu	9
109	Donutt	9
109	Jimi7hits	9
109	EcksD	9
115	KarlKaek	8
115	Jonte0599	8
115	SammiWolfGirl	8
118	PhantomsGhost_	7
118	6king6colt6	7
118	Tiberonus	7
118	Di_infiri	7
118	corpsecity	7
118	Snowflowe	7
118	grislgrobl	7
118	The_Cruncy	7
118	YungMaki	7
118	Luigipunch989	7
118	fffMike	7
118	PlasticOtari	7
130	H0UNDFRMH3LL	6
130	Jovaphobic	6
130	Swexti	6
130	Armattillo	6
130	GooseWithin	6
130	Karbl	6
130	SvenskaHugo	6
130	TheGameArchitect	6
138	MunkaKris	5
138	diamondgolem35	5
138	TooManyDuck	5
138	VanJosh	5
138	Mr_Sun15	5
138	AlexxO_o	5
138	Cattoh	5
138	thgrocks	5
138	AlphaWolfPlaysMC	5
138	Fuad_R	5
138	Spacewardharpy7	5
138	MilleGrug	5
150	Frozil20	4
150	Ryan_GEMS	4
150	hm947	4
150	tuckerdoodle	4
150	Natty	4
150	SquadMonster	4
150	_Dean_123	4
150	Bumpy419	4
150	DC_XII	4
150	audiocracked	4
150	The_slideV3	4
150	Blu3beast	4
150	Racengan	4
150	_Meow_Mix	4
150	MakeHistory157	4
150	Soul_Atreus	4
150	underscore_2	4
150	KujikawaRisechi	4
150	lcvezra	4
150	ProbsNotNova	4
150	Soffbord	4
150	monolu	4
150	erkada	4
150	Lord_Lollo	4
150	CattSoup	4
150	Enderxz3	4
150	HesDemonPants	4
150	TechnoNinja64	4
178	q_wq	3
178	poopybh	3
178	slkiey	3
178	John6970	3
178	SirPiccardo	3
178	Maenara	3
178	Quincannon	3
178	The_SlideV5	3
178	Jordan_R	3
187	Mr_Byzantine	2
187	soundad	2
187	Tommhh	2
187	I_Am_Mushkin	2
187	Flores991	2
187	livingdaydreams	2
187	_themselves	2
187	Saucepeh	2
187	bloodbiter	2
187	SteveCraftBlocks	2
187	Jokerman369	2
