rank	username	minecraft:used/minecraft:mangrove_sign
1	Mr_Byzantine	53
2	Merv__	48
3	Yamdalorian	45
4	luseis	34
5	TheWickedBird	31
6	pintsizedrogue	26
7	Jimb0nat0r	22
8	Enderxz3	21
9	Mattesco	16
10	Mahoose	14
10	hanaryheatwave	14
10	Soplight	14
13	ECstardust	8
14	TheSecondLord	7
14	12Magner05	7
16	knarian	6
17	oscminus	5
17	Werbe	5
19	Touched_Bread	4
19	PlasticOtari	4
21	Lez_	3
21	Spaghettatron	3
23	beeperbeeper5	2
23	Paul_Katan	2
23	lordpipe	2
26	Creativebuilder2	1
26	Crizma_	1
26	SteveCraftBlocks	1
26	KamFurnace	1
