rank	username	minecraft:used/minecraft:detector_rail
1	Jackattack53	622
2	noam464	531
3	StinkyDiplomat	292
4	thewindmillman	243
5	Spacewardharpy7	237
6	eitanzaki	229
7	fffMike	225
8	HellsSponge	212
9	Di_infiri	148
10	non089	140
11	PigDab	137
12	mihimihimihi	133
12	ConnorDanky_	133
14	Hyp3rion_	130
15	MattieHD	89
16	GooseWithin	82
17	thescout7	81
18	Hiryu27	78
19	censorsheep	73
20	EMC_	71
20	joethahobo	71
22	Alteriity	57
23	AlexxO_o	55
24	FreddyFart	54
25	EcksD	51
26	andy_rex	50
27	Nicky_H225	48
28	PlzNoBM	45
29	ProbsNotNova	43
30	Akoot_	37
30	SkateboardR6	37
32	AdmiralSmoke	36
33	Manaateee	33
33	vandmanden	33
35	yatsuta	31
36	FreakGenius	30
37	ECstardust	27
37	FishisTTV	27
39	Enderxz3	26
40	beeperbeeper5	24
41	Historical_Sand	23
41	Rasmanden	23
43	ProfessorBee	21
43	YungMaki	21
45	Snowflowe	20
45	kalzor	20
47	MAns_44	19
48	_Mythic____	17
48	PortlyPete69	17
48	MilleGrug	17
51	Kowcio_	16
51	Soplight	16
53	Bumpy419	14
54	MightyWertu	13
54	BumbleBeever	13
56	m_be9	12
56	Drewen24	12
56	groofles	12
56	Deathkob	12
56	ayamefag	12
56	07shiny	12
62	MyNameIsJobo	11
62	Blaiku	11
62	pixelviolin	11
65	Merv__	10
65	noodlepack	10
65	HolyVenom	10
65	Darkgon	10
65	Druid95	10
65	UCP_TheKingK	10
65	__tomato	10
65	anbbang	10
73	12Magner05	9
73	Warlord324	9
73	WyngGoy	9
76	Jovaphobic	8
76	Comma__	8
76	masskedman	8
76	Fuad_R	8
76	Racengan	8
81	kekhon	7
81	SteveCraftBlocks	7
81	Lord_Jord	7
81	audiocracked	7
81	MakeHistory157	7
81	jnp_gaming	7
87	Apollo_993	6
87	ImpavidArcher	6
87	NATE_the_HALO	6
87	Steelynan	6
91	pintsizedrogue	5
91	_Virify_	5
91	SmashingPump	5
91	RIPB0ZO	5
91	Kakolbus	5
91	RobotMinion101	5
91	Meatlaugh	5
91	Groundler	5
91	Factoroni	5
91	Cocoamallows	5
91	SvenskaHugo	5
91	Kyrum2169	5
91	KingMatthew506	5
91	TechnoNinja64	5
105	tuckerdoodle	4
105	slkiey	4
105	PegLegPete93	4
105	M_Patata	4
105	domagawha	4
105	kubinek69	4
105	MasterNueve	4
105	mawileite	4
105	RadarHz	4
105	HesDemonPants	4
105	The_SlideV5	4
116	Groovy_MoonBird	3
116	Frozil20	3
116	NotMeanttoChange	3
116	gcaisawesome	3
116	Werbe	3
116	Onennon	3
116	TheSeismicDuck	3
116	sp00ky_ghost977	3
116	Strangemonkey71	3
116	FadedSpade82	3
116	OfficerAnvil	3
127	Mahoose	2
127	carloselpapii	2
127	Malorn_Aetherius	2
127	Blackberry1310	2
127	excelsionprime	2
127	eiC_	2
127	Kubelz	2
127	benediktine1	2
127	shadowthemonkey	2
127	Rumpletaezer	2
127	Arceus1975	2
127	Rebytre	2
127	Mattesco	2
127	Leyna3	2
127	Fuhrer_Teemo	2
127	_Karmaa	2
127	Hisiste	2
127	brofrickcheaters	2
127	Spenduh	2
127	EngagedGrub41	2
147	chipklip	1
147	dimondking777	1
147	livingdaydreams	1
147	ivorico	1
147	eviltunix	1
147	prizm_	1
147	RyuNeko932000	1
147	kars0n	1
147	Donutt	1
147	Skylord_Luke	1
147	JESS_THE_RERE	1
147	The_slideV3	1
147	Quincannon	1
147	El_Jalapeno	1
147	Steve897	1
147	lordpipe	1
147	LeEricc	1
147	CattSoup	1
