rank	username	minecraft:used/minecraft:cooked_chicken
1	_Dean_123	7564
2	Arceus1975	4860
3	TheShyPig	2673
4	thescout7	1993
5	El_Jalapeno	1938
6	lordpipe	1285
7	Merv__	1254
8	Lez_	1156
9	rarrq	1066
10	oscminus	1027
10	claivin	1027
12	luseis	913
13	PhantomsGhost_	889
14	F_Uhre	859
15	CalebDHawk	728
16	RebelAndroid	717
17	beeperbeeper5	692
18	Enderxz3	689
19	Covalents	677
20	Warlord324	668
21	Legendosh	658
22	Jackattack53	628
23	Tyrannosplart	561
24	AdmiralSmoke	538
25	Ezekson	486
26	skrongus	480
27	Blackberry1310	428
28	_3Stump_	406
29	MattieHD	389
30	audiocracked	381
31	MinttyFressh	378
32	Blu3beast	370
33	EngagedGrub41	366
34	MineMaster0012	364
35	StinkyDiplomat	355
36	T045RTY	349
37	Groovy_MoonBird	340
38	monky_irl	332
39	Soplight	323
40	MakeHistory157	309
41	mihimihimihi	301
42	HellsSponge	299
43	Mahoose	294
43	Nicserso	294
45	Rumpletaezer	293
46	Huwulling	287
47	Akoot_	268
48	pintsizedrogue	262
49	bloodbiter	260
50	KarlKaek	259
51	EMC_	249
51	YungMaki	249
53	kekhon	238
54	6king6colt6	237
54	Valoth	237
56	stellarjay	235
57	Hyp3rion_	233
58	Swexti	228
59	PlasticOtari	225
60	ROY4LE	224
61	The11thDoctor	222
62	Bandito_Roamer	220
63	SuperPooch06	213
63	starbits140	213
65	BlankityMcBlank	207
66	SteveCraftBlocks	201
67	MoistMicrowave	198
68	Onennon	197
69	Shin69	195
70	PortlyPete69	194
71	Incinere	187
72	_Huge_Male_	185
72	Werbe	185
74	Inchef	183
75	m_be9	179
76	Frozil20	168
77	SkateboardR6	167
78	Eraxa	166
79	bigstankyy	165
80	ReyTheLegend	164
81	Killercatty78	161
81	WyngGoy	161
83	CarltheCuck	158
84	fade_emerge78823	157
84	Powowowow	157
86	jnp_gaming	155
87	Snowflowe	153
88	SyntheticSurgeon	150
89	LexMakesHistory	143
90	SaphLaseer	142
90	Spenduh	142
92	DarlaMeow	141
93	djancak	137
94	Quincannon	136
95	_Bguette_	135
96	2Stout	129
97	Rasmanden	127
98	emrekn	125
99	_Nuf	116
99	burbankbuilder28	116
99	_8man	116
102	Natty	115
102	Steelynan	115
104	NebulousBadger	112
105	fluddd	111
106	Wooptey	109
107	Felenov	106
108	Karbl	105
109	SammiWolfGirl	103
110	abramgray	101
110	Crowman1	101
110	Di_infiri	101
113	KermitTheKripple	100
114	ILoveCarrot	99
114	DemTechAlpha	99
114	07shiny	99
117	NameGenerat0r	96
117	stavgod	96
119	xof_on_microwave	95
120	Deathkob	94
121	himak1	92
121	IdeallyGrey	92
123	smogfrog	90
124	fffMike	89
125	masskedman	88
125	Inbefour	88
127	Quaintster	87
128	ItsJunoIGuess	86
128	TechnoNinja64	86
130	Meatlaugh	85
131	eitanzaki	83
132	SvenskaHugo	82
132	ConnorDanky_	82
134	The_slideV3	79
134	Zoeyfortnite	79
136	_Cloverbelle_	78
137	Comma__	77
137	SaintJosie	77
137	EcksD	77
140	KlausVonStiglitz	76
141	WET_WET_WET	75
141	Vetral1	75
141	sp00ky_ghost977	75
144	Skippeh	74
144	Iamthejo	74
146	CollinMH06	73
147	Donutt	72
147	lillips	72
149	Lord_Jord	71
149	lcvezra	71
149	Sheldor097	71
152	legal_tax_evader	70
153	xxPipperDipperxx	68
154	dopplexd	65
154	Awyrlas	65
154	Pineapplesugr	65
154	MyNameIsJobo	65
154	Strangemonkey71	65
159	DinoDoctor_	64
159	pumpfonzo	64
159	Nycteus_	64
159	DolphinLaugh	64
159	__tomato	64
159	mobunni	64
165	Bumpy419	62
166	TrNrGhost	61
167	Tina_x	60
168	Paint	59
168	Historical_Sand	59
168	DanTheBuilderino	59
168	Druid95	59
168	_i_ERROR_i_	59
173	ImpavidArcher	58
173	SquadMonster	58
173	boog4loo	58
173	CACTUSLAD	58
177	BlancoFlaco	57
177	Kamflame10	57
179	Doom_melon	56
179	valkam13	56
179	diggydog67	56
182	thgrocks	55
183	Ironmine12	54
184	_Virify_	50
184	CliffEmAll	50
184	olliebollie48	50
184	Shiirazu	50
188	peach0s	49
188	SpicyMeatballs	49
190	jspwn	48
190	jacxhadow	48
190	DarkDescent2392	48
190	Krowuss	48
190	xofe	48
190	Dreamdbr14	48
196	fanofbands101	47
197	MeowMeowMcmuffin	45
197	Truckoss	45
197	censorsheep	45
197	KingMatthew506	45
201	teslawolf38	43
201	GingerNeutron	43
201	Secret_Canary	43
204	youhjjhhhjj	42
205	jessewegottacook	41
205	nocturne78	41
205	szczeepaan	41
205	FreakGenius	41
209	mimbo1211	39
209	K_a__a_n	39
211	Windo_licker	38
211	SlayerCrypto	38
211	Kryktal	38
211	yulgur1	38
211	Blaiku	38
211	Ze_BaronKrigler	38
217	MuffinManzz	37
217	ZaneABrain	37
217	MrExplorer	37
217	r123moore	37
217	Eman__1	37
217	duqboy	37
217	Deguns123	37
217	MissCeleste7	37
225	titanlax	36
225	Frxnkz	36
225	Zaridey	36
225	WhosJPG	36
225	splatterhawk	36
230	Kubelz	35
230	_Meow_Mix	35
230	Erased_Identity	35
233	jimintyy	34
233	Cambo5000	34
235	gcaisawesome	33
235	NotoriousNina	33
235	yheece	33
235	epiksk8erduck	33
239	ketaminmann	32
239	h2p_emrld	32
241	k_ce	31
241	dudcreeper	31
241	TildaAndrea	31
241	Smashic	31
241	Drewen24	31
246	soundad	30
246	Tiberonus	30
246	MindyDooWho	30
246	Burge_r	30
246	Luigipunch989	30
246	tartanboy	30
252	Ggino0	29
252	Jackster03	29
252	mwrty	29
252	ehunt54	29
256	set67	28
256	Silvo614	28
256	Pootis11	28
256	parodypatient	28
256	silverpopcorn	28
261	Euclidoris	27
261	XHectorSalamanca	27
261	Rich_Kat	27
261	shadowthemonkey	27
261	Wyatt143	27
261	Manaateee	27
261	BigCronkin	27
268	the_fireminer	26
268	Sleepy_Time_	26
268	ProfessorBee	26
