rank	username	minecraft:used/minecraft:cut_copper_stairs
1	beeperbeeper5	586
2	Mr_Byzantine	450
3	SpacesickPrism	241
4	Alteriity	176
5	EMC_	156
6	12Magner05	134
7	Mattesco	133
8	hanaryheatwave	130
9	Groovy_MoonBird	73
10	joethahobo	69
11	thewindmillman	60
12	Lord_Jord	54
13	MinttyFressh	48
14	Enigma0251	43
15	PlasticOtari	42
16	AdmiralSmoke	41
17	Lutres_	40
18	jessewegottacook	38
19	Jonafrog99	35
20	Kowcio_	33
21	JETrotter	27
22	TheSecondLord	26
22	Soplight	26
24	j5ylim	22
24	luseis	22
26	SuperPooch06	18
27	Manaateee	17
27	Nicserso	17
29	SvenskaHugo	16
30	_Huge_Male_	13
31	Merv__	12
31	LeauVox4921	12
31	Touched_Bread	12
34	Mahoose	9
35	k_ce	8
36	Jimb0nat0r	7
37	500am	6
37	Enderxz3	6
39	GooseWithin	5
39	EveryonesUncle	5
41	PaperCanvas	4
41	MineMaster0012	4
43	UMosDiesIrae	2
43	pixelviolin	2
45	Kubelz	1
45	StinkyDiplomat	1
