rank	username	minecraft:used/minecraft:redstone_lamp
1	Zythose	6619
2	beeperbeeper5	4064
3	noam464	3696
4	lillips	2960
5	Xclax101	1809
6	Blaiku	1204
7	Kowcio_	1041
8	xolstoi	997
9	Di_infiri	901
10	Hyp3rion_	855
11	AdmiralSmoke	835
12	lordpipe	576
13	pintsizedrogue	550
14	thewindmillman	530
15	Jackattack53	508
16	500am	485
17	joethahobo	441
18	eitanzaki	433
19	EveryonesUncle	408
20	_Karmaa	407
21	MattieHD	389
22	TheSeismicDuck	377
23	Spacewardharpy7	371
24	Manaateee	353
25	H0UNDFRMH3LL	346
26	ApophisNova	340
26	MyNamaSheff	340
28	MyNameIsJobo	308
29	m_be9	292
30	Kakolbus	290
31	Awyrlas	282
32	El_Jalapeno	277
33	TheShyPig	270
34	CattSoup	262
35	SSytex_X	249
36	Skippeh	241
37	PlasticOtari	227
38	OfficerAnvil	208
38	anbbang	208
40	ImpavidArcher	191
41	Steelynan	183
42	fffMike	182
43	Archsam	176
43	Blu3beast	176
45	Hisiste	170
46	ROY4LE	168
47	YungMaki	161
48	MuffinManzz	159
48	Ssor69	159
50	mihimihimihi	153
50	Jimb0nat0r	153
52	SDMNAEK	147
53	_Dean_123	145
54	Lord_Jord	143
55	12Magner05	140
56	Mahoose	131
57	Soplight	123
58	Krowuss	116
59	PazinGaming	115
59	kekhon	115
61	07shiny	112
62	burbankbuilder28	109
63	Mattesco	108
64	ProfessorBee	105
65	IamCL4SSY	102
66	Fuad_R	101
67	Prismyst	100
68	Nicserso	98
69	NoChumpChange	95
70	thescout7	94
71	WyngGoy	93
72	Touched_Bread	87
72	geekbird	87
72	lcvezra	87
75	Akoot_	86
76	The_slideV3	85
76	MakeHistory157	85
78	TheSecondLord	84
79	Druid95	83
80	MAns_44	81
81	Buuck_	79
82	Mr_Byzantine	78
83	rarrq	77
83	jacxhadow	77
85	Eczbek	73
86	Frozil20	72
87	Alteriity	71
87	Ezekson	71
89	IgnoredBee	68
89	EcksD	68
91	EMC_	67
92	Legendosh	62
93	Groundler	61
94	ConnorDanky_	58
95	TechnoNinja64	57
96	SammiWolfGirl	56
97	tobinwilliams	55
98	Lez_	54
98	xxPipperDipperxx	54
98	Iamthejo	54
101	Merv__	52
102	luseis	51
103	Ryan_GEMS	49
104	Rainaldus	48
105	PortlyPete69	47
106	SteveCraftBlocks	46
107	thebaddruid	45
108	TheThomas69	44
108	Eczbox	44
110	BumbleBeever	43
111	SvenskaHugo	42
112	emrekn	41
112	MilleGrug	41
114	UCP_TheKingK	40
114	UltraZombie	40
116	ConnorTG5	37
116	Jij0	37
118	FishyBoy3811	35
119	Megarboh	34
119	Racengan	34
121	ClemenPine	33
122	AnnieBathory	32
122	SkateboardR6	32
124	CLG_Kata	31
124	Motsaro	31
124	Skylord_Luke	31
124	StinkyDiplomat	31
128	Vorlice	30
129	HellsSponge	29
130	Xalithia	28
130	yulgur1	28
130	madderfall	28
133	00000000-0000-0000-0009-01ff0c3e5e4f	27
134	Fildyr	26
134	Kubeusz2010	26
134	Quotary	26
134	jnp_gaming	26
138	alderban107	25
138	MadmanRaven	25
140	PhantomsGhost_	24
140	YungWali	24
142	Werbe	23
143	Comma__	22
143	Winklepicker279	22
143	pixelviolin	22
146	T045RTY	21
147	dopplexd	20
147	whoaluv	20
147	Eraxa	20
150	mwrty	19
150	bloomkieren	19
152	PigDab	18
153	r123moore	17
153	Rumpletaezer	17
153	CaptainDeadBread	17
153	FreakGenius	17
157	Marbz_	16
157	SirPiccardo	16
157	JESS_THE_RERE	16
157	fluddd	16
157	Kijiki	16
157	Western_1	16
163	CoffeeNoir	15
163	bloodbiter	15
163	SlayerCrypto	15
163	Maenara	15
163	_Mythic____	15
163	vandmanden	15
169	gary_	14
169	ECstardust	14
169	301851	14
169	Inbefour	14
169	ori0le	14
169	StarCookiees_	14
169	mobunni	14
169	Wolverine4302	14
177	RatatJuice	13
177	pappaberg	13
177	kyouma777	13
180	Arceus1975	12
180	_Boipl_	12
180	Kouridragon	12
180	ougstur	12
180	LilLizardWizard	12
180	Shogunite	12
180	jcool7	12
187	j5ylim	11
187	Donutt	11
187	Bumpy419	11
187	Lord_Doob	11
187	sp00ky_ghost977	11
187	mawileite	11
193	Reamdin	10
193	eiC_	10
193	oscminus	10
196	ssleepless	9
196	shadowthemonkey	9
196	Onennon	9
196	Typadopoulos	9
196	iSammael	9
201	Houstonion	8
201	Crowman1	8
201	UncreativeArtist	8
201	LeauVox4921	8
201	legal_tax_evader	8
201	Deathkob	8
201	stellarjay	8
201	PlzNoBM	8
201	CalebDHawk	8
201	Enderxz3	8
211	ColeSnyder	7
211	Blackberry1310	7
211	Smashic	7
211	gcaisawesome	7
211	420BreadLizard	7
211	SpouHn	7
211	AstreaTSS	7
211	Winston_Ingram	7
219	bigstankyy	6
219	Fullut	6
219	Drewen24	6
219	LexMakesHistory	6
223	powercas_gamer	5
223	Secret_Canary	5
223	himak1	5
223	Rasmanden	5
223	valkam13	5
223	MightyWertu	5
229	RebelAndroid	4
229	Ryker	4
229	ZaneABrain	4
229	Malorn_Aetherius	4
229	ThePoliteG	4
229	RobotMinion101	4
229	_Bguette_	4
229	GoofyBread	4
229	Soap_Bender	4
229	Warlord324	4
239	q_wq	3
239	GLLogan2	3
239	RIPB0ZO	3
239	Matyyy15	3
239	stuy9	3
239	Tyrannosplart	3
239	claivin	3
239	ProbsNotNova	3
239	Haadrada	3
239	Jordan_R	3
249	Huwulling	2
249	ivorico	2
249	jessewegottacook	2
249	Euclidoris	2
249	shdesolt	2
249	4774	2
249	hanaryheatwave	2
249	Hiryu27	2
249	Deerfoot	2
249	Barlycorn	2
249	Leithz6	2
249	Optiprimus	2
249	Spenduh	2
249	MissCeleste7	2
263	dabloons	1
263	TildaAndrea	1
263	Tolhart	1
263	picardred	1
263	Tjhodskins19	1
263	Paintz	1
263	Zaridey	1
263	prizm_	1
263	mariominejedi	1
263	Queen_Jalapeno	1
263	Rebytre	1
263	LeonelSalamanca	1
263	Kyrum2169	1
263	MineMaster0012	1
263	Segotep999	1
263	non089	1
263	Dogcorn69420	1
263	Hermanni__	1
263	EngagedGrub41	1
263	UrbanPlanningEx	1
263	skrongus	1
