rank	username	minecraft:used/minecraft:crimson_fence
1	beeperbeeper5	1388
2	Merv__	549
3	Mr_Byzantine	458
4	k_ce	383
5	Legendosh	299
6	rarrq	296
7	RebelAndroid	215
8	craaaash	176
9	SvenskaHugo	169
10	xxPipperDipperxx	116
11	Yamdalorian	86
12	Jackattack53	84
13	livingdaydreams	78
14	Lord_Jord	77
15	underscore_2	71
16	Jekyll	69
17	Dakar_	67
18	Optiprimus	65
19	taengoos	60
20	Syropatathe	51
21	MAns_44	46
22	Sleepy_Evelyn	40
23	Marbz_	39
24	TheSecondLord	37
25	joethahobo	36
26	SpacesickPrism	35
27	BobDeBouwer1337	32
28	catandmoose	31
29	noam464	26
29	shadowthemonkey	26
31	Kowcio_	25
32	pintsizedrogue	24
33	Lez_	23
34	FreakGenius	22
35	Soplight	21
36	luseis	19
37	CoffeeNoir	18
37	Steelynan	18
39	WET_WET_WET	16
39	FiguraDei	16
41	PlasticOtari	15
42	Mahoose	14
43	Jonafrog99	13
44	Paul_Katan	11
44	RadarHz	11
44	Enderxz3	11
47	es0th	10
48	Lutres_	9
49	Segotep999	8
49	Spaghettatron	8
51	Manaateee	7
52	ShedJr_	6
52	skroobiez	6
52	Rebytre	6
55	himak1	5
55	TheWildMateo	5
55	robonya_	5
55	Sheldor097	5
59	Caribouse	4
60	PigDab	3
60	Spacewardharpy7	3
62	_Razaria	2
62	thewindmillman	2
62	AstreaTSS	2
62	lordpipe	2
66	Cowison	1
66	kekhon	1
66	Fullut	1
66	bl1ss0	1
66	OreTheBear	1
66	tdefyu	1
66	blackeemperor	1
66	cutelilreno	1
66	SingedBread	1
66	bobbydoodledot	1
66	IlkeCookes_	1
66	EcksD	1
66	Jimb0nat0r	1
