rank	username	minecraft:used/minecraft:golden_leggings
1	luseis	8
2	Mahoose	6
2	Hyp3rion_	6
4	Mattesco	4
5	MineMaster0012	3
5	Segotep999	3
7	ECstardust	2
7	lorpus	2
7	SuperPooch06	2
7	OPTOMA_KING	2
7	SquidZooka2	2
7	TheOuterCore	2
13	TAKrules	1
13	beeperbeeper5	1
13	NieToksikpl	1
13	tortillatitan	1
13	corvidpartyfor6	1
13	Smashic	1
13	IKeepDying	1
13	Inchef	1
13	d91k	1
13	shadowthemonkey	1
13	_Boipl_	1
13	Konstruktix	1
13	Nadhorion	1
13	Dan_Scha	1
13	Akoot_	1
13	Mweems	1
13	Avocadogerms	1
13	Steve897	1
13	PixelatedBoss	1
13	THEKINGLyric10	1
13	pixelviolin	1
13	UCP_TheKingK	1
13	skonos	1
13	MissCeleste7	1
13	AdmiralSmoke	1
