rank	username	minecraft:used/minecraft:stone_sword
1	LordSpeed37	9569
2	PlasticOtari	2734
3	RadarHz	2105
4	EdGalbraith	2097
5	CalebDHawk	2053
6	BreadBacon	1894
7	Mahoose	1828
8	luseis	1749
9	Werbe	1733
10	Yamdalorian	1607
11	himak1	1496
12	Steelynan	1488
13	JayToe	1437
14	bloomkieren	1048
15	Soul_Atreus	1011
16	EngagedGrub41	1005
17	ooga47	995
17	Jij0	995
19	ConnorDanky_	973
20	SellyZ	943
21	Saucepeh	927
22	Ssor69	914
23	XxCookiequeenxX	794
24	soundad	788
25	AJplaysMC_	778
26	Mowelan	775
27	Thaumatarge	744
28	Cryptacity	734
29	Snowflowe	699
30	SwooshBoi	657
31	Bambuino	633
32	C0oOK13M0N5T3R	611
33	mountaingirl311	602
34	Tyrannosplart	580
35	Moetis	540
36	obzkon	530
37	Bobby808	529
37	ori0le	529
39	Blazebit	526
40	TAKrules	524
40	Gus2005	524
42	DamagedSin	522
43	Jackattack53	521
44	ToxicHauntling	497
44	ApophisNova	497
44	MyNamaSheff	497
47	Warlord324	496
48	LavenderBi1ch	495
49	Jakobo1337	493
50	TrollerYT	478
51	Sleepy_Time_	474
52	Blackberry1310	465
53	Mistruth	464
54	Guillemet	450
55	brycepants	446
56	es0th	444
57	FennYuzuna	439
58	ZeroAbyssTTV	423
59	tortillatitan	416
60	chipklip	409
61	aldplaysmc	404
61	NebulousBadger	404
63	KingFaenor	402
64	bloodbiter	400
64	jedi_george	400
66	TakeThis2UrGrave	396
67	Lo_zio_Diego	395
68	Niklas20114552	394
69	Akoot_	387
70	Judah_Ra	379
70	mawileite	379
72	CaptainAvenger7	377
73	Winklepicker279	365
74	babyjimmyneutron	359
75	iElijahi	358
76	plato2066	350
76	PeaceAndQuiet	350
78	yulgur1	340
79	faulder	339
80	RedcatVII	336
81	IamCL4SSY	334
82	Hyugo	331
82	ehunt54	331
84	Koffeeinz	330
85	Incinere	329
86	Teebone15	326
87	Frozil20	325
88	abdomera	324
88	jnp_gaming	324
90	rotten_mango	322
90	QueenOfDirt	322
92	Mr_Byzantine	321
93	kkatsuragi	320
94	Touched_Bread	310
95	LofiGura	309
96	_vlex	306
97	Groundler	302
98	AngalexikCZ	298
99	Shavrin	297
99	felincaus	297
101	Alteriity	283
101	miramyu	283
103	Ninzyyy	280
103	Vladotz	280
103	groofles	280
106	blackmage426	276
107	Skyle169	275
107	natajimi	275
109	Iamthejo	270
110	F_Uhre	269
111	Dan_Scha	268
112	kekhon	267
113	momis24	266
113	CrazyPotater	266
115	IWorkAtIkea	265
115	SvenskaHugo	265
117	Noah_Bez	264
117	Donutt	264
117	avalan64	264
117	will2690	264
121	SHAOBADMAN	263
121	MakeHistory157	263
123	PirreJR	262
124	squigglybones	261
125	Studio4x32	260
126	Ripzch	255
127	ImpavidArcher	254
128	00000000-0000-0000-0009-01fa5d833510	249
129	Resner	248
130	MangoSalad316	247
131	St4nLe7	244
132	Merv__	239
133	Pootis11	238
134	Kubelz	234
135	LuvLuvLove	228
136	privatemeekly	223
137	Kynigito	222
138	__TheNorseMan__	218
139	Project_MKBRD	217
140	pappaberg	216
140	GeromeMerris	216
142	Rebytre	213
143	laron58	209
144	jewbacaman	207
145	Fullut	206
145	CaptainDeadBread	206
145	magmaniacmc	206
145	Lirael42	206
149	KlausVonStiglitz	205
150	nut_e	204
151	kubinek69	201
152	heckface	200
153	SPUDonSTEROIDS	199
154	Moofyman	198
155	TastyPorkchop	196
155	ItsAki_	196
157	bothan13	195
158	Ithaca19	193
159	_MeowMix	192
160	NLKBuilder	190
161	Celeste_121	189
162	StinkyDiplomat	185
162	ReflexCode	185
164	Luigipunch989	184
165	thescout7	182
166	MonkeySaint	181
166	TheKingK_	181
168	Toriankel	179
169	wwwwinnebagoooo	177
170	NoobSlayerPro	176
171	Prismyst	174
171	eiC_	174
173	H_O_M_H	172
174	Segotep999	171
175	MisfitsMike	170
176	xXTheWolfmanXx	167
176	Historical_Sand	167
176	Fildyr	167
179	SvenskaSara	163
179	FreakGenius	163
179	marumochis	163
182	excelsionprime	161
183	Cortexia	159
183	intropass	159
185	Bumpy419	157
185	Onennon	157
187	Azorathum	156
187	Galactic_Badger	156
189	fr_ser	155
190	SingedBread	154
191	BRRRN179	153
191	Pumpkin_P_Patch	153
193	The_Skramz	152
194	Batman922	151
195	StanceTB	149
195	Kryktal	149
197	Aatronix	146
198	JohnnyMines	145
199	BreadFruggis	144
199	thatsjustfrankie	144
199	_flud	144
199	HuangMeiHua	144
203	BigBootyHudge	143
203	TheSecondLord	143
203	IdeallyGrey	143
206	elleparo	142
206	Dblikstad	142
206	Albertalo	142
206	ConcretePirate	142
206	Vicemaniac	142
206	PabloGonza02	142
212	Dnulgreb	141
213	Rorrofighter	140
213	TahkoLive	140
213	MinuteMira	140
213	Keeogwi	140
213	Kferno	140
213	imaginek1d	140
219	LeberkasWeckerl	139
219	QuesoCrusaderIII	139
221	Ryker	138
221	FormulaNewt3627	138
223	corvidpartyfor6	137
223	M_Patata	137
223	Purplehere	137
223	Zythose	137
223	_k2x	137
223	MasterNueve	137
223	Kowcio_	137
223	Drawgirl	137
231	Pearlplatinum	136
231	SpicyMeatballs	136
231	CasperHxly	136
231	Celaydon	136
231	Darkgon	136
236	SyK7	135
236	JewelIssac	135
236	Big_Bad_Will	135
236	JustAWill_	135
236	cedric72	135
236	kalzor	135
236	iGotUrHost	135
236	radioactv_jelly	135
236	LiquidFenrir	135
245	Laykon	134
245	nitram49b	134
245	whoaluv	134
245	Ghemmah	134
245	SpouHn	134
245	Soplight	134
245	stellarjay	134
252	SaucyDark	133
252	TooManyDuck	133
252	Swexti	133
252	_Minnty_	133
252	Cattoh	133
252	Cteam	133
252	zeki123	133
252	Avocadogerms	133
252	Vorlice	133
252	LilcoinXX	133
262	Krimys	132
262	rarrq	132
262	cheerytomato	132
262	hcb238	132
262	belly0_0	132
262	R1CHY2K	132
262	PaperCanvas	132
262	ChrisKyleST3	132
262	m9_meltdown_	132
262	ChocolatePepsi	132
262	jambvds	132
262	DJzombiehunter	132
262	ProfessorDiaper	132
262	nagyvad	132
262	Pickel_Lord	132
262	BubblyOrangutan	132
262	TheALV	132
279	6king6colt6	131
279	gabukun_	131
279	xPixelRainx	131
279	Groyperbuscus	131
279	dedgt	131
279	dendydoom	131
279	Sophia_Irene	131
279	Leyna3	131
279	Inbefour	131
279	Quaintster	131
279	Yoaty	131
279	Chaotic1s	131
279	yatsuta	131
279	Ezekson	131
279	fastPREDATOR	131
279	diggydog67	131
295	Alphanzt99	130
295	Rook_iii	130
297	imthatpikachu	129
297	m_be9	129
297	eviltunix	129
297	420BreadLizard	129
