rank	username	minecraft:used/minecraft:light_blue_stained_glass
1	joethahobo	46642
2	Hyp3rion_	35005
3	Ezekson	9973
4	NomadicRobin_	6098
5	Snowflowe	3553
6	Jackattack53	3480
7	12Magner05	2443
8	Di_infiri	2139
9	lordpipe	2063
10	Arceus1975	2038
11	Hiryu27	1721
12	audiocracked	1544
13	oxfordschool	1438
14	eitanzaki	1395
15	sp00ky_ghost977	1391
16	MyNameIsJobo	1188
17	beeperbeeper5	1008
18	The_slideV3	957
19	Paintz	842
20	Zaridey	759
21	rarrq	744
22	_Karmaa	703
23	RebelAndroid	691
24	claivin	644
25	Miko_Fullbuster	567
26	YungJakobo	523
27	Marbz_	492
28	Smoke____	490
29	thewindmillman	386
30	titanlax	371
31	xxPipperDipperxx	354
32	ProfessorBee	332
33	Zythose	310
34	Optiprimus	295
35	TheSecondLord	287
36	MattieHD	275
37	EcksDofficial	263
38	Merv__	240
39	GLLogan2	224
40	Frozil12	212
41	El_Jalapeno	202
42	MakeHistory157	198
43	diggydog67	196
44	AltnumberF4	195
45	Crowvens	180
46	Shogunite	169
47	Groovy_MoonBird	144
48	valkam13	141
49	Swexti	140
50	Rumpletaezer	137
51	UrbanPlanner1978	133
52	TheShyPig	123
53	XboxPanda	120
54	QueenShuvi	119
55	NotMeanttoChange	116
56	Spacewardharpy7	108
57	Drlzyy	104
58	Inbefour	103
59	sebastiensaborio	98
60	extralargenose	97
61	Groundler	90
62	Iagoku	75
63	LexMakesHistory	68
64	ROY4LE	65
65	Ssor69	64
66	Wooptey	61
67	noam464	60
68	Lord_Jord	52
69	Jamstroxian	51
70	geekbird	50
71	kekhon	49
71	YungMaki	49
73	Xclax101	45
74	tobinwilliams	42
75	Freak_Genius	40
76	TechnoNinja64	36
77	Akoot_	32
78	Mahoose	31
79	PortlyPete69	27
80	Hoid_the_Roamer	26
81	mwrty	25
82	hm947	21
83	Notta	19
83	Soplight	19
83	Nekomin0	19
86	Onennon	16
87	SellyZ	15
88	BobDeBouwer1337	14
88	EveryonesUncle	14
90	Batoser	13
91	thescout7	12
92	KarlKaek	10
92	Blackberry1310	10
92	MinttyFressh	10
92	Enderslayerxz3	10
96	Eraxa	9
97	Werbe	8
97	Maenara	8
97	AssEatrAndLicker	8
97	Blu3beast	8
101	_Virify_	7
101	KingMatthew506	7
103	ApophisNova	6
103	RodSerlingCringe	6
103	Blaiku	6
103	Quotary	6
103	MyNamaSheff	6
103	PlasticOtari	6
109	Incinere	5
109	Jiminbub	5
111	pintsizedrogue	4
111	CliffEmAll	4
111	fred870d	4
111	wezzzi	4
111	fluddd	4
111	lcvezra	4
117	stahouo	3
118	ColeSnyder	2
118	ssleepless	2
118	SaucyDark	2
118	Hpdinosaur	2
118	T045RTY	2
118	MSK__	2
118	eclipseboi	2
118	OG_Songsee	2
118	Kowcio_	2
127	Jorrdi	1
127	jimintyy	1
127	m_be9	1
127	_Dean_123	1
127	SuperPooch06	1
127	cedric72	1
127	HellsSponge	1
127	Nycteus_	1
127	SammiWolfGirl	1
127	Dogcorn69420	1
127	jcool7	1
127	Skippeh	1
127	aao001	1
