rank	username	minecraft:used/minecraft:torchflower
1	Mattesco	172
2	skitzxo	117
3	ECstardust	75
4	Enderxz3	25
5	ZaneABrain	16
6	FiguraDei	14
7	Jimb0nat0r	13
8	Merv__	11
9	Kowcio_	10
10	Fullut	8
10	Krowuss	8
12	EveryonesUncle	7
12	robonya_	7
14	k_ce	5
14	XxCookiequeenxX	5
16	j5ylim	4
16	oscminus	4
18	KarlKaek	3
19	pintsizedrogue	2
19	Hyp3rion_	2
19	MAns_44	2
19	Steelynan	2
23	Gzrdy	1
23	Pumpkin_P_Patch	1
23	Yamdalorian	1
