rank	username	minecraft:used/minecraft:chainmail_helmet
1	luseis	5
2	ActualPatbaf	2
2	Segotep999	2
4	Mahoose	1
4	Smashic	1
4	lorpus	1
4	Hyp3rion_	1
4	Manaateee	1
4	Avocadogerms	1
