rank	username	minecraft:used/minecraft:beef
1	Koffeeinz	71
1	LeeMcGee30	71
3	soundad	67
4	Xclax101	65
5	plato2066	37
6	CarsonDoesMine	34
7	C0oOK13M0N5T3R	32
8	EtherealEspresso	28
9	corvidpartyfor6	25
9	_Boipl_	25
11	Blackberry1310	24
11	Di_infiri	24
13	mwrty	23
13	DAD_1996	23
13	Yahrto	23
16	SpaggeDR	21
16	MyNameIsDakar	21
18	GravitySaint	20
18	00000000-0000-0000-0009-01ff0c3e5e4f	20
20	Hyperphoenix42	19
20	DarlaMeow	19
20	CassiusDio	19
23	intropass	18
23	Akoot_	18
25	ratglock	17
25	bloodbiter	17
25	claivin	17
25	jcool7	17
29	St4nLe7	16
30	Myrlewen	15
30	Albertalo	15
30	dankxing	15
30	Babushka0430	15
30	SingedBread	15
35	_Huge_Male_	14
35	TylerDupree	14
35	Blu3beast	14
35	AssFullaCum	14
39	RosaDoesMC	13
39	linxthesontaran	13
39	WyngGoy	13
42	Killercatty78	12
42	beeperbeeper5	12
42	xxPipperDipperxx	12
42	Karetoko	12
42	AnnieBathory	12
42	ItsMrRamen	12
42	NameGenerat0r	12
42	_Dri_	12
50	Sleek_Storm_721	11
50	0nly_sn1per	11
50	H_O_M_H	11
50	GlitchyPlate810	11
50	Wolverine4302	11
55	SyK7	10
55	MsBeeMan	10
55	SyntheticSurgeon	10
55	Yirtle	10
55	BlueZabu	10
55	Mistruth	10
55	BlankityMcBlank	10
55	ConnorDanky_	10
63	heysushii	9
63	livingdaydreams	9
63	Matek_	9
63	Arceus1975	9
63	BRRRN179	9
63	Ze_BaronKrigler	9
63	Naturalrogue	9
63	Powowowow	9
71	LittleBug562	8
71	gemmiiv	8
71	Inchef	8
71	tobinwilliams	8
71	fluddd	8
71	Kartoong	8
71	lcvezra	8
71	PlzNoBM	8
71	mackintosh_x	8
71	Sral7	8
81	_stets	7
81	Frozil20	7
81	hm947	7
81	lotarp	7
81	Mahoose	7
81	EnderKill98	7
81	mimbo1211	7
81	burbankbuilder28	7
81	iElijah	7
81	738b4f65-6cbd-4ead-ba31-c14211abfb06	7
81	lizardfightclub	7
81	Kowcio_	7
81	Hermanni__	7
81	diggydog67	7
95	Hpdinosaur	6
95	eclipseboi	6
95	ouija_	6
95	ormr_kin	6
95	owlcrush	6
95	Yoshiikoo	6
95	Warlord324	6
95	Eraxa	6
95	Professor_x8	6
95	Poppy235	6
95	PortlyPete69	6
95	K_a__a_n	6
95	TinyTheMelon	6
108	PhantomsGhost_	5
108	BPTY4618	5
108	dabloons	5
108	Merv__	5
108	MOSS000	5
108	Euclidoris	5
108	Cryptacity	5
108	TheSecondLord	5
108	SirMinza	5
108	Ardennes	5
108	Fullut	5
108	MindyDooWho	5
108	Cambo5000	5
108	noam464	5
108	CollinMH06	5
108	13lolo	5
108	PigDab	5
108	aldplaysmc	5
108	Tyrannosplart	5
108	_Karmaa	5
108	_k2x	5
108	YungMaki	5
108	Kyrum2169	5
108	brofrickcheaters	5
108	Dreamdbr14	5
133	Wwamess	4
133	PlanetarSun	4
133	EMC_	4
133	Gemstuff	4
133	NoHaHeHa	4
133	Alteriity	4
133	Seyaboy	4
133	Z22n	4
133	Cortexia	4
133	Foltest1	4
133	FemboyFwuit	4
133	Z3braYTIL	4
133	ROY4LE	4
133	SellyZ	4
133	Tandy117	4
133	CaptainAvenger7	4
133	halfwayup	4
133	SaintJosie	4
133	parodypatient	4
133	GigaSl	4
133	HellsSponge	4
133	FreakGenius	4
133	ChronoSounds	4
133	DarkLawD	4
133	ItsDeltaMC	4
133	DennyKai	4
133	anbbang	4
133	bladeefan2009	4
133	MasterOwen1	4
133	Smoke____	4
163	rats_life	3
163	6king6colt6	3
163	Tesseracted1	3
163	Slinkyy7071	3
163	eitanzaki	3
163	youhjjhhhjj	3
163	Linkerton	3
163	DrichAldrich	3
163	gaziter10	3
163	rarrq	3
163	SDMNAEK	3
163	Scattman_	3
163	Kamflame10	3
163	_Magdo_	3
163	eviltunix	3
163	Resner	3
163	Charmyboi	3
163	Parcc	3
163	Mpkkiller	3
163	Rebytre	3
163	Werbe	3
163	AlexxO_o	3
163	SvenskaAlvar	3
163	sammidk	3
163	Klerick	3
163	LibertyMutual	3
163	Lord_Zacler	3
163	Quinasin	3
163	zack454	3
163	Lifedy	3
163	ThatMan_Dave	3
163	Bloo2406	3
163	Ruehnaar	3
163	csendeslol	3
163	voiding_	3
163	SvenskaHugo	3
163	Nekomin0	3
163	Coolblubird	3
163	Slapface522	3
163	Iamthejo	3
163	TechnoNinja64	3
163	Jimb0nat0r	3
163	00000000-0000-0000-0009-01f16526f034	3
206	HBA00_	2
206	Groovy_MoonBird	2
206	NatalieTW	2
206	2xil2	2
206	Tommhh	2
206	bigstankyy	2
206	gren_ben	2
206	LeDuctTape	2
206	ImpavidArcher	2
206	Incinere	2
206	Jahara	2
206	CoffeeNoir	2
206	Myszoaz	2
206	blevster	2
206	ShaunCraftYT	2
206	Vizzoid	2
206	yoyonovice63	2
206	gilesmcriles	2
206	plowingmonkey	2
206	MoistEggo	2
206	12Magner05	2
206	ABUSNA1996	2
206	luvphan	2
206	Secret_Canary	2
206	Smashic	2
206	ItsRyanM8	2
206	Andzic	2
206	2Stout	2
206	stickymonkeyboy	2
206	RandimSqid	2
206	Zaridey	2
206	Peeing	2
206	PeteO1995	2
206	Hoxy	2
206	Armattillo	2
206	mvrty	2
206	RyuNeko932000	2
206	WarMachina	2
206	kairosIV	2
206	PuFY	2
206	Blackerstons	2
206	Cyber_Stealth05	2
206	420BreadLizard	2
206	gustarlep	2
206	sufjanlover	2
206	Procubed	2
206	Quaintster	2
206	Spacewardharpy7	2
206	Bonzaidalek	2
206	Kura2218	2
206	IdeallyGrey	2
206	pixelviolin	2
206	UCP_TheKingK	2
206	RealGroot	2
206	Luigipunch989	2
206	Njensen7	2
206	norcomk	2
206	Kubeusz2010	2
206	TheOnlyRake	2
206	Ezekson	2
206	AltnumberF4	2
267	H0UNDFRMH3LL	1
267	pintsizedrogue	1
267	YinToYin	1
267	Seamus002	1
267	dudcreeper	1
267	Ev0luti0nz	1
267	Myrosia	1
267	shineh10	1
267	ssleepless	1
267	DinoDoctor_	1
267	BlancoFlaco	1
267	Flores991	1
267	Sebaschan__	1
267	ITDV	1
267	FirsTimeGamingTV	1
267	Prodiginus	1
267	Comma__	1
267	LHQing	1
267	IceYoung	1
267	emremalexander	1
267	Zan	1
267	CharlieButt	1
267	drunkeeez	1
267	fallingemma	1
267	mariominejedi	1
267	PuustaKauasPdnt	1
267	Jackattack53	1
267	AJplaysMC_	1
267	chank_	1
267	BB_Butcher	1
267	AmbroseForLife	1
267	yaboo88	1
267	thewindmillman	1
267	Hyp3rion_	1
