rank	username	minecraft:used/minecraft:purple_dye
1	pintsizedrogue	135
2	PlasticOtari	36
3	_witch_craft_	24
4	Olib3ar	23
5	Hyp3rion_	20
6	PaperCanvas	16
7	TheSecondLord	15
8	That_tech_head	7
9	sp00ky_ghost977	6
10	Merv__	4
11	cuddlyMonster	3
12	Joestra	2
12	robonya_	2
14	k_ce	1
14	Mr_Byzantine	1
14	12Magner05	1
14	Marbz_	1
14	SuperPooch06	1
14	Arceus1975	1
14	Sophia_Irene	1
14	ScootOfBoot	1
14	Mattesco	1
14	Akoot_	1
14	EveryonesUncle	1
14	lordpipe	1
14	Cache3	1
14	Kowcio_	1
14	Jimb0nat0r	1
14	Yamdalorian	1
14	00000000-0000-0000-0009-01ff0c3e5e4f	1
