rank	username	minecraft:used/minecraft:prismarine_bricks
1	Smoke____	30759
2	HellsSponge	27916
3	MilleGrug	13109
4	EcksD	12619
5	Ezekson	9539
6	beeperbeeper5	8601
7	Snowflowe	8295
8	pintsizedrogue	7038
9	Frozil12	6533
10	Bumpy419	5490
11	gcaisawesome	4591
12	PigDab	4316
13	YungMaki	3963
14	joethahobo	2893
15	Di_infiri	2862
16	Spacewardharpy7	2775
17	Vellu21	2772
18	MightyWertu	2267
19	Comma__	2087
20	eitanzaki	1974
21	Notta	1913
22	lizardfightclub	1847
23	Maenara	1797
24	Paintz	1634
25	oxfordschool	1578
26	TheShyPig	1471
27	NameGenerat0r	1448
28	sebastiensaborio	1438
29	jcool7	1192
30	Hiryu27	1110
31	Enderslayerxz3	1031
32	M_Patata	1016
32	MasterNueve	1016
32	Powowowow	1016
35	Jackattack53	944
36	Groundler	943
37	Incinere	845
38	SpookyDraggin	841
39	Zaridey	716
40	PA_Tech_Gaming	657
41	diamondgolem35	639
42	PhantomsGhost_	635
43	Skippeh	595
44	Arceus1975	587
45	Freak_Genius	568
46	kekhon	524
47	Omar_Alone	501
48	Fullut	472
49	Sral7	441
50	Mr_Byzantine	437
51	Werbe	414
51	AssEatrAndLicker	414
53	diggydog67	411
54	12Magner05	406
55	ImpavidArcher	389
56	Blaiku	388
57	ROY4LE	377
58	SammiWolfGirl	357
59	Blu3beast	356
60	Merv__	345
61	fred870d	343
62	stavgod	314
63	_Dean_123	305
64	AuroraValkyrie	289
65	PortlyPete69	285
66	elicobnoah	284
66	MattieHD	284
68	LittleBug562	268
69	Legendosh	261
70	Zythose	260
71	Optiprimus	246
72	Lord_Jord	237
73	I_Am_Mushkin	231
73	lordpipe	231
75	EcksDofficial	227
76	thewindmillman	216
77	Kakolbus	202
78	ShedJr_	167
79	Blackberry1310	155
80	Rumpletaezer	150
81	Eraxa	143
82	The_slideV3	142
83	Hyp3rion_	128
84	Mahoose	124
85	Awyrlas	119
86	_Karmaa	117
87	Vorlice	113
88	hm947	110
88	stahouo	110
90	ProbsNotNova	108
91	DarlaMeow	106
92	Hisiste	103
93	obzii	102
94	MAns_44	101
95	ssleepless	100
95	claivin	100
97	noam464	98
98	himak1	95
99	Onennon	81
100	KarlKaek	79
101	Barlycorn	76
102	Zoeyfortnite	70
103	ExtraDumb	67
103	Racengan	67
105	MinttyFressh	63
106	Groovy_MoonBird	62
107	m_be9	55
107	Dogcorn69420	55
109	thescout7	54
110	r123moore	53
111	NomadicRobin_	51
112	Chromary	50
113	WyngGoy	47
114	Kouridragon	46
114	Shogunite	46
116	fluddd	45
117	ooga47	44
117	MakeHistory157	44
119	BumbleBeever	42
120	Jovaphobic	39
121	SokaOtaku	38
121	PlasticOtari	38
123	LetsDoItLive	37
124	TheSecondLord	36
125	susbakaimpostor	34
126	titanlax	33
127	mwrty	32
127	fffMike	32
129	Jiminie	31
130	masskedman	30
131	Xclax101	29
132	UrbanPlanner1978	28
133	Fildyr	26
134	gabriels543	24
134	Axemurdermike	24
136	TechnoNinja64	22
137	Iagoku	19
138	ZoharGoldMine	18
139	Typadopoulos	17
139	voiding_	17
141	TTNG	16
141	KingMatthew506	16
143	paranoid_plant	15
144	NinjaKnifeKill	14
144	Euclidoris	14
146	aluminumhelmet	13
146	XboxPanda	13
148	rarrq	10
149	RebelAndroid	8
149	DAD_1996	8
151	SaucyDark	7
151	Scathra	7
151	Akoot_	7
151	Aezekial	7
155	error10101	6
155	ratglock	6
155	NotTrixi	6
155	Soplight	6
155	little_dUki	6
160	TheDankPlatypus	5
160	SuperPooch06	5
160	EveryonesUncle	5
160	Factoroni	5
164	Natofthese	4
164	Historical_Sand	4
164	loveseeker	4
164	ayamefag	4
168	CliffEmAll	3
168	Meatlaugh	3
168	QueenShuvi	3
168	SingedBread	3
168	deerm	3
168	TheTommyGun63	3
174	_stets	2
174	AgressiveEggdog	2
174	Humpcat	2
174	BobDeBouwer1337	2
174	jumpyPog	2
174	NotMeanttoChange	2
174	eviltunix	2
174	Mobstr	2
174	Marbz_	2
174	Armattillo	2
174	ApophisNova	2
174	CruncyIsTaken	2
174	TheCordicus	2
174	fkGrim	2
174	The_Quack_Dealer	2
174	alkrie	2
174	Spenduh	2
174	y0shik	2
174	Eczbek	2
174	Kubeusz2010	2
174	MyNamaSheff	2
195	_Virify_	1
195	Elprone266	1
195	Drlzyy	1
195	Hpdinosaur	1
195	Seyaboy	1
195	Ardennes	1
195	eclipseboi	1
195	PegLegPete93	1
195	Covalents	1
195	dnlksl	1
195	Leyna3	1
195	Inbefour	1
195	queenalina123	1
195	TheEnderman548	1
195	Kowcio_	1
195	Quotary	1
195	Nicserso	1
195	jnp_gaming	1
