rank	username	minecraft:used/minecraft:nether_bricks
1	Kakolbus	10365
2	PigDab	8964
3	Lord_Jord	8136
4	luseis	7956
5	Frozil20	7185
6	Zythose	7106
7	BobDeBouwer1337	6378
8	YungMaki	5875
9	Di_infiri	5854
10	eitanzaki	4742
11	HellsSponge	4588
12	joethahobo	4545
13	Skippeh	3710
14	thewindmillman	3146
15	pintsizedrogue	3007
16	ooga47	2801
17	Vorlice	2733
18	Spacewardharpy7	2708
19	beeperbeeper5	2234
20	MyNameIsJobo	2197
21	El_Jalapeno	2064
22	TheShyPig	2036
23	Hyp3rion_	2004
24	MAns_44	1976
25	Blu3beast	1892
26	m_be9	1833
27	Onennon	1818
28	thescout7	1751
29	AdmiralSmoke	1668
30	SellyZ	1644
31	Prismyst	1631
32	SaintJosie	1556
33	_Nuf	1405
34	Bumpy419	1397
35	PlasticOtari	1318
36	Legendosh	1257
37	TheBiggestFeller	1245
37	Soplight	1245
39	DAD_1996	1234
40	RobotMinion101	1212
41	FreakGenius	1179
42	legal_tax_evader	1054
43	Bandito_Roamer	1048
44	stavgod	984
45	rarrq	904
46	Groovy_MoonBird	843
47	Rasmanden	821
48	Kamflame10	809
49	Xclax101	781
50	ShedJr_	780
51	00000000-0000-0000-0009-01ff0c3e5e4f	764
52	DanTheBuilderino	747
53	Groundler	746
54	Jindong	727
55	TechnoNinja64	720
56	bigstankyy	719
57	noam464	704
58	dudcreeper	666
59	vandmanden	658
60	fffMike	604
61	PortlyPete69	598
62	Marbz_	542
63	The11thDoctor	539
64	Ryan_GEMS	534
65	eiC_	533
66	SuperPooch06	527
67	AlphaWolfPlaysMC	511
68	Aezekial	498
69	ciemacigans	493
70	chlorinex	489
71	BigCronkin	462
72	Mahoose	448
73	surfinggiraffejp	437
74	SmashingPump	424
75	Deathkob	416
76	Merv__	412
77	4774	388
78	livingdaydreams	387
79	Cowison	385
80	TAKrules	380
81	jcool7	376
82	anbbang	356
83	TheDankPlatypus	346
84	Racengan	342
85	Jimb0nat0r	296
86	kekhon	288
87	F_Uhre	284
88	r123moore	271
89	DermeinUser	265
90	burbankbuilder28	255
90	AnnieBathory	255
92	diamondgolem35	254
93	SyK7	253
93	Nargotah	253
95	PazinGaming	251
96	Freeman666	246
97	brofrickcheaters	240
98	dendydoom	239
99	Akoot_	238
100	XboxPanda	234
101	500am	227
102	Vizzoid	224
102	Northernrabbit	224
104	mimbo1211	221
105	Moofyman	215
106	Snowflowe	213
107	Eraxa	212
108	DemTechAlpha	211
109	DarlaMeow	210
110	lcvezra	208
111	Rebytre	195
112	Reamdin	192
113	Manaateee	181
114	Jackster03	180
115	xolstoi	176
116	Zaridey	171
117	Zetsey	169
118	Blackberry1310	167
118	Druid95	167
120	set67	166
120	mariominejedi	166
122	SSytex_X	159
123	h2p_emrld	158
124	Mookle96	156
124	Moetis	156
126	TheSecondLord	152
127	Billious	142
127	CaptainDeadBread	142
129	OfficerAnvil	132
130	M_Patata	123
130	MasterNueve	123
132	mwrty	118
132	stellarjay	118
134	bloodbiter	114
135	ColeSnyder	112
136	ProbsNotNova	111
137	oscminus	108
137	lizardfightclub	108
137	claivin	108
140	EveryonesUncle	106
140	Sral7	106
142	Kowcio_	101
143	Skylord_Luke	99
144	The_slideV3	94
144	bloomkieren	94
146	Hpdinosaur	90
147	GravitySaint	89
148	MightyWertu	86
149	Natty	84
149	JESS_THE_RERE	84
151	Zoeyfortnite	83
152	Chrisdeadeye	81
152	pixelviolin	81
154	MilleGrug	80
155	LAVA129	78
155	AssFullaCum	78
157	Meepcraft	76
157	JayToe	76
159	Zippyzam	72
159	Ssor69	72
159	Dooinfe	72
162	lorpus	69
163	Fullut	66
164	__TheNorseMan__	63
164	lordpipe	63
166	bearlystraight	62
167	mobunni	60
168	RebelAndroid	59
168	Mattesco	59
168	cedric72	59
171	teslawolf38	57
172	Crowvens	55
173	k_ce	49
173	301851	49
173	gaziter10	49
173	FlashMigma	49
173	Warlord324	49
178	Lez_	48
179	Segotep999	46
180	Njensen7	44
181	__lizi	43
181	Gundam_Steven	43
181	Nicky19	43
184	ThePoliteG	42
185	ATurtle4936	41
186	fkGrim	40
186	Steelynan	40
186	calamariclam_I	40
189	The_SlideV5	39
190	Alteriity	38
190	ApophisNova	38
190	MyNamaSheff	38
193	crying_wolf_13	37
193	Inchef	37
193	BreadBacon	37
196	PhantomsGhost_	34
196	Nyxiom_	34
196	censorsheep	34
196	SingedBread	34
200	chipklip	33
200	ROY4LE	33
200	BlankityMcBlank	33
203	Rumpletaezer	32
203	Krowuss	32
203	Heisenbberrg	32
203	diggydog67	32
207	Paint	31
207	Megarboh	31
207	LazySupport00	31
207	kyouma777	31
211	H0UNDFRMH3LL	30
211	ratglock	30
211	GoofyBread	30
211	_i_ERROR_i_	30
211	Iamthejo	30
216	Jackattack53	29
217	BilboBaggins23	27
217	Kynigito	27
219	FirsTimeGamingTV	26
219	MattieHD	26
219	yulgur1	26
219	Nycteus_	26
219	Hisiste	26
219	TheEnderMan548	26
225	Chromary	25
225	groofles	25
225	Maenara	25
225	Sheldor097	25
229	Arceus1975	24
229	XeroByMyth	24
229	Jordan_R	24
232	UltimuShadow	23
233	Batman922	22
233	Typadopoulos	22
235	SamZombie	21
235	Eon_57	21
235	MissCeleste7	21
238	PegLegPete93	20
238	whoaluv	20
238	ougstur	20
238	_Crimson_Legate	20
238	obzii	20
243	CoffeeNoir	19
243	Secret_Canary	19
243	eviltunix	19
243	Kubelz	19
243	wobn	19
243	Barlycorn	19
243	_Wannabe_	19
250	_Boipl_	18
250	pappaberg	18
252	Paleshield	17
252	H72l9w	17
252	Leyna3	17
252	IamCL4SSY	17
252	TheSeismicDuck	17
257	KomputerDude	16
257	Enderxz3	16
