rank	username	minecraft:used/minecraft:brush
1	j5ylim	1208
2	k_ce	373
3	pintsizedrogue	358
4	oscminus	269
5	Secret_Canary	264
6	Enderxz3	229
7	Kowcio_	205
8	myaccountwasgone	201
9	Jimb0nat0r	200
10	beeperbeeper5	189
11	Pumpkin_P_Patch	173
12	Archsam	172
13	Mr_Byzantine	169
14	Merv__	163
15	pixelviolin	161
16	Huwulling	108
17	TheBananaKat	94
18	Jackattack53	91
19	ECstardust	90
20	MAns_44	89
21	ZaneABrain	87
21	Samificator	87
23	Kakolbus	80
24	Alteriity	72
25	Apollo_993	68
26	Werbe	66
26	Soplight	66
28	crashomon	64
29	lorywithay	60
29	TheSecondLord	60
31	skitzxo	56
32	Krowuss	47
33	corvidpartyfor6	46
34	Hyp3rion_	42
34	KamFurnace	42
36	Fullut	40
37	Reneedium	24
38	noam464	19
39	_Mythic____	18
40	StarCookiees_	13
41	Steelynan	9
42	EveryonesUncle	7
43	lordpipe	4
43	ConnorDanky_	4
45	SvenskaSara	2
