rank	username	minecraft:used/minecraft:cherry_sapling
1	Hyp3rion_	16989
2	noam464	8542
3	Manaateee	4393
4	Lez_	3741
5	Kowcio_	3182
6	Apollo_993	2147
7	FiguraDei	1278
8	SpacesickPrism	527
9	Jackattack53	495
10	EveryonesUncle	451
11	Mr_Byzantine	345
12	AstreaTSS	279
13	KarlKaek	266
14	TheWickedBird	264
15	Alteriity	130
16	Hahaa_0	122
17	Werbe	102
18	Sleepy_Evelyn	68
19	k_ce	63
20	xxPipperDipperxx	62
21	beeperbeeper5	57
22	pretty_pink_reno	49
23	Krowuss	46
24	Moofyman	39
25	lorywithay	35
26	Enderxz3	28
27	Steelynan	25
27	kaiwill0w	25
29	pintsizedrogue	23
30	Mattesco	21
31	skitzxo	20
32	Archsam	19
32	12Magner05	19
32	PaperCanvas	19
35	Tersea_	18
36	j5ylim	16
37	Synthoum	15
38	shineh10	12
39	Merv__	9
39	oscminus	9
39	Buuck_	9
42	Frigzy_	8
43	Fullut	7
44	PazinGaming	6
44	Reneedium	6
44	ScootOfBoot	6
44	StarCookiees_	6
48	ImpavidArcher	5
48	Samificator	5
50	Napoleonpancake	4
50	MattieHD	4
52	DinoDoctor_	3
52	Pumpkin_P_Patch	3
54	ECstardust	2
54	myaccountwasgone	2
54	Huwulling	2
54	Hydro___________	2
54	Hetti301	2
54	bl1ss0	2
54	KamFurnace	2
61	WoofWare	1
61	Wooptey	1
61	SOA1RR	1
61	QuiCreans	1
61	_Destina_	1
61	_vlex	1
61	Nach0Bear	1
61	Fullbit_	1
61	DackBools	1
61	MAns_44	1
61	Thunder_bird4337	1
61	TheBananaKat	1
