rank	username	minecraft:used/minecraft:mutton
1	Groovy_MoonBird	89
2	mwrty	37
3	lotarp	34
4	Blackberry1310	30
5	IlkeCookes_	25
6	Cruncy_	23
6	00000000-0000-0000-0009-01ff0c3e5e4f	23
8	doublemaki	22
9	Yamdalorian	21
10	Scathra	20
10	CacheOut	20
10	ZeaBaron	20
13	SuperPooch06	19
14	dabloons	18
14	bigstankyy	18
14	noam464	18
14	Blu3beast	18
18	Di_infiri	17
18	burbankbuilder28	17
20	royal_2	16
20	ROY4LE	16
20	St4nLe7	16
23	Fullut	15
23	Boipl	15
23	SingedBread	15
23	ChronoSounds	15
27	oscminus	14
27	wrinkledpiglet	14
27	B3nzito	14
27	claivin	14
27	Bloo2406	14
27	PortlyPete69	14
33	soundad	13
33	iElijahi	13
33	Blackerstons	13
33	Akoot_	13
37	YairZaki	12
37	420BreadLizard	12
37	Deodorante	12
37	Naturalrogue	12
37	UrbanPlanningEx	12
37	Goat_Man512	12
43	Merv__	11
43	Flex_Tape_Phil	11
43	Legendosh	11
46	Myrlewen	10
46	bloodbiter	10
46	corvidpartyfor6	10
46	intropass	10
46	ouija_	10
46	EtherealEspresso	10
52	xExpresso	9
52	Gundam_Steven	9
52	Saul_Goodman_Rup	9
52	domagawha	9
52	TheSeismicDuck	9
52	Vol_Rod33	9
52	Eraxa	9
52	BasilConstantine	9
52	norcomk	9
61	PhantomsGhost_	8
61	EMC_	8
61	Jahara	8
61	Mahoose	8
61	SDMNAEK	8
61	Nach0Bear	8
61	jandrs	8
61	mariominejedi	8
61	LibertyMutual	8
61	Burge_r	8
71	Frozil20	7
71	ZaneABrain	7
71	BilboBaggins23	7
71	Juansinmiedo18	7
71	lizardfightclub	7
71	XxCookiequeenxX	7
71	potato_101	7
71	_i_ERROR_i_	7
71	ConnorDanky_	7
71	Teebone15	7
81	NatalieTW	6
81	Mr_Byzantine	6
81	Niklas20114552	6
81	I_Am_Mushkin	6
81	Umbre_19	6
81	Mimiir345	6
81	MrExplorer	6
81	_HoneySlime_	6
81	Scattman_	6
81	AngalexikCZ	6
81	kars0n	6
81	parodypatient	6
81	Mweems	6
81	Tyrannosplart	6
81	_Karmaa	6
81	_flud	6
81	BlighterSupreme	6
81	Invintic	6
81	jcool7	6
81	NatePlayzSmth	6
81	JasmineGK	6
81	_Dri_	6
103	SyK7	5
103	xyct	5
103	Slinkyy7071	5
103	BlancoFlaco	5
103	La_Conne	5
103	tsohomie	5
103	Lez_	5
103	rarrq	5
103	LoboTheLobster	5
103	emrekn	5
103	Tjhodskins19	5
103	Matek_	5
103	Reneedium	5
103	738b4f65-6cbd-4ead-ba31-c14211abfb06	5
103	PigDab	5
103	Fireworks	5
103	linxthesontaran	5
103	jambvds	5
103	GigaSl	5
103	DarkS0L	5
103	Celeste_121	5
103	StamWolf	5
125	pintsizedrogue	4
125	dudcreeper	4
125	BPTY4618	4
125	Mel_Beemin	4
125	gren_ben	4
125	_Razaria	4
125	TipDuy3010	4
125	TheFlfthHorseman	4
125	Albertalo	4
125	Tiberonus	4
125	FemboyFwuit	4
125	DrowsyOracle	4
125	SpicyMeatballs	4
125	CharlieButt	4
125	ricekrispies69	4
125	Lil_Breadboy	4
125	Werbe	4
125	D0RMMAMU	4
125	PaperCanvas	4
125	Romeom175	4
125	DarlaMeow	4
125	AstreaTSS	4
125	Magnamedicinal	4
125	sq0id	4
125	carpet4_69	4
125	marumochis	4
125	Warlord324	4
125	plato2066	4
125	pixelviolin	4
125	Iamthejo	4
125	es0th	4
125	00000000-0000-0000-0009-01fa5d833510	4
157	k_ce	3
157	Lorcout	3
157	_stets	3
157	EkkoTraveler	3
157	Incinere	3
157	eitanzaki	3
157	C0by3llis	3
157	TheEnusa	3
157	ToxicHauntling	3
157	fallingemma	3
157	REALLYHURTS	3
157	Skylord_Luke	3
157	CHUUUBZZ_99	3
157	goldyx	3
157	xDraggin	3
157	Hahaa_0	3
157	aldplaysmc	3
157	HellsSponge	3
157	Quaintster	3
157	SkateboardR6	3
157	Majonezzon	3
157	OPTOMA_KING	3
157	Segotep999	3
157	miramyu	3
157	morningelegance	3
157	alanbleachdemon	3
157	Deguns123	3
157	kaiwill0w	3
157	laron58	3
157	smogfrogg	3
157	mackintosh_x	3
157	CrazyPotater	3
157	00000000-0000-0000-0009-01fe065167f0	3
190	Alexanderjac	2
190	Elprone266	2
190	Skyler_Diablo	2
190	fanofbands101	2
190	420joe	2
190	powercas_gamer	2
190	jpoxman	2
190	Sleek_Storm_721	2
190	t_dooks	2
190	horrayhorray123	2
190	ImpavidArcher	2
190	hm947	2
190	Killercatty78	2
190	livingdaydreams	2
190	SyntheticSurgeon	2
190	DrogV2	2
190	scottkidz	2
190	PhantomBionic	2
190	Archsam	2
190	DrichAldrich	2
190	MSK__	2
190	ThePaladin1	2
190	TheMaster972	2
190	beeperbeeper5	2
190	Whiterooster001	2
190	ratglock	2
190	aluminumhelmet	2
190	kekhon	2
190	Cortexia	2
190	Studio4x32	2
190	_Dean_123	2
190	excelsionprime	2
190	BINKENSTOCK	2
190	set67	2
190	Flapjacker687	2
190	MangoPineapplez	2
190	decay_elf	2
190	hijeatsdirt	2
190	SellyZ	2
190	xxPipperDipperxx	2
190	FalconOW	2
190	Yuvl	2
190	Peeing	2
190	swag_bro2004	2
190	Ahketen	2
190	AJplaysMC_	2
190	thewindmillman	2
190	LAVA129	2
190	LovableFemboy	2
190	Parcc	2
190	Mpkkiller	2
190	Chuvacevedo	2
190	bee_gorl	2
190	fallQy	2
190	BRRRN179	2
190	Athenaeaen	2
190	Huic_ostiarius	2
190	mehen_hokker	2
190	Ognaam	2
190	HoldThatPee	2
190	EdGalbraith	2
190	Inbefour	2
190	rotten_mango	2
190	Human_Resource	2
190	Spacewardharpy7	2
190	Leithz6	2
190	Kura2218	2
190	Soul_Atreus	2
190	FadedSpade82	2
190	Kowcio_	2
190	LilcoinXX	2
190	Luigipunch989	2
190	Ryn777	2
190	Seindi	2
190	CalebDHawk	2
190	LeeMcGee30	2
190	Spacy_Butsch123	2
190	FelixPSY375	2
190	jnp_gaming	2
190	h2p_emrld	2
190	00000000-0000-0000-0009-01fe0e2fb0b5	2
190	00000000-0000-0000-0009-01f16526f034	2
272	lunaticusx	1
272	chipklip	1
272	PazinGaming	1
272	ECstardust	1
272	MyMawgDonaldsGon	1
272	_DarkBlitz0_	1
272	baboonlord400	1
272	Hpdinosaur	1
272	RebelAndroid	1
272	jimintyy	1
272	T045RTY	1
272	Batman922	1
272	CoffeeNoir	1
272	Sebaschan__	1
272	Axel_Foley	1
272	FirsTimeGamingTV	1
272	LeifEricsonLegit	1
272	12Magner05	1
272	Hetti301	1
272	MattieHD	1
272	TheDiamondCG	1
272	thescout7	1
272	a24680	1
272	Roenfire	1
272	Resner	1
272	drunkeeez	1
272	IronyMan69	1
272	PeteO1995	1
272	shadowthemonkey	1
