rank	username	minecraft:used/minecraft:mangrove_slab
1	Mr_Byzantine	1617
2	k_ce	1233
3	MadmanRaven	659
4	Huwulling	606
5	CarryLine	438
6	Steelynan	347
7	PazinGaming	277
8	EngagedGrub41	176
9	Kowcio_	141
10	bearlystraight	132
11	hanaryheatwave	129
12	12Magner05	102
13	SvenskaHugo	95
14	Merv__	76
15	Kondzik2008	66
16	pintsizedrogue	61
17	AdmiralSmoke	49
18	Jimb0nat0r	36
19	Mahoose	33
20	Nicserso	29
21	Crizma_	25
22	Soplight	17
22	Enderxz3	17
24	luseis	10
25	UCP_TheKingK	9
25	CalebDHawk	9
27	Sleepy_Time_	8
27	Manaateee	8
29	MineMaster0012	7
29	PlasticOtari	7
31	Apollo_993	6
32	_Huge_Male_	4
33	Napoleonpancake	1
33	OreTheBear	1
33	oscminus	1
