rank	username	minecraft:used/minecraft:red_glazed_terracotta
1	noam464	1229
2	lordpipe	673
3	Steelynan	288
4	eitanzaki	247
5	lillips	200
6	Mattesco	194
7	PazinGaming	163
8	Lutres_	157
9	Soplight	138
10	Lord_Jord	112
11	500am	108
12	djancak	99
13	YungMaki	88
14	Fullut	85
15	Hermanni__	60
16	Nycteus_	59
17	RoboTramp7865	54
18	thewindmillman	53
19	Di_infiri	32
19	Spacewardharpy7	32
19	MakeHistory157	32
22	ImpavidArcher	31
22	NameGenerat0r	31
24	Optiprimus	28
24	jnp_gaming	28
26	beeperbeeper5	26
27	AnnieBathory	25
27	Jimb0nat0r	25
29	Kamflame10	23
29	monky_irl	23
31	ProfessorBee	22
32	ROY4LE	21
32	Parcc	21
32	Inbefour	21
35	2Stout	18
35	Nicserso	18
37	_Huge_Male_	17
37	Elastiq	17
37	Blaiku	17
40	SaintJosie	16
40	Eraxa	16
40	Legendosh	16
43	luseis	15
44	StinkyDiplomat	14
45	Prismyst	13
46	Sabby65	11
46	joethahobo	11
48	Skylord_Luke	10
49	pr33tu	9
50	SaucyDark	8
51	Merv__	6
51	rarrq	6
53	CarltheCuck	3
53	_Bguette_	3
53	ConnorDanky_	3
56	excelsionprime	2
56	emrekn	2
56	DemTechAlpha	2
56	Blu3beast	2
56	pixelviolin	2
56	skrongus	2
62	KarlKaek	1
62	Mahoose	1
62	titanlax	1
62	Crowman1	1
62	lorpus	1
62	Hyp3rion_	1
62	Tyrannosplart	1
62	Shogunite	1
62	ItsDeltaMC	1
62	Razzgriz	1
62	EngagedGrub41	1
