rank	username	minecraft:used/minecraft:diamond_hoe
1	EveryonesUncle	86722
2	CoffeeNoir	69653
3	Jimi7hits	46916
4	Smoke____	35528
5	gcaisawesome	33213
6	12Magner05	30621
7	Mahoose	21448
8	q_wq	18468
9	Blaiku	17178
10	Snowflowe	15783
11	TheSecondLord	15689
12	EMC_	15149
13	Prodiginus	12497
14	Arceus1975	12056
15	Miko_Fullbuster	12009
16	LeauVox4921	10892
17	claivin	9589
18	Nycteus_	9141
19	Di_infiri	9098
20	Historical_Sand	9001
21	pintsizedrogue	8320
22	Spacewardharpy7	7699
23	HellsSponge	6826
24	Freak_Genius	6652
25	beeperbeeper5	5347
26	noam464	5136
27	Groovy_MoonBird	5013
28	Deathkob	4978
29	Blu3beast	4919
30	Enderslayerxz3	4852
31	PlasticOtari	4635
32	diamondgolem35	4546
33	Lutres_Torane	4394
34	joethahobo	4385
35	Dreamdbr14	4293
36	emrekn	4178
37	djancak	4168
38	Kubelz	4132
39	Soplight	3971
40	lordpipe	3538
41	PhantomsGhost_	3326
42	Steelynan	3292
43	HesDemonPants	3234
44	Merv__	3035
45	PigDab	2904
46	Ryker	2890
47	Luigipunch989	2722
48	Legendosh	2651
49	lcvezra	2607
50	DemTechAlpha	2557
51	TheShyPig	2538
52	Ezekson	2475
53	MyNameIsJobo	2470
54	Werbe	2369
55	groofles	2259
56	XxCookiequeenxX	2228
57	FirsTimeGamingTV	2151
58	Flores991	2132
59	Alteriity	2098
60	NomadicRobin_	2093
61	RodSerlingCringe	2061
62	Afinnity	2037
63	BobDeBouwer1337	2028
64	YungMaki	1962
65	SvenskaHugo	1917
66	rarrq	1844
67	TechnoNinja64	1833
68	Menthas	1793
69	Eraxa	1786
70	Racengan	1650
71	obzii	1645
72	ToastedGamingYT	1639
73	SuperPooch06	1638
74	Lord_Jord	1613
75	Skippeh	1586
76	censorsheep	1583
77	FishisTTV	1566
78	tartanboy	1565
79	Rasmanden	1562
80	dudcreeper	1561
80	Genuss	1561
80	Blackberry1310	1561
80	Fullut	1561
80	mwrty	1561
80	ROY4LE	1561
80	hcb238	1561
80	wezzzi	1561
80	Meepcraft	1561
80	Karbl	1561
80	alderban107	1561
80	FelixPSY375	1561
80	Powowowow	1561
93	Hermanni__	1475
94	diggydog67	1473
95	Voxin2K	1461
96	_3Stump_	1454
97	Onennon	1369
98	Winston_Ingram	1332
99	DarlaMeow	1329
100	Rumpletaezer	1303
101	teslawolf38	1302
102	MAns_44	1267
103	eitanzaki	1247
104	egglapras	1189
105	NormanFetus	1184
106	MyNameIsDakar	1121
107	SpaceGrenadier	1120
108	Rebytre	1077
109	masskedman	1072
110	Winklepicker279	1060
111	pixelviolin	1059
112	CliffEmAll	1041
113	Joestra	1039
114	coobert42	1023
115	MonitorLizards	1017
116	thescout7	1015
117	__tomato	996
118	Kowcio_	985
119	Kim_Jong_eel	966
120	UncreativeArtist	965
121	BumbleBeever	914
122	Zaridey	867
123	The_slideV3	826
124	tsitrawhy	779
125	fkGrim	772
126	Cocoamallows	759
127	ApophisNova	752
127	MyNamaSheff	752
129	UrbanPlanner1978	751
130	WYFYoyo	750
131	Malorn_Aetherius	743
132	TheALV	737
133	eviltunix	703
134	Comma__	696
135	burbankbuilder28	691
136	Moofyman	690
137	The_Fulgurator	682
138	Windo_licker	679
138	Airem_Core	679
140	Chromary	676
141	Kiki_Majiki	675
142	El_Jalapeno	669
142	Groundler	669
144	07shiny	663
145	stellarjay	649
146	MovingFish7	632
147	Quotary	626
148	fade_emerge78823	624
149	set67	612
150	trexgb	592
151	Haadrada	589
152	lizardfightclub	577
153	boog4loo	568
154	Hpdinosaur	565
155	ItsColin11	561
156	zylanzagreat	544
157	TheDankPlatypus	537
158	MousePlays	517
159	loveseeker	514
160	prizm_	505
161	Hoid_the_Roamer	503
162	Swexti	493
163	H72l9w	492
164	SlayerCrypto	490
165	jewbacaman	461
166	Hyp3rion_	459
167	Nicserso	456
168	FishyBoy3811	453
169	AuroraSkies	450
170	himak1	440
170	Inbefour	440
172	pumpfonzo	431
173	PortlyPete69	428
174	xo_Marren_xo	405
175	Skylord_Luke	404
176	CruncyIsTaken	400
177	Masssonnn	392
178	ayamefag	390
179	BodaciousCake	388
180	m_be9	377
181	KarlKaek	370
182	KartivGal	369
183	NotMeanttoChange	367
184	UCP_TheKingK	362
185	Chickenchaser2	360
186	Incinere	358
187	KingMatthew506	352
188	Shogunite	340
189	Vizzoid	335
189	OG_Songsee	335
191	nut_e	334
192	Drlzyy	310
193	stahouo	309
194	Bandito_Roamer	301
195	DAD_1996	297
196	GingerNeutron	291
197	RefluxRatio	287
198	oxfordschool	282
199	Steven1282598	271
200	Tolhart	269
201	Akoot_	265
202	Dan_Scha	255
203	kinas45y5	251
204	youhjjhhhjj	248
204	Sky_light_KING	248
204	little_dUki	248
207	KevinLikesPie	241
208	chlorinex	233
209	Jovaphobic	232
210	Nicky19	223
211	MinttyFressh	222
212	Shiirazuku	221
212	ClemenPine	221
214	SaucyDark	211
215	Awyrlas	199
216	benediktine1	197
217	Yahir091	185
218	Yatitay	178
218	Bumpy419	178
220	jacxhadow	174
221	ShedJr_	168
222	AlazelTheReal	165
222	bloodbiter	165
224	Kynigito	163
225	AlphaWolfPlaysMC	161
226	00000000-0000-0000-0009-01ff0c3e5e4f	159
227	platinumzero	155
228	Xclax101	149
229	Hisiste	145
230	Cryptacity	143
230	Inchef	143
232	Jackattack53	139
233	dimondking777	138
233	Ze_BaronKrigler	138
235	moderncraft	132
236	fluddd	130
237	Euclidoris	129
238	Frozil12	128
239	6king6colt6	126
240	Segotep999	123
241	WyngGoy	122
242	gilesmcriles	110
243	paranoid_plant	109
244	Ecplosive	100
245	I_Am_Mushkin	98
246	thewindmillman	97
247	ImpavidArcher	84
247	MineMaster0012	84
249	NoChumpChange	81
250	THExMuffinx	80
250	Gryglu583	80
250	Sank34	80
253	500am	75
254	Da_Boss_Rani	73
255	Kijiki	72
256	DinoDoctor_	71
256	Jiminie	71
258	stavgod	70
259	_Boipl_	68
260	Fuad_R	67
261	T045RTY	65
262	fffMike	62
263	Zoeyfortnite	61
264	MrQuanQuan	59
265	_Crimson_Legate	58
266	kekhon	56
267	AdvertisingMerc	55
267	EcksDofficial	55
269	M_Patata	54
269	MasterNueve	54
271	technic_squirrel	52
272	Soap_Bender	43
273	MrExplorer	42
274	titanlax	41
274	BigCronkin	41
276	PegLegPete93	40
277	ImDisconnected_	38
278	soundad	37
278	AlexxO_o	37
280	Quincannon	36
281	Digcove	35
282	livingdaydreams	33
283	Emo_Box_Boi	31
284	theofiel	23
285	MilleGrug	22
286	Corbsman	17
287	King_Pancake1	15
288	eiC_	13
288	yulgur1	13
290	Dogcorn69420	11
291	Mewar	10
291	Meeerkat	10
293	RoskobiOne	8
293	TheSeismicDuck	8
293	TheEnderman548	8
296	Bloo2406	7
297	Houstonion	5
297	MattieHD	5
297	Fuhrer_Teemo	5
300	cyuar	4
