rank	username	minecraft:used/minecraft:stripped_jungle_wood
1	noam464	253
2	Mattesco	210
3	KingMatthew506	187
4	joethahobo	103
5	beeperbeeper5	38
5	Jimb0nat0r	38
7	Mahoose	23
8	TheSecondLord	1
