rank	username	minecraft:used/minecraft:stripped_acacia_log
1	beeperbeeper5	628
2	Zaridey	312
3	TheSecondLord	189
4	fkGrim	99
5	Hoid_the_Roamer	95
6	prizm_	90
7	Werbe	89
8	ooga47	77
9	Jackattack53	72
10	kekhon	70
11	FreddyFart	69
12	eiC_	62
13	TheShyPig	41
14	MyNameIsJobo	33
15	Steelynan	31
16	lilsay	30
16	legal_tax_evader	30
18	KarlKaek	28
19	ProfessorBee	26
20	Snowflowe	19
20	Nicserso	19
22	Soplight	16
23	Cellcorgi649	15
24	AdmiralSmoke	14
25	Huwulling	13
26	excelsionprime	12
27	Ozixar	11
27	EcksD	11
27	xolstoi	11
30	Blaiku	10
31	Mahoose	9
31	Ezekson	9
33	joethahobo	8
34	pintsizedrogue	7
34	UCP_TheKingK	7
34	smogfrog	7
34	PlasticOtari	7
38	Incinere	6
39	Myrosia	5
39	ImpavidArcher	5
39	Fullut	5
39	Shogunite	5
43	Swexti	4
43	lordpipe	4
45	Groovy_MoonBird	3
45	Lez_	3
45	ROY4LE	3
45	PortlyPete69	3
49	Merv__	2
49	Hpdinosaur	2
49	peach0s	2
49	Blackberry1310	2
49	noam464	2
49	Mattesco	2
49	luseis	2
49	KlausVonStiglitz	2
49	DarlaMeow	2
49	YungMaki	2
49	starbits140	2
49	ConnorDanky_	2
49	cichy096	2
49	jnp_gaming	2
63	Mr_Byzantine	1
63	dudcreeper	1
63	Franco093	1
63	Arteriana	1
63	jushykins	1
63	Di_infiri	1
63	SuperPooch06	1
63	MisterKanister	1
63	Akoot_	1
63	EveryonesUncle	1
63	mafiKiwi	1
63	MS_Pryxx	1
63	Optiprimus	1
63	ayamefag	1
63	xzvu	1
63	TheALV	1
63	Kubeusz2010	1
63	Enderxz3	1
