rank	username	minecraft:used/minecraft:medium_amethyst_bud
1	noam464	207
2	Mahoose	39
3	pintsizedrogue	24
4	TheSecondLord	22
5	thewindmillman	13
6	Yamdalorian	12
7	XxCookiequeenxX	9
8	12Magner05	7
9	Apollo_993	6
9	diamondgolem35	6
11	Kowcio_	4
12	Alteriity	3
12	Kakolbus	3
12	MAns_44	3
12	PlasticOtari	3
16	RebelAndroid	2
16	Myszoaz	2
16	MattieHD	2
16	500am	2
16	Jackattack53	2
16	ApophisNova	2
16	Dakar_	2
16	pixelviolin	2
16	MyNamaSheff	2
16	Enderxz3	2
26	_Huge_Male_	1
26	myaccountwasgone	1
26	MSK__	1
26	PigDab	1
26	Pumpkin_P_Patch	1
26	MilleGrug	1
