rank	username	minecraft:used/minecraft:lime_shulker_box
1	beeperbeeper5	904
2	pintsizedrogue	661
3	Hyp3rion_	467
4	sp00ky_ghost977	383
5	Euclidoris	330
6	Eraxa	325
7	Fullut	304
8	T045RTY	297
9	Inbefour	290
10	joethahobo	279
11	HellsSponge	259
12	Skippeh	203
13	Skylord_Luke	199
14	Deathkob	195
15	Racengan	193
16	Merv__	156
17	Jiminie	154
18	Mahoose	153
19	Xalithia	152
20	NameGenerat0r	148
20	Quaintster	148
22	Blaiku	142
23	500am	139
24	EcksD	133
25	jnp_gaming	129
26	pixelviolin	126
26	Smoke____	126
28	ApophisNova	123
28	MyNamaSheff	123
30	Werbe	121
31	mwrty	119
32	titanlax	110
33	SaucyDark	105
34	PlasticOtari	104
35	Bumpy419	101
36	claivin	97
37	Fizznut909	94
38	eitanzaki	93
39	Alteriity	90
39	rarrq	90
41	Historical_Sand	84
42	Groundler	76
43	kekhon	74
44	MightyWertu	72
44	stellarjay	72
46	Chromary	70
47	gcaisawesome	69
47	noam464	69
49	fade_emerge78823	66
50	intropass	65
51	chipklip	62
52	fluddd	60
53	lillips	58
54	Zythose	54
55	Snowflowe	52
56	groofles	51
57	oxfordschool	49
57	Enderslayerxz3	49
59	Soplight	41
60	TheSecondLord	40
61	YungMaki	37
62	Jackattack53	36
62	Xclax101	36
64	TechnoNinja64	35
65	stahouo	34
66	Sky_light_KING	31
67	fr0stss	30
68	Arceus1975	29
69	MattieHD	28
69	ProfessorBee	28
69	Dogcorn69420	28
72	r123moore	26
73	Marbz_	25
74	Lez_	24
74	Akoot_	24
74	Quotary	24
77	Ecplosive	23
77	_Bguette_	23
77	Eczbek	23
80	Myszoaz	22
80	MyNameIsJobo	22
80	Njensen7	22
80	EngagedGrub41	22
84	lordpipe	21
84	SpacesickPrism	21
86	AlexxO_o	19
86	Nicserso	19
88	MSK__	17
88	12Magner05	17
88	xxPipperDipperxx	17
88	EcksDofficial	17
92	ToastedGamingYT	16
92	little_dUki	16
94	_Virify_	15
94	TheShyPig	15
94	Spenduh	15
94	Zoeyfortnite	15
98	MixerDixer	14
98	corvidpartyfor6	14
98	SammiWolfGirl	14
98	jcool7	14
102	Th6masss	13
102	Segotep999	13
102	__tomato	13
105	Spacewardharpy7	12
105	ZeroKraken	12
107	JEWISHBadenBeele	11
107	TheSeismicDuck	11
107	Blu3beast	11
110	pappaberg	10
110	Lord_Jord	10
110	EveryonesUncle	10
110	Hisiste	10
110	felincaus	10
110	Steelynan	10
110	Miko_Fullbuster	10
117	jushykins	9
117	King_Pancake1	9
119	Jovaphobic	8
119	pZygh0st	8
119	Razzgriz	8
122	Cryptacity	7
122	Rumpletaezer	7
122	thewindmillman	7
122	MangoTheFish	7
122	Hoid_the_Roamer	7
122	masskedman	7
122	Katthaj	7
122	ElKaySVK	7
130	_Dean_123	6
130	Fuad_R	6
132	seanitoo	5
132	Huwulling	5
132	Da_Boss_Rani	5
132	binman420	5
132	Freak_Genius	5
132	Steven1282598	5
132	K_a__a_n	5
132	Ezekson	5
132	Sral7	5
141	Incinere	4
141	SpaceGrenadier	4
141	StinkyDiplomat	4
141	SexcMf	4
141	Legendosh	4
146	EMC_	3
146	ssleepless	3
146	emrekn	3
146	audiocracked	3
146	iSammael	3
146	BlueWyvern5170	3
146	microcrisp	3
146	PortlyPete69	3
154	PhantomsGhost_	2
154	teslawolf38	2
154	KarlKaek	2
154	ExtraDumb	2
154	BoraMC	2
154	noodlepack	2
154	Masssonnn	2
154	4774	2
154	gabriels543	2
154	Di_infiri	2
154	PigDab	2
154	Soap_Bender	2
154	Smiguli_	2
154	Xovalt_	2
168	Frozil20	1
168	6king6colt6	1
168	IronArshXS	1
168	itburb	1
168	ImpavidArcher	1
168	Blackberry1310	1
168	_Nuf	1
168	G1ldor	1
168	NotKaden_	1
168	XboxPanda	1
168	TheDankPlatypus	1
168	XLIFluid	1
168	SuperPooch06	1
168	drompje	1
168	DAD_1996	1
168	sxc_	1
168	wezzzi	1
168	fw3xywashere	1
168	NomadicRobin_	1
168	Shogunite	1
168	censorsheep	1
168	Cyntrical	1
168	MovingFish7	1
168	sadvavilloso	1
168	obzii	1
168	_3Stump_	1
168	2blox	1
168	kinas45y5	1
